“1.北半球副高面积指数(5E-360)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：72.42
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	3	0	5	24	77	86	134	142	107	66	56	36	61.33	
1952	33	28	31	53	74	121	138	120	94	66	31	24	67.75	
1953	27	19	23	50	80	104	143	141	80	79	46	52	70.33	61
1954	15	0	24	41	56	92	109	107	91	59	23	5	51.83	58
1955	13	5	12	16	73	90	114	112	103	54	33	12	53.08	54
1956	0	3	17	26	59	87	123	95	53	57	25	15	46.67	54
1957	10	5	10	33	36	80	106	111	78	41	28	28	47.17	57
1958	49	45	47	70	73	123	126	123	91	54	31	34	72.17	61
1959	19	33	51	45	63	113	125	114	93	70	42	39	67.25	63
1960	24	25	22	28	83	133	137	150	113	68	41	37	71.75	66
1961	22	11	31	58	68	100	113	137	85	30	24	20	58.25	61
1962	26	16	7	33	64	87	121	137	98	62	44	21	59.67	55
1963	2	5	9	7	33	96	122	117	109	22	23	24	47.42	49
1964	19	14	23	15	46	53	97	88	87	18	2	0	38.50	48
1965	2	1	10	10	36	86	97	79	73	51	36	17	41.50	43
1966	23	23	12	29	64	96	108	122	83	37	18	6	51.75	43
1967	5	5	4	16	29	54	105	111	56	39	12	11	37.25	48
1968	0	1	10	10	27	94	129	108	82	35	30	0	43.83	52
1969	3	16	53	64	80	129	159	118	102	34	25	25	67.33	48
1970	22	23	28	65	61	123	133	135	86	24	11	9	60.00	48
1971	0	5	5	8	23	72	88	75	45	34	12	7	31.17	48
1972	0	0	0	6	29	62	83	92	62	45	28	17	35.33	40
1973	21	21	19	37	53	73	114	109	107	8	9	6	48.08	36
1974	0	0	0	0	17	41	87	84	50	20	11	9	26.58	37
1975	4	0	0	12	26	72	94	94	85	34	15	7	36.92	41
1976	2	3	3	17	32	58	89	103	64	39	21	16	37.25	43
1977	14	32	36	26	51	81	106	112	93	82	27	25	57.08	51
1978	23	35	35	35	59	93	91	117	80	39	31	28	55.50	58
1979	16	14	20	47	71	121	174	118	93	82	23	24	66.92	63
1980	14	15	33	59	88	136	145	130	104	87	43	11	72.08	62
1981	11	12	34	48	73	102	140	117	106	49	35	30	63.08	68
1982	6	4	9	23	64	107	117	127	96	40	28	36	54.75	63
1983	41	44	58	60	88	117	168	150	113	71	61	24	82.92	57
1984	3	5	24	30	64	75	75	109	49	36	14	2	40.50	55
1985	6	1	21	4	44	87	111	114	67	36	14	21	43.83	60
1986	6	0	9	30	44	84	135	95	75	79	32	35	52.00	58
1987	38	32	28	69	75	125	138	147	122	90	61	56	81.75	60
1988	30	16	39	42	81	111	161	137	107	55	40	15	69.50	65
1989	13	13	0	11	57	100	145	95	78	66	30	25	52.75	68
1990	12	13	31	30	68	115	123	155	114	86	33	28	67.33	64
1991	24	18	33	38	83	111	151	146	113	22	40	32	67.58	66
1992	28	27	60	55	54	107	134	157	72	47	16	20	64.75	73
1993	11	6	29	63	92	142	155	161	116	87	46	34	78.50	79
1994	6	15	47	59	113	135	162	180	128	79	75	72	89.25	76
1995	51	44	41	64	104	143	148	174	157	97	61	45	94.08	77
1996	3	3	11	31	80	117	155	130	69	54	9	0	55.17	83
1997	1	12	15	23	55	86	155	153	123	78	58	60	68.25	75
1998	55	75	72	98	119	153	181	193	124	112	41	47	105.83	66
1999	5	22	3	40	54	88	119	120	68	62	19	12	51.00	68
2000	0	14	16	32	58	104	96	111	59	43	24	26	48.58	71
2001	18	14	19	51	78	89	122	162	93	88	42	39	67.92	68
2002	30	48	40	43	82	125	169	150	110	57	68	61	81.92	74
2003	56	39	44	74	98	119	172	178	141	94	49	40	92.00	83
2004	25	49	40	65	81	127	145	154	129	74	57	32	81.50	88
2005	24	45	69	83	89	124	178	157	160	114	54	29	93.83	88
2006	21	41	20	40	97	138	179	162	136	103	40	88	88.75	84
2007	56	41	35	72	97	133	172	156	134	78	28	25	85.58	84
2008	9	17	7	20	63	121	155	139	122	112	50	17	69.33	85
2009	17	13	21	61	73	118	165	180	161	99	35	37	81.67	80
2010	48	52	82	88	117	171	191	201	145	73	16	0	98.67	72
2011	1	1	9	28	73	121	149	157	137	45	25	27	64.42	70
2012	4	4	14	26	49	81	101	115	94	40	30	12	47.50	66
2013	32	27	41	41	61	93	105	112	86	67	23	25	59.42	60
2014	10	1	28	51	63	83	127	121	105	47	48	18	58.50	66
2015	11	5	19	34	80	104	135	127	99	116	53	61	70.33	57
2016	61	59	73	79	108	149	155	139	144	75	52	40	94.50	45
