“10.北美大西洋副高面积指数(110W-20W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：19.36
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	6	27	35	53	53	44	29	20	16	23.58	
1952	15	9	21	21	27	43	54	49	36	26	13	13	27.25	
1953	8	7	6	21	26	40	50	49	34	20	13	19	24.42	23
1954	7	0	5	7	6	27	46	45	40	14	3	0	16.67	22
1955	0	0	0	3	28	34	50	49	37	23	14	10	20.67	20
1956	0	0	6	9	28	40	52	42	25	27	7	8	20.33	19
1957	9	5	7	18	10	25	42	42	21	14	4	8	17.08	20
1958	8	8	11	16	16	40	47	41	32	18	13	7	21.42	21
1959	3	15	20	20	16	35	48	42	33	18	13	8	22.58	22
1960	10	3	11	12	35	40	45	49	37	18	14	15	24.08	22
1961	11	6	10	27	22	41	41	49	28	15	9	10	22.42	21
1962	16	6	0	11	20	30	46	50	40	15	13	9	21.33	19
1963	0	0	4	2	12	35	43	44	34	8	0	9	15.92	16
1964	4	3	7	1	11	13	37	35	26	2	0	0	11.58	14
1965	0	0	1	0	0	25	40	32	21	14	1	0	11.17	12
1966	0	2	0	2	12	21	39	38	24	0	0	0	11.50	11
1967	0	0	0	0	4	10	42	41	9	0	0	0	8.83	12
1968	0	0	0	0	1	23	45	43	25	5	1	0	11.92	13
1969	0	0	10	14	19	39	52	39	27	2	1	0	16.92	13
1970	4	0	2	22	14	37	45	48	29	2	0	0	16.92	13
1971	0	0	0	0	2	19	33	34	9	1	0	0	8.17	13
1972	0	0	0	0	5	15	40	39	18	6	1	1	10.42	11
1973	8	0	0	0	3	11	46	40	29	0	0	0	11.42	10
1974	0	0	0	0	0	6	40	36	13	0	0	0	7.92	10
1975	0	0	0	5	4	21	34	41	29	0	0	0	11.17	11
1976	0	0	0	0	1	16	34	36	16	0	3	0	8.83	12
1977	2	6	4	0	5	19	47	43	31	23	0	5	15.42	13
1978	1	4	4	1	9	37	38	42	23	4	6	5	14.50	15
1979	0	2	0	3	15	39	55	45	23	24	0	0	17.17	17
1980	2	1	5	8	23	47	52	45	38	27	9	0	21.42	17
1981	0	0	8	6	17	33	51	41	33	8	3	0	16.67	19
1982	1	0	0	6	14	36	47	52	35	12	0	0	16.92	17
1983	4	9	7	9	22	34	55	56	37	14	10	1	21.50	16
1984	0	0	0	6	6	27	36	42	5	8	0	0	10.83	15
1985	0	0	0	0	5	26	42	43	16	4	0	8	12.00	17
1986	0	0	0	1	11	31	50	42	27	17	4	9	16.00	16
1987	4	5	1	10	12	41	48	48	42	29	17	18	22.92	17
1988	7	0	9	8	22	33	56	49	33	12	5	0	19.50	19
1989	0	0	0	0	8	30	52	45	28	15	4	11	16.08	19
1990	0	1	0	2	16	44	47	54	38	22	8	4	19.67	18
1991	9	1	5	2	16	37	52	55	41	0	3	3	18.67	18
1992	2	4	11	8	6	29	49	52	28	7	3	6	17.08	19
1993	0	0	0	8	16	38	50	49	34	15	8	3	18.42	20
1994	1	0	5	10	26	41	56	55	39	6	19	7	22.08	20
1995	9	10	2	9	29	38	47	51	48	18	13	9	23.58	20
1996	0	0	0	2	18	39	54	48	25	10	0	0	16.33	21
1997	0	0	0	1	13	24	53	54	36	11	9	13	17.83	20
1998	1	15	13	22	30	44	57	57	40	32	4	7	26.83	18
1999	0	0	0	7	12	30	49	48	18	17	0	1	15.17	19
2000	0	0	0	1	12	43	40	48	25	7	3	2	15.08	19
2001	0	0	0	5	19	34	49	56	27	25	3	0	18.17	19
2002	5	3	1	5	24	41	58	55	33	8	15	11	21.58	20
2003	12	7	8	19	29	37	56	55	40	17	8	0	24.00	22
2004	5	10	2	12	19	39	48	52	33	21	7	2	20.83	23
2005	0	8	21	20	20	33	57	51	51	24	7	5	24.75	23
2006	0	9	1	1	24	40	60	51	41	32	3	16	23.17	22
2007	9	14	1	18	24	38	56	50	40	12	1	4	22.25	22
2008	0	0	0	0	14	37	53	40	33	29	0	2	17.33	22
2009	1	0	0	11	15	32	51	53	47	25	0	6	20.08	20
2010	6	12	22	18	30	53	57	52	39	17	0	0	25.50	19
2011	0	0	0	0	15	36	53	51	42	3	0	0	16.67	19
2012	0	0	0	0	10	24	48	44	32	8	4	0	14.17	18
2013	9	0	8	7	11	39	47	46	28	26	0	1	18.50	17
2014	3	0	0	6	11	28	52	42	34	9	12	0	16.42	19
2015	0	0	2	3	17	35	48	50	36	29	6	8	19.50	16
2016	12	6	15	15	29	43	53	51	46	9	0	9	24.00	12
