“11.太平洋副高面积指数(110E-115W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：27.16
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	5	12	18	9	33	33	17	14	22	14	14.75	
1952	12	14	5	10	12	26	35	24	17	14	3	4	14.67	
1953	10	7	0	7	18	23	41	37	12	29	17	20	18.42	15
1954	2	0	3	7	14	39	19	25	19	23	8	1	13.33	14
1955	6	1	6	7	14	23	24	24	26	11	7	1	12.50	14
1956	0	1	4	10	9	14	27	21	9	17	10	4	10.50	15
1957	0	0	3	6	6	26	34	27	32	13	16	14	14.75	17
1958	28	24	17	22	20	36	33	42	29	14	10	16	24.25	20
1959	10	10	15	8	26	38	42	33	27	34	21	15	23.25	22
1960	12	19	3	8	25	54	56	53	48	29	17	16	28.33	24
1961	10	3	11	20	24	26	37	50	31	10	14	7	20.25	23
1962	8	7	7	13	20	28	42	52	42	33	22	9	23.58	20
1963	2	5	3	4	7	30	42	40	43	7	17	13	17.75	17
1964	8	10	7	4	4	17	27	23	29	14	0	0	11.92	17
1965	2	0	6	3	10	21	17	13	15	12	16	12	10.58	14
1966	15	10	4	10	14	37	31	46	23	18	10	6	18.67	13
1967	3	1	0	0	3	16	24	32	18	17	5	5	10.33	15
1968	0	0	1	0	1	31	39	26	17	8	18	0	11.75	18
1969	0	5	19	21	28	51	60	34	38	13	13	14	24.67	16
1970	9	10	14	20	19	50	48	46	23	14	9	7	22.42	16
1971	0	0	0	0	11	25	21	9	14	17	9	5	9.25	17
1972	0	0	0	6	7	17	8	19	13	22	26	15	11.08	14
1973	10	19	18	21	18	27	32	26	43	7	9	6	19.67	11
1974	0	0	0	0	1	3	11	12	12	20	11	9	6.58	11
1975	4	0	0	2	4	19	17	16	19	12	0	2	7.92	12
1976	0	0	0	4	4	7	14	26	12	19	13	8	8.92	12
1977	7	16	14	8	14	25	16	24	22	25	11	12	16.17	15
1978	11	22	16	16	16	21	10	33	19	20	12	19	17.92	18
1979	14	8	10	17	24	42	66	31	30	27	12	11	24.33	21
1980	4	9	11	19	25	47	46	39	25	31	26	9	24.25	22
1981	11	12	20	18	22	35	45	34	32	17	21	17	23.67	24
1982	5	4	5	8	23	30	31	29	25	11	21	20	17.67	22
1983	26	22	29	22	27	42	64	48	33	29	25	14	31.75	20
1984	3	4	19	8	24	15	3	20	18	12	13	2	11.75	18
1985	6	1	8	0	10	23	32	26	19	15	12	12	13.67	20
1986	5	0	4	11	5	26	37	11	14	33	18	16	15.00	20
1987	19	16	19	24	21	41	47	55	34	35	27	22	30.00	21
1988	19	14	19	18	22	42	59	49	38	24	23	11	28.17	23
1989	7	8	0	1	18	32	48	17	18	22	11	13	16.25	24
1990	9	8	16	13	26	32	33	50	35	29	12	15	23.17	24
1991	10	9	17	22	29	34	56	43	29	10	22	17	24.83	26
1992	22	11	27	21	20	53	54	63	21	26	11	12	28.42	30
1993	8	5	15	32	38	56	69	70	49	41	26	19	35.67	34
1994	4	10	21	24	43	62	68	76	51	45	33	37	39.50	33
1995	25	19	20	28	40	60	69	79	66	51	26	24	42.25	32
1996	3	2	4	11	23	42	53	37	12	20	8	0	17.92	33
1997	1	5	6	11	9	27	54	50	37	29	23	21	22.75	28
1998	29	34	30	40	42	60	72	77	34	38	21	17	41.17	22
1999	4	12	0	8	8	16	33	31	19	19	6	11	13.92	22
2000	0	10	10	9	13	21	18	22	4	13	14	15	12.42	24
2001	15	8	12	19	23	14	29	56	26	22	15	22	21.75	22
2002	17	24	16	12	20	41	57	48	33	22	31	29	29.17	25
2003	24	16	16	19	26	41	64	70	53	38	16	22	33.75	31
2004	14	19	15	22	24	46	52	56	49	16	26	16	29.58	33
2005	18	18	22	27	32	52	73	59	62	52	24	22	38.42	34
2006	15	15	6	15	35	57	70	57	50	31	19	44	34.50	33
2007	22	14	15	27	40	57	70	60	55	38	15	16	35.75	34
2008	7	10	3	10	19	42	56	52	50	45	27	12	27.75	34
2009	11	6	9	28	25	47	66	70	71	43	19	21	34.67	33
2010	26	19	23	32	40	65	81	86	61	27	16	0	39.67	28
2011	1	0	3	12	23	45	50	59	57	22	12	15	24.92	25
2012	0	1	2	11	7	20	13	26	28	11	14	6	11.58	22
2013	11	14	14	15	21	20	13	27	21	12	12	17	16.42	18
2014	3	0	15	20	23	20	30	33	34	14	24	14	19.17	21
2015	7	0	9	6	24	31	36	25	19	40	22	25	20.33	18
2016	32	25	29	31	36	62	53	35	53	36	26	17	36.25	15
