“12.北半球副高强度指数(5E-360)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：158.41
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	3	0	7	30	133	202	435	474	323	120	92	58	156.42	
1952	45	34	46	88	129	393	474	353	235	123	44	31	166.25	
1953	28	29	34	64	126	294	486	417	193	134	85	88	164.83	147
1954	19	0	35	67	102	177	373	313	238	95	36	5	121.67	134
1955	24	5	16	22	136	251	345	318	248	89	48	14	126.33	119
1956	0	3	24	42	89	227	277	188	104	96	41	18	92.42	117
1957	18	5	11	46	53	146	241	245	152	63	45	50	89.58	123
1958	81	60	68	108	147	316	363	322	187	82	52	44	152.50	134
1959	23	47	86	64	96	253	399	329	241	177	86	66	155.58	143
1960	36	37	36	47	156	336	443	507	287	155	70	74	182.00	152
1961	31	16	55	99	105	239	327	426	189	48	35	25	132.92	142
1962	42	20	11	50	114	200	358	376	263	105	72	30	136.75	125
1963	2	6	10	8	42	193	332	314	213	29	40	42	102.58	106
1964	25	18	27	19	73	81	210	188	168	24	2	0	69.58	101
1965	2	1	10	11	55	218	272	193	128	74	60	21	87.08	88
1966	36	33	15	38	121	237	276	304	164	48	23	9	108.67	87
1967	5	6	4	30	53	98	265	245	86	65	14	14	73.75	103
1968	0	1	12	17	39	189	356	279	157	40	38	0	94.00	111
1969	3	26	100	105	178	307	457	295	194	61	43	45	151.17	101
1970	35	46	48	131	124	281	309	343	169	34	13	9	128.50	101
1971	0	5	7	15	47	157	174	144	60	59	18	8	57.83	101
1972	0	0	0	6	37	109	220	206	113	66	64	31	71.00	81
1973	26	46	33	57	86	147	251	244	227	10	13	10	95.83	70
1974	0	0	0	0	22	74	184	192	73	47	17	14	51.92	75
1975	4	0	0	14	29	133	215	213	173	56	25	8	72.50	83
1976	3	4	3	29	72	131	215	258	144	61	36	21	81.42	84
1977	17	47	47	29	88	170	251	302	200	140	47	29	113.92	100
1978	28	55	53	50	101	204	213	251	121	54	45	42	101.42	118
1979	23	14	21	66	131	264	482	236	159	124	33	28	131.75	127
1980	16	17	35	83	172	414	387	342	221	158	79	15	161.58	126
1981	13	13	47	74	124	247	358	235	212	73	58	38	124.33	145
1982	6	4	9	28	97	240	285	341	192	49	42	64	113.08	132
1983	81	74	119	116	206	302	458	429	249	136	101	31	191.83	117
1984	3	5	34	37	95	145	159	224	70	41	19	2	69.50	114
1985	7	1	24	0	67	207	253	280	126	47	17	32	88.42	129
1986	6	0	9	49	72	170	370	241	166	132	51	46	109.33	123
1987	53	42	42	135	144	327	405	403	287	172	110	113	186.08	131
1988	60	24	64	72	164	274	541	358	214	79	63	23	161.33	142
1989	13	17	0	17	108	226	391	224	161	87	34	36	109.50	151
1990	14	16	47	51	120	274	305	411	268	134	35	34	142.42	139
1991	29	23	37	48	163	309	443	417	287	33	61	43	157.75	137
1992	41	35	101	81	76	191	313	411	102	56	30	27	122.00	152
1993	11	6	31	120	194	305	362	368	216	135	65	42	154.58	165
1994	7	18	79	87	225	312	399	459	233	112	122	152	183.75	157
1995	94	66	66	127	221	362	349	443	398	160	103	76	205.42	161
1996	3	3	11	42	164	249	429	327	126	69	12	0	119.58	183
1997	1	12	15	24	84	185	428	410	227	127	75	95	140.25	168
1998	118	186	164	248	346	458	552	583	273	176	55	62	268.42	148
1999	5	31	3	61	96	207	327	306	142	87	20	16	108.42	154
2000	0	17	21	44	105	226	257	313	102	58	34	36	101.08	162
2001	26	14	23	73	152	204	367	517	200	133	53	49	150.92	150
2002	38	84	62	60	154	317	548	391	233	75	111	100	181.08	164
2003	88	55	65	111	206	269	563	553	336	152	63	53	209.50	187
2004	32	66	53	102	194	334	358	476	259	121	82	37	176.17	196
2005	29	71	132	155	165	299	579	435	407	199	78	52	216.75	196
2006	26	58	24	54	185	329	601	395	277	190	51	156	195.50	183
2007	105	58	46	131	200	286	485	425	269	116	47	36	183.67	186
2008	9	20	7	20	112	262	392	321	263	203	91	22	143.50	192
2009	21	15	23	102	133	270	530	519	415	157	43	51	189.92	181
2010	61	86	158	204	282	504	645	596	302	114	25	0	248.08	167
2011	1	1	9	33	150	286	373	401	304	69	34	37	141.50	164
2012	4	4	17	43	117	228	304	328	201	50	41	14	112.58	154
2013	41	37	68	67	154	222	319	286	191	110	35	31	130.08	134
2014	10	1	37	90	144	227	410	362	215	64	64	24	137.33	150
2015	11	5	21	45	157	248	357	349	210	217	85	97	150.17	128
2016	116	110	155	152	238	389	454	398	371	133	79	61	221.33	102
