“14.北非大西洋北美副高强度指数(110W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：105.42
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	3	0	0	9	97	188	379	415	291	91	45	31	129.08	
1952	26	12	35	60	107	334	400	307	198	93	31	17	135.00	
1953	13	12	20	42	94	247	396	344	168	70	34	44	123.67	115
1954	14	0	17	29	59	90	334	272	193	46	5	1	88.33	103
1955	0	0	1	4	94	207	300	284	188	66	31	12	98.92	88
1956	0	0	9	15	75	204	218	162	84	70	11	10	71.50	83
1957	17	5	8	33	33	84	183	195	86	35	4	9	57.67	86
1958	16	17	28	46	93	233	289	245	134	60	21	13	99.58	91
1959	3	29	51	40	49	170	308	266	176	98	29	33	104.33	96
1960	17	3	31	28	112	211	340	369	177	102	34	35	121.58	103
1961	18	11	23	59	65	204	265	330	125	32	13	17	96.83	97
1962	33	7	0	26	75	155	286	271	182	33	23	14	92.08	85
1963	0	0	4	2	30	135	259	255	115	12	0	14	68.83	74
1964	6	3	9	6	58	58	169	159	102	2	0	0	47.67	70
1965	0	1	1	5	38	176	246	177	98	41	15	4	66.83	63
1966	3	11	10	23	79	160	217	238	113	11	1	0	72.17	64
1967	0	1	2	19	43	81	233	203	62	29	9	7	57.42	77
1968	0	1	11	16	31	136	296	244	138	31	12	0	76.33	82
1969	3	20	56	60	133	210	358	243	144	43	24	24	109.83	75
1970	26	34	29	91	99	191	235	266	123	13	2	2	92.58	74
1971	0	5	7	15	30	104	140	130	39	20	3	2	41.25	71
1972	0	0	0	0	29	87	210	175	94	24	1	1	51.75	58
1973	9	0	0	12	54	107	212	196	141	1	0	0	61.00	51
1974	0	0	0	0	21	71	170	176	58	0	0	0	41.33	56
1975	0	0	0	9	24	101	191	193	149	41	24	6	61.50	64
1976	3	4	3	22	62	120	196	211	125	29	10	9	66.17	66
1977	8	22	17	17	71	131	231	266	168	92	22	15	88.33	76
1978	15	12	22	23	76	171	201	205	90	20	21	7	71.92	86
1979	0	4	7	38	89	195	350	201	107	76	8	11	90.50	90
1980	6	2	16	41	119	308	301	287	170	96	24	1	114.25	89
1981	0	0	14	32	91	177	284	191	153	42	14	12	84.17	99
1982	1	0	2	15	60	189	231	302	152	31	7	10	83.33	92
1983	12	19	28	58	136	207	335	344	188	65	48	9	120.75	82
1984	0	1	3	24	61	129	155	198	77	26	1	0	56.25	82
1985	0	0	7	3	53	169	212	243	82	25	1	11	67.17	90
1986	0	0	5	28	62	121	306	225	141	60	13	18	81.58	86
1987	16	15	8	74	99	254	308	302	225	89	37	42	122.42	91
1988	12	1	23	25	108	193	380	271	161	36	17	1	102.33	98
1989	4	4	0	6	66	181	307	204	126	51	12	18	81.58	103
1990	1	2	11	12	79	224	261	321	190	75	18	9	100.25	93
1991	15	7	11	15	96	244	337	344	202	15	13	11	109.17	89
1992	5	15	27	35	43	107	217	275	80	24	4	8	70.00	93
1993	1	0	9	32	85	181	248	244	139	53	20	11	85.25	93
1994	1	3	23	36	111	184	273	305	140	32	56	42	100.50	90
1995	33	25	17	42	108	197	219	265	206	56	41	18	102.25	96
1996	0	1	7	25	115	180	329	274	113	40	1	0	90.42	113
1997	0	5	5	12	69	148	356	340	171	58	28	47	103.25	110
1998	27	69	58	129	221	327	404	408	213	118	24	29	168.92	106
1999	1	12	3	46	87	179	276	264	104	54	12	1	86.58	111
2000	0	4	5	31	89	190	234	284	96	35	8	9	82.08	115
2001	3	5	6	41	111	179	325	403	157	94	32	13	114.08	110
2002	14	25	25	39	117	246	432	316	182	34	39	35	125.33	117
2003	35	32	34	74	155	200	422	374	233	81	26	16	140.17	129
2004	11	32	24	56	150	274	280	354	180	84	27	12	123.67	132
2005	6	32	76	91	112	206	415	325	264	106	32	7	139.33	130
2006	4	31	17	31	129	234	412	320	209	126	21	50	132.00	121
2007	35	38	24	73	127	195	323	297	181	51	14	10	114.00	122
2008	2	8	4	10	81	198	296	235	184	104	25	5	96.00	124
2009	6	7	14	58	103	182	400	377	259	82	17	18	126.92	117
2010	25	38	92	108	187	327	432	370	190	66	0	0	152.92	114
2011	0	1	6	21	109	201	296	289	193	29	11	12	97.33	116
2012	4	3	15	30	110	193	289	292	153	38	18	6	95.92	112
2013	28	19	44	45	121	197	301	250	158	88	13	8	106.00	103
2014	7	1	15	63	98	195	357	307	155	44	23	2	105.58	112
2015	4	5	8	37	112	192	297	308	172	128	32	34	110.75	93
2016	30	41	72	66	169	263	361	335	254	46	19	28	140.33	71
