“15.印度副高面积强度指数(65E-95E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：4.33
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	8	12	999	999	999	999	5	13	9	3.92	
1952	5	4	6	16	10	999	999	999	999	9	8	8	5.50	
1953	5	8	14	9	10	999	999	999	999	9	17	16	7.33	5
1954	3	0	12	23	14	999	999	999	999	3	13	2	5.83	5
1955	12	3	3	8	10	999	999	999	999	2	7	1	3.83	5
1956	0	1	7	8	3	999	999	999	999	1	12	4	3.00	5
1957	1	0	0	7	14	999	999	999	999	7	10	9	4.00	5
1958	14	13	11	30	19	999	999	999	999	5	8	8	9.00	5
1959	5	5	16	13	14	999	999	999	999	5	11	9	6.50	5
1960	0	3	2	7	9	999	999	999	999	3	5	5	2.83	4
1961	0	1	14	11	0	999	999	999	999	0	0	0	2.17	3
1962	1	2	0	2	1	999	999	999	999	2	10	2	1.67	2
1963	0	0	3	0	3	999	999	999	999	2	5	2	1.25	2
1964	6	0	9	9	11	999	999	999	999	0	2	0	3.08	3
1965	0	0	3	3	3	999	999	999	999	12	14	1	3.00	3
1966	4	8	1	5	19	999	999	999	999	10	6	0	4.42	3
1967	2	4	2	11	7	999	999	999	999	7	0	0	2.75	3
1968	0	0	0	1	7	999	999	999	999	1	1	0	0.83	2
1969	0	1	9	11	1	999	999	999	999	0	0	0	1.83	1
1970	0	2	2	2	0	999	999	999	999	0	0	0	0.50	1
1971	0	0	0	0	0	999	999	999	999	0	0	0	0.00	1
1972	0	0	0	0	0	999	999	999	999	2	0	0	0.17	0
1973	1	0	0	7	4	999	999	999	999	0	0	0	1.00	0
1974	0	0	0	0	0	999	999	999	999	0	0	0	0.00	0
1975	0	0	0	3	1	999	999	999	999	0	1	0	0.42	1
1976	0	0	0	3	4	999	999	999	999	0	0	0	0.58	1
1977	0	0	8	2	1	999	999	999	999	4	0	0	1.25	1
1978	0	0	0	2	4	999	999	999	999	0	1	0	0.58	1
1979	0	0	1	2	4	999	999	999	999	1	2	3	1.08	1
1980	5	6	6	10	12	999	999	999	999	0	0	0	3.25	2
1981	0	0	1	5	3	999	999	999	999	0	0	0	0.75	2
1982	0	0	1	3	1	999	999	999	999	8	4	7	2.00	2
1983	6	5	15	11	13	999	999	999	999	0	3	0	4.42	2
1984	0	0	1	0	5	999	999	999	999	0	0	0	0.50	2
1985	0	0	8	3	3	999	999	999	999	0	0	0	1.17	2
1986	0	0	0	2	5	999	999	999	999	2	2	1	1.00	2
1987	4	1	0	14	9	999	999	999	999	3	3	9	3.58	2
1988	1	1	4	9	13	999	999	999	999	1	3	3	2.92	3
1989	2	7	0	10	6	999	999	999	999	5	10	0	3.33	3
1990	2	5	14	19	2	999	999	999	999	9	3	3	4.75	3
1991	2	2	4	4	11	999	999	999	999	0	4	2	2.42	4
1992	1	3	18	11	8	999	999	999	999	1	1	1	3.67	4
1993	2	1	4	12	20	999	999	999	999	11	3	3	4.67	4
1994	1	1	10	9	19	999	999	999	999	8	4	10	5.17	4
1995	3	4	8	14	7	999	999	999	999	3	3	2	3.67	4
1996	0	0	0	1	9	999	999	999	999	0	0	0	0.83	5
1997	0	2	4	0	6	999	999	999	999	11	8	11	3.50	4
1998	16	19	23	33	32	999	999	999	999	2	0	5	10.83	3
1999	0	1	0	5	0	999	999	999	999	1	2	0	0.75	4
2000	0	0	1	4	3	999	999	999	999	3	2	2	1.25	4
2001	0	1	1	5	6	999	999	999	999	6	2	3	2.00	2
2002	0	6	4	8	14	999	999	999	999	3	3	4	3.50	3
2003	6	2	5	11	20	999	999	999	999	4	7	3	4.83	3
2004	0	8	9	11	5	999	999	999	999	3	5	4	3.75	3
2005	0	3	6	10	5	999	999	999	999	3	2	0	2.42	3
2006	1	3	0	3	4	999	999	999	999	4	0	11	2.17	2
2007	10	0	4	1	2	999	999	999	999	0	0	0	1.42	1
2008	0	0	0	0	1	999	999	999	999	3	2	0	0.50	2
2009	0	0	0	0	3	999	999	999	999	0	0	0	0.25	1
2010	0	4	16	22	14	999	999	999	999	0	0	0	4.67	1
2011	0	0	0	0	2	999	999	999	999	0	2	0	0.33	1
2012	0	0	0	0	0	999	999	999	999	0	0	0	0.00	1
2013	0	0	0	0	0	999	999	999	999	0	0	0	0.00	1
2014	0	0	0	0	0	999	999	999	0	0	1	1	0.17	2
2015	0	0	1	1	5	999	999	999	999	12	3	13	2.92	2
2016	3	15	14	19	9	999	999	999	999	3	8	6	6.42	2
