“16.西太平洋副高强度指数(110E-180)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：35.86
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	7	12	24	12	34	30	25	24	28	18	17.83	
1952	13	18	5	12	5	42	32	25	31	21	5	4	17.75	
1953	10	9	0	10	21	40	31	42	20	45	30	28	23.83	19
1954	2	0	4	8	25	44	23	24	33	18	12	1	16.17	17
1955	11	1	8	9	24	38	17	12	53	20	9	1	16.92	18
1956	0	1	5	15	10	18	12	15	18	4	17	4	9.92	19
1957	0	0	3	6	2	45	41	30	44	21	28	32	21.00	21
1958	39	15	26	26	35	42	41	38	41	12	22	22	29.92	23
1959	13	13	16	10	22	53	36	13	32	53	31	23	26.25	26
1960	19	13	3	11	17	48	47	51	55	25	28	32	29.08	27
1961	12	4	18	13	26	19	32	66	39	8	21	8	22.17	26
1962	2	10	11	5	37	32	38	69	56	41	21	13	27.92	24
1963	2	6	3	5	8	43	42	39	72	13	34	26	24.42	21
1964	11	14	8	4	4	21	30	20	58	16	0	0	15.50	22
1965	2	0	6	3	14	36	23	13	26	17	31	16	15.58	18
1966	28	14	4	10	23	52	57	40	43	25	15	9	26.67	16
1967	3	1	0	0	3	14	11	25	15	25	3	7	8.92	18
1968	0	0	1	0	1	32	35	26	11	8	18	0	11.00	21
1969	0	5	33	31	42	65	54	37	33	16	19	21	29.67	18
1970	9	10	17	37	25	55	41	38	44	21	11	7	26.25	20
1971	0	0	0	0	17	48	27	12	21	39	15	6	15.42	24
1972	0	0	0	6	8	22	5	30	18	36	62	29	18.00	20
1973	14	43	32	36	27	31	22	43	62	9	13	10	28.50	16
1974	0	0	0	0	1	3	13	14	15	46	17	14	10.25	16
1975	4	0	0	2	4	28	21	17	21	14	0	2	9.42	17
1976	0	0	0	4	6	11	16	41	16	32	26	11	13.58	16
1977	9	24	19	9	15	33	14	26	28	40	25	14	21.33	20
1978	13	38	28	23	19	30	6	30	31	33	22	32	25.42	25
1979	21	8	10	23	35	55	67	25	41	41	21	12	29.92	29
1980	4	9	12	29	39	88	60	42	46	51	50	13	36.92	30
1981	10	13	30	35	29	49	44	21	48	30	40	25	31.17	35
1982	5	4	5	10	33	44	34	23	36	16	35	47	24.33	32
1983	56	43	57	40	53	75	72	54	52	65	42	21	52.50	28
1984	3	4	28	10	26	10	1	19	19	18	18	2	13.17	25
1985	7	1	8	2	10	29	20	26	44	22	15	20	17.00	31
1986	5	0	4	16	5	26	40	0	25	60	36	25	20.17	28
1987	31	24	32	43	32	58	73	68	52	72	67	59	50.92	30
1988	46	22	35	36	42	57	70	43	39	36	41	19	40.50	32
1989	7	6	0	1	36	39	45	16	34	30	12	18	20.33	36
1990	11	9	22	20	36	36	23	44	64	44	13	21	28.58	32
1991	12	13	21	28	51	57	72	32	75	18	42	28	37.42	33
1992	30	17	47	29	21	50	69	69	15	22	25	18	34.33	40
1993	8	5	17	58	66	69	68	69	58	56	38	26	44.83	48
1994	5	13	42	36	73	83	73	91	51	51	47	77	53.50	44
1995	48	31	32	55	63	99	83	112	125	75	53	46	68.50	42
1996	3	2	4	16	39	55	44	22	11	27	11	0	19.50	45
1997	1	5	6	12	9	22	36	31	38	52	33	33	23.17	37
1998	63	66	67	61	60	96	70	94	49	45	29	27	60.58	26
1999	4	17	0	10	9	21	16	22	34	29	6	15	15.25	27
2000	0	11	15	9	10	26	7	13	6	20	24	25	13.83	30
2001	21	8	16	26	35	22	23	35	26	30	19	30	24.25	27
2002	23	45	31	13	23	45	43	30	45	36	60	53	37.25	31
2003	40	20	25	23	27	52	81	106	71	52	28	32	46.42	39
2004	20	25	19	33	36	31	51	49	50	31	47	21	34.42	42
2005	22	34	46	43	39	62	74	61	89	60	39	37	50.50	43
2006	18	23	7	20	39	60	89	31	40	53	29	67	39.67	41
2007	55	20	18	52	52	50	74	66	53	44	32	26	45.17	42
2008	7	12	3	10	28	42	43	43	57	79	59	17	33.33	43
2009	15	8	9	36	18	49	71	73	83	56	24	29	39.25	41
2010	23	36	43	57	55	89	112	125	74	32	25	0	55.92	34
2011	1	0	3	12	36	62	23	57	70	40	21	25	29.17	32
2012	0	1	2	13	7	26	11	27	45	12	23	8	14.58	30
2013	13	18	24	22	33	20	15	32	25	22	22	23	22.42	25
2014	3	0	21	27	45	29	47	47	43	18	37	20	28.08	29
2015	6	0	11	6	37	51	42	18	30	53	46	44	28.67	26
2016	61	45	48	57	38	81	49	30	76	62	42	27	51.33	22
