“17.东太平洋副高强度指数(175W-115W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：12.69
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	0	0	0	20	24	4	0	6	0	4.50	
1952	0	0	0	0	7	7	39	20	1	0	0	0	6.17	
1953	0	0	0	0	0	5	50	22	0	3	0	0	6.67	6
1954	0	0	0	0	0	41	13	17	10	21	0	0	8.50	6
1955	0	0	0	0	1	5	26	21	3	0	0	0	4.67	6
1956	0	0	0	0	0	3	31	9	1	19	0	0	5.25	7
1957	0	0	0	0	4	15	17	18	21	0	3	0	6.50	9
1958	11	15	0	4	0	26	29	34	12	4	0	0	11.25	13
1959	0	0	3	0	11	22	55	43	24	20	14	0	16.00	14
1960	0	18	0	0	18	73	56	81	51	22	0	0	26.58	16
1961	0	0	0	15	11	16	27	29	23	6	0	0	10.58	15
1962	6	0	0	16	0	13	34	35	23	27	15	0	14.08	12
1963	0	0	0	0	0	13	31	19	20	0	0	0	6.92	7
1964	1	0	0	0	0	2	11	9	6	4	0	0	2.75	6
1965	0	0	0	0	0	5	3	3	0	1	0	0	1.00	4
1966	0	0	0	0	0	21	2	26	3	0	0	0	4.33	4
1967	0	0	0	0	0	3	21	17	9	4	2	0	4.67	5
1968	0	0	0	0	0	19	25	9	6	0	6	0	5.42	7
1969	0	0	0	0	1	32	45	15	17	2	0	0	9.33	6
1970	0	0	0	1	0	35	33	37	2	0	0	0	9.00	5
1971	0	0	0	0	0	5	7	2	0	0	0	0	1.17	5
1972	0	0	0	0	0	0	5	1	0	0	0	0	0.50	3
1973	0	0	0	0	0	8	17	3	23	0	0	0	4.25	1
1974	0	0	0	0	0	0	1	2	0	1	0	0	0.33	1
1975	0	0	0	0	0	4	3	3	3	1	0	0	1.17	2
1976	0	0	0	0	0	0	3	6	3	0	0	0	1.00	1
1977	0	1	0	0	0	6	6	10	4	1	0	0	2.33	3
1978	0	4	1	0	0	3	6	16	0	1	0	0	2.58	4
1979	0	0	0	0	1	12	62	10	8	5	0	1	8.25	5
1980	0	0	0	0	0	17	26	13	4	9	5	0	6.17	6
1981	3	0	1	0	0	21	30	23	8	0	3	0	7.42	7
1982	0	0	0	0	0	6	20	16	3	0	0	0	3.75	6
1983	6	4	16	2	1	17	49	29	6	4	7	0	11.75	6
1984	0	0	1	0	3	6	3	4	0	0	0	0	1.42	5
1985	0	0	0	0	0	9	21	11	0	0	0	0	3.42	6
1986	0	0	0	0	0	23	24	16	0	8	0	1	6.00	6
1987	0	0	0	1	0	14	24	32	3	4	0	0	6.50	7
1988	0	0	0	0	0	23	90	44	14	6	1	0	14.83	8
1989	0	0	0	0	0	6	39	4	0	0	0	0	4.08	8
1990	0	0	0	0	3	12	21	36	10	5	0	0	7.25	9
1991	0	0	0	0	4	8	34	39	7	0	1	0	7.75	10
1992	5	0	5	2	1	33	27	67	7	9	0	0	13.00	14
1993	0	0	0	14	19	47	46	54	18	11	3	1	17.75	17
1994	0	0	2	4	18	45	52	59	38	15	10	18	21.75	17
1995	5	4	4	8	36	57	46	64	59	20	2	8	26.08	16
1996	0	0	0	0	0	12	47	30	2	0	0	0	7.58	17
1997	0	0	0	0	0	15	35	36	8	0	1	0	7.92	14
1998	8	28	11	19	25	30	75	71	4	7	1	0	23.25	10
1999	0	0	0	0	0	5	35	20	4	1	0	0	5.42	10
2000	0	2	0	0	3	10	16	16	0	0	0	0	3.92	11
2001	2	0	0	0	0	3	19	77	14	1	0	1	9.75	10
2002	0	4	0	0	0	24	68	42	5	0	7	6	13.00	11
2003	5	1	1	1	2	15	53	68	28	10	0	1	15.42	15
2004	1	1	0	0	1	29	27	72	24	0	2	0	13.08	17
2005	1	0	2	7	7	31	87	49	46	26	3	8	22.25	19
2006	2	0	0	0	11	35	97	40	24	1	0	26	19.67	18
2007	2	0	0	3	17	41	88	61	35	19	1	0	22.25	20
2008	0	0	0	0	2	20	52	43	20	11	3	0	12.58	21
2009	0	0	0	7	9	39	59	61	67	15	0	3	21.67	20
2010	12	5	3	10	21	75	97	91	35	15	0	0	30.33	16
2011	0	0	0	0	3	23	54	54	41	0	0	0	14.58	14
2012	0	0	0	0	0	9	4	9	3	0	0	0	2.08	10
2013	0	0	0	0	0	5	3	4	8	0	0	0	1.67	5
2014	0	0	0	0	0	3	6	8	16	1	2	0	3.00	7
2015	1	0	0	0	1	5	18	20	1	19	0	3	5.67	6
2016	19	5	15	6	18	41	43	28	37	22	7	0	20.08	6
