“18.北美副高强度指数(110W-60W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：22.99
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	5	21	45	112	113	67	42	33	30	39.00	
1952	25	10	24	12	24	70	130	100	41	32	18	15	41.75	
1953	8	12	11	16	14	51	105	91	35	13	9	23	32.33	33
1954	11	0	5	7	4	19	99	105	62	26	3	0	28.42	29
1955	0	0	0	4	20	32	73	62	37	13	12	4	21.42	24
1956	0	0	9	15	22	37	83	47	16	26	10	10	22.92	22
1957	17	5	6	26	8	13	53	45	19	6	4	3	17.08	21
1958	2	1	6	10	10	50	69	52	28	6	11	0	20.42	21
1959	2	14	16	7	4	32	80	69	41	7	1	0	22.75	20
1960	0	3	0	0	22	37	62	79	34	4	1	1	20.25	20
1961	1	0	0	14	22	37	53	75	15	1	0	0	18.17	20
1962	7	0	0	2	10	22	78	64	50	6	2	1	20.17	18
1963	0	0	4	2	9	32	81	68	21	1	0	6	18.67	15
1964	4	2	5	1	6	8	47	41	18	2	0	0	11.17	14
1965	0	0	1	0	0	13	37	26	10	3	1	0	7.58	11
1966	0	0	0	2	2	10	47	46	19	0	0	0	10.50	11
1967	0	0	0	0	3	4	55	44	2	0	0	0	9.00	12
1968	0	0	0	0	0	14	77	68	14	2	1	0	14.67	14
1969	0	0	7	7	12	37	98	40	13	1	0	0	17.92	13
1970	1	0	2	25	5	28	61	63	26	0	0	0	17.58	13
1971	0	0	0	0	0	7	39	20	8	0	0	0	6.17	12
1972	0	0	0	0	0	4	50	36	22	6	1	1	10.00	10
1973	8	0	0	0	2	9	46	38	22	0	0	0	10.42	9
1974	0	0	0	0	0	4	35	36	13	0	0	0	7.33	9
1975	0	0	0	7	2	17	28	55	17	0	0	0	10.50	11
1976	0	0	0	0	1	3	34	37	10	0	4	0	7.42	12
1977	2	4	4	0	2	17	69	70	32	16	0	4	18.33	14
1978	1	2	4	1	8	39	55	64	17	3	6	5	17.08	18
1979	0	1	0	3	9	38	91	51	17	12	0	0	18.50	20
1980	2	1	5	8	19	76	89	64	36	23	11	0	27.83	20
1981	0	0	8	7	11	36	75	52	26	10	4	0	19.08	22
1982	1	0	0	7	7	37	64	84	28	3	0	0	19.25	20
1983	4	7	8	2	15	27	88	103	37	6	4	1	25.17	16
1984	0	0	0	5	1	13	32	34	1	4	0	0	7.50	16
1985	0	0	0	0	2	20	39	49	10	3	0	7	10.83	17
1986	0	0	0	1	3	19	77	47	31	7	5	4	16.17	17
1987	3	5	1	8	8	46	77	89	46	14	9	17	26.92	18
1988	10	0	7	4	18	27	92	64	27	1	4	0	21.17	20
1989	0	0	0	0	3	23	71	40	12	5	4	8	13.83	21
1990	0	1	0	2	10	52	59	77	31	7	4	4	20.58	20
1991	11	1	5	2	10	32	84	87	36	0	3	3	22.83	21
1992	2	4	13	9	7	30	80	77	27	7	3	7	22.17	24
1993	0	0	0	9	12	39	80	82	36	19	11	3	24.25	25
1994	1	0	5	8	22	54	94	88	36	2	16	7	27.75	24
1995	8	11	1	8	28	46	72	71	51	13	16	8	27.75	24
1996	0	0	0	2	13	37	85	63	12	7	0	0	18.25	27
1997	0	0	0	1	10	15	86	88	34	9	11	12	22.17	25
1998	1	18	11	34	55	85	118	105	32	25	4	7	41.25	23
1999	0	0	0	8	7	21	84	66	7	7	0	1	16.75	23
2000	0	0	0	1	6	38	53	73	13	3	3	2	16.00	24
2001	0	0	0	2	11	25	69	101	18	17	2	0	20.42	22
2002	6	3	1	4	20	40	109	78	23	7	12	12	26.25	24
2003	12	8	10	16	34	31	106	101	42	11	8	0	31.58	27
2004	5	12	2	8	16	58	62	82	24	13	7	2	24.25	29
2005	0	9	23	25	14	37	112	84	71	13	7	5	33.33	30
2006	0	10	1	1	20	40	119	86	42	30	2	21	31.00	26
2007	11	15	1	14	21	36	82	91	49	6	1	4	27.58	26
2008	0	0	0	0	7	36	70	33	23	13	0	2	15.33	27
2009	0	0	0	7	7	21	94	87	48	23	0	6	24.42	25
2010	4	7	16	18	39	91	113	97	37	10	0	0	36.00	22
2011	0	0	0	0	12	35	79	75	42	3	0	0	20.50	22
2012	0	0	0	0	1	13	61	51	20	0	2	0	12.33	19
2013	10	0	1	2	4	26	57	52	10	10	0	1	14.42	16
2014	2	0	0	1	1	17	71	40	24	2	7	0	13.75	18
2015	0	0	2	3	6	26	61	56	26	16	6	7	17.42	15
2016	12	6	19	13	29	44	95	79	54	6	0	13	30.83	12
