“19.大西洋副高强度指数(55W-25W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：20.92
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	4	24	41	93	107	78	13	6	0	30.50	
1952	1	1	10	28	24	71	88	74	52	29	0	2	31.67	
1953	1	0	0	12	26	61	94	90	53	28	10	16	32.58	29
1954	0	0	0	0	3	26	100	80	61	0	0	0	22.50	27
1955	0	0	0	0	30	52	83	86	59	28	11	8	29.75	24
1956	0	0	0	0	22	72	47	46	25	22	0	0	19.50	23
1957	0	0	2	4	4	24	43	51	22	18	0	6	14.50	27
1958	6	8	10	9	11	60	89	66	43	22	8	9	28.42	32
1959	1	11	23	26	22	54	111	78	61	52	25	22	40.50	37
1960	15	0	22	26	63	94	134	121	83	61	29	31	56.58	41
1961	17	10	15	40	12	83	99	130	61	27	13	14	43.42	40
1962	25	7	0	17	23	68	88	91	89	15	18	13	37.83	34
1963	0	0	0	0	7	38	57	77	42	7	0	8	19.67	25
1964	1	1	2	0	5	7	32	47	27	0	0	0	10.17	20
1965	0	0	0	0	0	52	60	51	18	14	0	0	16.25	14
1966	0	2	0	0	13	31	41	64	24	0	0	0	14.58	13
1967	0	0	0	0	1	6	66	59	7	0	0	0	11.58	16
1968	0	0	0	0	2	20	68	57	26	3	0	0	14.67	16
1969	0	0	7	7	18	39	89	60	27	1	1	0	20.75	15
1970	3	0	0	12	11	36	54	63	31	2	0	0	17.67	14
1971	0	0	0	0	4	17	28	43	1	1	0	0	7.83	13
1972	0	0	0	0	5	12	49	48	4	1	0	0	9.92	10
1973	1	0	0	0	1	2	42	39	26	0	0	0	9.25	9
1974	0	0	0	0	0	2	40	43	4	0	0	0	7.42	9
1975	0	0	0	0	2	12	32	35	35	0	0	0	9.67	9
1976	0	0	0	0	0	14	36	22	7	0	0	0	6.58	9
1977	0	3	0	0	3	10	45	55	24	17	0	1	13.17	11
1978	0	2	1	0	1	28	27	32	10	1	0	0	8.50	13
1979	0	1	0	0	8	37	66	48	15	16	0	0	15.92	14
1980	0	0	0	0	15	75	53	54	27	27	2	0	21.08	15
1981	0	0	2	0	7	24	63	32	27	1	0	0	13.00	18
1982	0	0	0	0	10	34	46	83	39	9	0	0	18.42	17
1983	1	4	2	7	17	37	68	62	40	8	8	0	21.17	15
1984	0	0	0	1	5	29	33	50	4	4	0	0	10.50	16
1985	0	0	0	0	3	27	58	60	8	1	0	4	13.42	18
1986	0	0	0	0	10	29	77	51	25	13	0	5	17.50	19
1987	1	1	0	5	10	48	69	64	59	41	8	11	26.42	21
1988	0	0	4	4	23	46	113	84	48	11	1	0	27.83	23
1989	0	0	0	0	6	36	85	68	32	10	0	9	20.50	25
1990	0	0	0	0	11	49	78	80	46	21	4	0	24.08	22
1991	1	0	0	0	10	61	88	85	53	0	0	0	24.83	20
1992	0	0	0	0	0	16	59	81	12	1	0	0	14.08	20
1993	0	0	0	1	12	35	50	47	30	5	0	0	15.00	20
1994	0	0	1	4	17	41	80	87	39	4	7	1	23.42	18
1995	3	1	1	2	19	34	63	64	48	10	1	1	20.58	19
1996	0	0	0	1	12	39	82	61	17	3	0	0	17.92	22
1997	0	0	0	0	3	25	89	82	21	6	1	8	19.58	21
1998	0	6	3	14	28	61	105	92	44	17	0	0	30.83	20
1999	0	0	0	0	7	24	71	63	16	11	0	0	16.00	21
2000	0	0	0	0	8	35	46	60	15	6	0	0	14.17	21
2001	0	0	0	3	20	36	90	98	25	17	1	0	24.17	20
2002	1	0	0	1	10	53	98	67	23	2	5	2	21.83	21
2003	4	0	0	6	17	41	104	71	39	8	0	0	24.17	24
2004	0	1	0	4	19	58	71	77	34	11	0	0	22.92	24
2005	0	0	15	9	15	35	90	69	55	26	0	0	26.17	24
2006	0	1	0	0	18	43	101	55	47	21	1	1	24.00	23
2007	0	8	0	7	18	39	85	63	25	6	0	0	20.92	23
2008	0	0	0	0	8	33	63	64	35	27	0	0	19.17	24
2009	1	0	0	4	9	28	92	94	58	13	0	1	25.00	23
2010	2	8	19	16	27	63	113	68	35	8	0	0	29.92	23
2011	0	0	0	0	12	39	71	65	48	0	0	0	19.58	25
2012	0	0	0	0	18	53	81	78	39	9	2	0	23.33	24
2013	1	0	7	7	17	51	74	68	40	34	0	0	24.92	23
2014	1	0	0	7	19	42	86	81	28	7	6	0	23.08	24
2015	0	0	0	0	14	42	70	69	26	35	0	3	21.58	19
2016	1	0	4	4	23	56	84	76	62	3	0	0	26.08	14
