“2.北非副高面积指数(20W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：22.65
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	3	0	0	0	24	40	46	51	43	18	6	1	19.33	
1952	0	1	1	13	28	44	46	46	37	20	9	0	20.42	
1953	4	0	9	11	27	39	46	48	29	20	7	4	20.33	19
1954	3	0	8	14	27	24	41	37	30	17	2	1	17.00	17
1955	0	0	1	0	21	32	39	38	37	17	6	0	15.92	16
1956	0	0	0	0	18	31	35	30	18	11	1	0	12.00	15
1957	0	0	0	3	14	27	30	41	24	8	0	0	12.25	15
1958	6	7	10	18	26	40	42	37	30	16	1	4	19.75	15
1959	0	4	9	7	15	35	35	35	27	14	1	8	15.83	15
1960	2	0	6	2	17	36	36	43	25	16	3	2	15.67	15
1961	0	1	4	4	20	33	32	37	24	3	0	3	13.42	14
1962	1	0	0	6	22	29	33	34	15	11	2	0	12.75	13
1963	0	0	0	0	10	29	37	32	28	4	0	0	11.67	14
1964	1	0	2	5	26	23	33	30	31	0	0	0	12.58	14
1965	0	1	0	5	23	39	40	34	34	16	12	4	17.33	15
1966	3	6	7	13	29	35	38	38	31	11	1	0	17.67	17
1967	0	1	2	9	18	28	39	38	29	17	7	6	16.17	19
1968	0	1	9	9	20	39	45	39	38	21	9	0	19.17	19
1969	3	10	16	20	31	39	47	45	37	19	11	11	24.08	19
1970	9	11	10	21	28	36	40	39	34	8	2	2	20.00	18
1971	0	5	5	8	10	28	34	32	22	16	3	2	13.75	17
1972	0	0	0	0	17	30	35	34	30	12	0	0	13.17	15
1973	0	0	0	9	28	34	36	41	34	1	0	0	15.25	14
1974	0	0	0	0	16	32	36	36	25	0	0	0	12.08	15
1975	0	0	0	2	17	32	43	37	37	22	14	5	17.42	18
1976	2	3	3	10	24	35	41	41	36	20	5	7	18.92	19
1977	5	10	11	15	30	37	43	45	40	29	16	8	24.08	21
1978	11	8	13	14	29	35	43	42	38	15	11	2	21.75	22
1979	0	2	7	23	27	38	50	42	37	29	8	9	22.67	23
1980	4	1	11	21	30	41	47	46	40	27	8	1	23.08	21
1981	0	0	4	18	30	34	44	42	38	23	10	12	21.25	22
1982	0	0	2	6	24	40	39	46	35	15	7	9	18.58	21
1983	6	7	13	20	31	38	47	44	40	26	22	8	25.17	20
1984	0	1	3	14	29	33	36	44	26	16	1	0	16.92	19
1985	0	0	7	3	26	38	37	45	32	17	1	0	17.17	21
1986	0	0	5	14	24	27	48	42	34	25	8	8	19.58	19
1987	9	8	6	26	32	42	43	43	40	20	12	7	24.00	20
1988	2	1	7	9	27	35	45	39	36	18	9	1	19.08	20
1989	4	4	0	5	27	38	45	33	31	24	8	1	18.33	21
1990	1	1	9	7	24	37	43	43	38	28	9	5	20.42	19
1991	3	5	6	10	31	40	43	46	40	12	10	8	21.17	19
1992	3	10	10	16	19	24	31	42	23	13	1	1	16.08	20
1993	1	0	9	13	25	40	36	41	32	21	8	8	19.50	20
1994	0	3	11	15	29	32	37	46	34	19	17	19	21.83	20
1995	13	9	11	16	27	39	31	42	37	22	17	8	22.67	21
1996	0	1	7	17	32	34	44	44	32	22	1	0	19.50	24
1997	0	5	5	11	28	35	47	47	41	26	16	17	23.17	23
1998	16	17	19	25	32	45	49	51	43	37	15	18	30.58	23
1999	1	8	3	21	34	41	37	41	31	23	11	0	20.92	24
2000	0	4	5	20	31	40	38	41	30	20	5	7	20.08	25
2001	3	5	6	21	31	41	44	48	37	35	22	12	25.42	24
2002	7	13	17	21	30	42	50	44	43	22	17	15	26.75	26
2003	12	14	16	25	32	40	48	48	44	32	17	14	28.50	27
2004	6	15	14	22	32	42	45	45	43	32	18	10	27.00	27
2005	6	14	18	26	31	39	46	47	41	33	19	2	26.83	27
2006	4	13	13	21	33	41	47	51	41	33	17	17	27.58	26
2007	16	13	15	24	29	38	46	45	39	26	12	5	25.67	26
2008	2	7	4	10	29	40	45	47	37	32	19	3	22.92	26
2009	5	7	12	21	31	39	48	51	39	28	14	9	25.33	25
2010	15	15	26	25	34	42	49	53	42	28	0	0	27.42	24
2011	0	1	6	16	33	40	46	46	38	20	11	12	22.42	24
2012	4	3	12	15	32	37	40	45	34	21	12	6	21.75	24
2013	12	13	19	19	29	34	45	39	37	29	11	7	24.50	24
2014	4	1	12	25	28	35	45	46	36	23	10	2	22.25	25
2015	4	5	6	23	32	38	51	50	40	33	19	18	26.58	20
2016	12	18	20	21	33	40	48	50	41	27	17	10	28.08	15
