“20.南海副高强度指数(100E-120E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：4.67
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	2	3	1	0	1	0	0	0	0	0	0.58	
1952	3	0	0	1	2	0	0	0	0	0	0	2	0.67	
1953	1	0	0	7	5	5	2	0	1	15	9	2	3.92	3
1954	0	0	2	12	12	9	8	0	0	11	7	2	5.25	3
1955	2	1	7	2	14	2	0	0	3	1	1	0	2.75	3
1956	0	1	4	7	4	4	0	0	0	5	2	1	2.33	3
1957	0	0	0	2	0	1	1	0	0	2	0	1	0.58	2
1958	4	0	5	8	4	0	0	1	0	3	1	4	2.50	2
1959	6	2	1	4	5	7	1	0	0	3	2	4	2.92	2
1960	1	0	0	3	4	0	2	0	1	4	9	4	2.33	3
1961	2	0	5	5	7	1	0	0	0	3	5	0	2.33	3
1962	0	2	0	2	6	2	0	2	2	6	6	2	2.50	2
1963	0	0	0	5	6	0	0	3	3	7	7	0	2.58	2
1964	1	1	1	3	1	2	1	0	1	3	0	0	1.17	2
1965	0	0	1	1	1	0	0	1	2	9	5	3	1.92	2
1966	3	1	0	1	1	4	0	1	0	7	4	0	1.83	1
1967	0	0	0	0	1	0	0	0	0	0	0	0	0.08	1
1968	0	0	0	0	0	0	0	0	0	1	3	0	0.33	1
1969	0	1	7	10	7	3	0	0	0	1	1	1	2.58	1
1970	0	1	1	3	5	1	0	0	0	1	1	0	1.08	1
1971	0	0	0	0	0	1	0	0	0	0	0	0	0.08	2
1972	0	0	0	3	0	0	0	0	1	10	8	1	1.92	1
1973	3	11	7	9	9	2	0	0	2	0	0	0	3.58	1
1974	0	0	0	0	0	0	0	0	1	0	1	0	0.17	1
1975	0	0	0	1	2	0	0	0	0	0	0	0	0.25	2
1976	0	0	0	1	0	0	0	0	0	3	0	2	0.50	1
1977	0	1	10	6	7	3	0	0	0	12	0	2	3.42	2
1978	3	7	8	4	5	1	0	0	0	0	1	8	3.08	3
1979	7	4	6	7	5	4	2	0	3	2	3	5	4.00	4
1980	1	2	5	12	9	9	1	3	0	7	3	1	4.42	4
1981	0	3	6	11	6	0	0	0	2	5	6	1	3.33	5
1982	0	2	3	3	9	3	0	0	2	7	4	7	3.33	4
1983	6	8	10	17	13	12	11	5	10	10	5	4	9.25	4
1984	0	1	4	8	4	0	0	0	3	2	1	0	1.92	4
1985	0	0	4	0	4	0	0	0	0	2	3	1	1.17	5
1986	2	0	1	10	0	0	0	0	0	6	1	6	2.17	4
1987	7	8	8	12	13	6	2	6	8	14	12	8	8.67	4
1988	5	2	6	8	10	3	7	2	3	3	4	0	4.42	4
1989	0	0	0	1	1	3	3	0	1	7	4	0	1.67	4
1990	0	2	3	4	2	0	1	1	1	6	4	2	2.17	3
1991	1	2	5	7	9	2	3	0	0	1	4	5	3.25	3
1992	1	1	9	9	5	1	3	0	2	2	0	3	3.00	4
1993	0	0	3	11	14	8	3	4	2	8	3	3	4.92	6
1994	0	4	9	9	16	6	2	7	7	11	16	17	8.67	6
1995	15	6	12	20	16	15	7	11	15	14	12	4	12.25	7
1996	0	0	1	1	5	12	2	3	1	7	1	0	2.75	9
1997	0	0	0	0	0	1	2	3	13	17	15	12	5.25	7
1998	13	14	18	19	21	17	14	25	9	10	4	3	13.92	5
1999	0	2	0	0	1	0	0	0	1	7	3	0	1.17	5
2000	0	0	0	2	1	1	0	0	0	2	1	0	0.58	5
2001	0	0	0	7	4	0	1	1	2	8	0	6	2.42	3
2002	4	10	6	5	6	3	1	0	2	8	8	7	5.00	4
2003	6	3	3	8	7	1	11	7	5	8	10	6	6.25	5
2004	1	2	5	7	5	0	0	0	8	7	5	1	3.42	5
2005	3	8	8	13	9	3	3	0	11	11	6	1	6.33	5
2006	2	4	0	4	8	5	1	4	5	16	4	5	4.83	4
2007	8	2	3	8	8	3	4	1	0	4	0	1	3.50	4
2008	0	0	0	1	0	0	0	1	4	17	5	1	2.42	5
2009	0	0	2	2	0	1	2	6	9	8	5	4	3.25	4
2010	3	9	12	19	13	15	13	13	9	1	0	0	8.92	3
2011	0	0	0	2	1	2	0	0	1	1	1	0	0.67	3
2012	0	0	0	2	0	0	0	0	2	2	3	0	0.75	3
2013	2	3	4	2	3	0	1	1	2	1	2	2	1.92	2
2014	0	0	6	3	8	1	1	1	5	3	3	2	2.75	4
2015	0	0	7	2	8	5	0	0	11	14	12	9	5.67	4
2016	9	10	15	12	13	11	4	7	3	2	9	2	8.08	3
