“21.北美大西洋副高强度指数(110W-20W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：43.74
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	9	45	86	205	220	145	55	39	30	69.50	
1952	26	11	34	40	48	141	218	174	93	61	18	17	73.42	
1953	9	12	11	28	40	112	199	181	88	41	19	39	64.92	62
1954	11	0	5	7	7	45	199	185	123	26	3	0	50.92	57
1955	0	0	0	4	50	84	156	148	96	41	23	12	51.17	48
1956	0	0	9	15	44	109	130	93	41	48	10	10	42.42	45
1957	17	5	8	30	12	37	96	96	41	24	4	9	31.58	47
1958	8	9	16	19	21	110	158	118	71	28	19	9	48.83	53
1959	3	25	39	33	26	86	191	147	102	59	26	22	63.25	56
1960	15	3	22	26	85	131	196	200	117	65	30	32	76.83	62
1961	18	10	15	54	34	120	152	205	76	28	13	14	61.58	60
1962	32	7	0	19	33	90	166	155	139	21	20	14	58.00	51
1963	0	0	4	2	16	70	138	145	63	8	0	14	38.33	41
1964	5	3	7	1	11	15	79	88	45	2	0	0	21.33	33
1965	0	0	1	0	0	65	97	77	28	17	1	0	23.83	26
1966	0	2	0	2	15	41	88	110	43	0	0	0	25.08	24
1967	0	0	0	0	4	10	121	103	9	0	0	0	20.58	28
1968	0	0	0	0	2	34	145	125	40	5	1	0	29.33	30
1969	0	0	14	14	30	76	187	100	40	2	1	0	38.67	28
1970	4	0	2	37	16	64	115	126	57	2	0	0	35.25	27
1971	0	0	0	0	4	24	67	63	9	1	0	0	14.00	26
1972	0	0	0	0	5	16	99	84	26	7	1	1	19.92	21
1973	9	0	0	0	3	11	88	77	48	0	0	0	19.67	18
1974	0	0	0	0	0	6	75	79	17	0	0	0	14.75	18
1975	0	0	0	7	4	29	60	90	52	0	0	0	20.17	20
1976	0	0	0	0	1	17	70	59	17	0	4	0	14.00	21
1977	2	7	4	0	5	27	114	125	56	33	0	5	31.50	25
1978	1	4	5	1	9	67	82	96	27	4	6	5	25.58	31
1979	0	2	0	3	17	75	157	99	32	28	0	0	34.42	35
1980	2	1	5	8	34	151	142	118	63	50	13	0	48.92	36
1981	0	0	10	7	18	60	138	84	53	11	4	0	32.08	40
1982	1	0	0	7	17	71	110	167	67	12	0	0	37.67	37
1983	5	11	10	9	32	64	156	165	77	14	12	1	46.33	32
1984	0	0	0	6	6	42	65	84	5	8	0	0	18.00	32
1985	0	0	0	0	5	47	97	109	18	4	0	11	24.25	35
1986	0	0	0	1	13	48	154	98	56	20	5	9	33.67	36
1987	4	6	1	13	18	94	146	153	105	55	17	28	53.33	39
1988	10	0	11	8	41	73	205	148	75	12	5	0	49.00	42
1989	0	0	0	0	9	59	156	108	44	15	4	17	34.33	45
1990	0	1	0	2	21	101	137	157	17	28	8	4	39.67	41
1991	12	1	5	2	20	93	172	172	89	0	3	3	47.67	39
1992	2	4	13	9	7	46	139	158	39	8	3	7	36.25	43
1993	0	0	0	10	24	74	130	129	66	24	11	3	39.25	45
1994	1	0	6	12	39	95	174	175	75	6	23	8	51.17	42
1995	11	12	2	10	47	80	135	135	99	23	17	9	48.33	43
1996	0	0	0	3	25	76	167	124	29	10	0	0	36.17	50
1997	0	0	0	1	13	40	175	170	55	15	12	20	41.75	46
1998	1	24	14	48	83	146	223	197	76	42	4	7	72.08	43
1999	0	0	0	8	14	45	155	129	23	18	0	1	32.75	44
2000	0	0	0	1	14	73	99	133	28	9	3	2	30.17	46
2001	0	0	0	5	31	61	159	199	43	34	3	0	44.58	42
2002	7	3	1	5	30	93	207	145	46	9	17	14	48.08	45
2003	16	8	10	22	51	72	210	172	81	19	8	0	55.75	51
2004	5	13	2	12	35	116	133	159	58	24	7	2	47.17	53
2005	0	9	38	34	29	72	202	153	126	39	7	5	59.50	53
2006	0	11	1	1	38	83	220	141	89	51	3	22	55.00	49
2007	11	23	1	21	39	75	167	154	74	12	1	4	48.50	49
2008	0	0	0	0	15	69	133	97	58	40	0	2	34.50	51
2009	1	0	0	11	16	49	186	181	106	36	0	7	49.42	48
2010	6	15	35	34	66	154	226	165	72	18	0	0	65.92	45
2011	0	0	0	0	24	74	150	140	90	3	0	0	40.08	46
2012	0	0	0	0	19	66	142	129	59	9	4	0	35.67	44
2013	11	0	8	9	21	77	131	120	50	44	0	1	39.33	38
2014	3	0	0	8	20	59	157	121	52	9	13	0	36.83	42
2015	0	0	2	3	20	68	131	125	52	51	6	10	39.00	34
2016	13	6	23	17	52	100	179	155	116	9	0	13	56.92	27
