“22.太平洋副高强度指数(110E-115W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：48.54
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	7	12	24	12	54	54	29	24	34	18	22.33	
1952	13	18	5	12	12	49	71	45	32	21	5	4	23.92	
1953	10	9	0	10	21	45	81	64	20	48	30	28	30.50	25
1954	2	0	4	8	25	85	36	41	43	39	12	1	24.67	23
1955	11	1	8	9	25	43	43	33	56	20	9	1	21.58	24
1956	0	1	5	15	10	21	43	24	19	23	17	4	15.17	26
1957	0	0	3	6	6	60	58	48	65	21	31	32	27.50	30
1958	50	30	26	30	35	68	70	72	53	16	22	22	41.17	36
1959	13	13	19	10	33	75	91	56	56	73	45	23	42.25	40
1960	19	31	3	11	35	121	103	132	106	47	28	32	55.67	43
1961	12	4	18	28	37	35	59	95	62	14	21	8	32.75	41
1962	8	10	11	21	37	45	72	104	79	68	36	13	42.00	36
1963	2	6	3	5	8	56	73	58	92	13	34	26	31.33	28
1964	12	14	8	4	4	23	41	29	64	20	0	0	18.25	28
1965	2	0	6	3	14	41	26	16	26	18	31	16	16.58	22
1966	28	14	4	10	23	73	59	66	46	25	15	9	31.00	19
1967	3	1	0	0	3	17	32	42	24	29	5	7	13.58	23
1968	0	0	1	0	1	51	60	35	17	8	24	0	16.42	27
1969	0	5	33	31	43	97	99	52	50	18	19	21	39.00	24
1970	9	10	17	38	25	90	74	75	46	21	11	7	35.25	25
1971	0	0	0	0	17	53	34	14	21	39	15	6	16.58	28
1972	0	0	0	6	8	22	10	31	18	36	62	29	18.50	23
1973	14	43	32	36	27	39	39	46	85	9	13	10	32.75	18
1974	0	0	0	0	1	3	14	16	15	47	17	14	10.58	17
1975	4	0	0	2	4	32	24	20	24	15	0	2	10.58	18
1976	0	0	0	4	6	11	19	47	19	32	26	11	14.58	17
1977	9	25	19	9	15	39	20	36	32	41	25	14	23.67	23
1978	13	42	29	23	19	33	12	46	31	34	22	32	28.00	30
1979	21	8	10	23	36	67	129	35	49	46	21	13	38.17	34
1980	4	9	12	29	39	105	86	55	50	60	55	13	43.08	35
1981	13	13	31	35	29	70	74	44	56	30	43	25	38.58	42
1982	5	4	5	10	33	50	54	39	39	16	35	47	28.08	38
1983	62	47	73	42	54	92	121	83	58	69	49	21	64.25	33
1984	3	4	29	10	29	16	4	23	19	15	18	2	14.33	31
1985	7	1	8	0	10	38	41	37	44	22	15	20	20.25	36
1986	5	0	4	16	5	49	64	16	25	68	36	26	26.17	35
1987	31	24	32	44	32	72	97	100	55	76	67	59	57.42	37
1988	46	22	35	36	42	80	160	87	53	42	42	19	55.33	40
1989	7	6	0	1	36	45	84	20	34	30	12	18	24.42	44
1990	11	9	22	20	39	48	44	80	74	49	13	21	35.83	42
1991	12	13	21	28	55	65	106	71	82	18	43	28	45.17	43
1992	35	17	52	31	22	83	96	136	22	31	25	18	47.33	53
1993	8	5	17	72	85	116	114	123	76	67	41	27	62.58	65
1994	5	13	44	40	91	128	125	150	89	66	57	95	75.25	61
1995	53	35	36	63	99	156	129	176	184	95	55	54	94.58	58
1996	3	2	4	16	39	67	91	52	13	27	11	0	27.08	62
1997	1	5	6	12	9	37	71	67	46	52	34	33	31.08	51
1998	71	94	78	80	85	126	145	165	53	52	30	27	83.83	36
1999	4	17	0	10	9	26	51	42	38	30	6	15	20.67	37
2000	0	13	15	9	13	36	23	29	6	20	24	25	17.75	41
2001	23	8	16	26	35	25	42	112	40	31	19	31	34.00	37
2002	23	49	31	13	23	69	111	72	50	36	67	59	50.25	42
2003	45	21	26	24	29	67	134	174	99	62	28	33	61.83	53
2004	21	26	19	33	37	60	78	121	74	31	49	21	47.50	58
2005	23	34	48	50	46	93	161	110	135	86	42	45	72.75	62
2006	20	23	7	20	50	95	186	71	64	54	29	93	59.33	59
2007	57	20	18	55	69	91	162	127	88	63	33	26	67.42	61
2008	7	12	3	10	30	62	95	86	77	90	62	17	45.92	64
2009	15	8	9	43	27	88	130	134	150	71	24	32	60.92	61
2010	35	41	46	67	76	164	209	216	109	47	25	0	86.25	51
2011	1	0	3	12	39	85	77	111	111	40	21	25	43.75	46
2012	0	1	2	13	7	35	15	36	48	12	23	8	16.67	40
2013	13	18	24	22	33	25	18	36	33	22	22	23	24.08	30
2014	3	0	21	27	45	32	53	55	59	19	39	20	31.08	36
2015	7	0	11	6	38	56	60	38	31	72	46	47	34.33	32
2016	80	50	63	63	56	122	92	58	113	84	49	27	71.42	27
