“23.北半球副高脊线(5E-360)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：18.41
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	11	10	10	13	16	20	26	27	22	18	17	16	17.17	
1952	13	13	14	13	16	22	27	27	25	21	16	13	18.33	
1953	12	15	14	13	16	22	28	29	24	19	18	18	19.00	19
1954	15	10	13	14	19	22	26	27	26	19	17	14	18.50	19
1955	15	15	14	16	17	22	29	30	27	20	17	18	20.00	19
1956	10	15	15	18	20	22	25	27	24	17	18	17	19.00	19
1957	18	12	13	16	15	19	24	26	23	20	16	15	18.08	19
1958	13	13	13	15	17	21	25	24	24	20	20	14	18.25	19
1959	13	17	15	16	17	22	26	27	24	22	19	17	19.58	19
1960	15	16	16	16	17	21	27	28	24	22	18	18	19.83	19
1961	17	16	14	16	17	21	28	27	25	21	18	16	19.67	20
1962	19	15	16	16	17	22	26	27	26	21	18	16	19.92	20
1963	15	13	16	16	15	21	27	27	26	21	17	17	19.25	19
1964	14	15	14	17	17	20	27	28	27	24	16	12	19.25	19
1965	15	10	11	13	18	22	26	27	24	19	17	16	18.17	19
1966	14	13	12	13	16	22	26	28	22	18	18	17	18.25	18
1967	15	14	10	13	16	20	27	27	24	18	14	13	17.58	17
1968	10	10	11	10	14	21	26	26	23	18	15	12	16.33	17
1969	10	12	12	13	15	19	26	26	23	17	13	14	16.67	17
1970	12	11	14	15	15	21	27	29	25	18	18	16	18.42	17
1971	10	11	10	10	15	22	28	28	23	21	19	17	17.83	18
1972	10	10	10	11	17	21	26	27	24	20	19	16	17.58	18
1973	13	13	13	15	17	22	26	28	24	24	19	18	19.33	18
1974	10	10	10	10	16	20	25	26	23	24	21	18	17.75	18
1975	16	10	10	17	16	21	28	28	25	20	14	13	18.17	18
1976	10	10	10	13	17	21	25	26	22	18	18	15	17.08	18
1977	13	14	15	14	16	21	27	27	23	19	16	14	18.25	18
1978	12	12	12	14	16	23	28	26	24	19	17	16	18.25	18
1979	13	13	13	15	14	19	25	24	23	18	16	12	17.08	18
1980	12	12	14	14	15	21	26	25	24	20	18	15	18.00	18
1981	13	13	13	15	16	22	26	24	23	19	17	15	18.00	18
1982	13	14	14	12	16	20	25	27	24	18	15	14	17.67	18
1983	12	11	11	12	15	19	25	24	23	20	16	13	16.75	18
1984	15	15	14	14	16	21	30	27	22	19	19	15	18.92	18
1985	13	10	13	14	15	22	28	27	24	20	16	19	18.42	18
1986	15	10	13	14	15	22	28	27	24	18	18	15	18.25	18
1987	14	13	12	13	15	20	25	26	22	20	16	15	17.58	18
1988	15	13	12	12	16	21	28	27	25	21	17	15	18.50	18
1989	12	11	10	14	16	22	28	28	26	19	15	15	18.00	18
1990	13	10	12	13	16	21	27	27	25	18	17	15	17.83	18
1991	13	12	13	15	18	21	27	27	26	21	19	16	19.00	18
1992	14	12	14	12	13	21	26	28	25	20	22	17	18.67	18
1993	14	14	14	12	12	20	27	27	24	18	19	16	18.08	18
1994	14	13	13	12	15	21	25	28	20	15	15	14	17.08	18
1995	12	12	12	12	13	17	25	27	22	19	15	14	16.67	18
1996	15	15	14	14	16	21	30	26	24	20	23	12	19.17	18
1997	10	15	12	14	16	22	28	27	23	17	15	14	17.75	18
1998	12	11	12	12	14	22	28	29	25	20	18	17	18.33	19
1999	15	15	15	16	18	24	29	28	27	23	18	18	20.50	19
2000	10	16	16	15	17	25	29	30	25	22	20	17	20.17	19
2001	16	16	12	14	16	24	30	28	25	21	16	14	19.33	19
2002	13	13	12	13	16	23	27	28	24	19	17	14	18.25	19
2003	13	13	13	13	16	22	28	28	25	20	16	15	18.50	19
2004	12	13	13	13	16	24	27	27	25	18	16	14	18.17	18
2005	12	12	13	13	15	21	28	28	27	23	17	17	18.83	19
2006	15	13	12	13	15	23	29	27	24	20	15	15	18.42	19
2007	14	13	12	13	15	22	27	29	26	22	20	17	19.17	19
2008	16	14	15	15	17	23	28	27	25	22	17	16	19.58	19
2009	15	15	12	13	15	20	27	28	24	20	17	15	18.42	19
2010	14	11	12	12	14	22	28	29	26	21	18	12	18.25	19
2011	10	10	14	12	17	24	30	28	25	22	16	16	18.67	18
2012	11	15	13	14	17	23	28	27	23	18	15	14	18.17	18
2013	14	13	12	12	15	22	27	27	25	22	16	14	18.25	19
2014	16	10	12	15	15	20	26	27	25	20	18	16	18.33	19
2015	15	14	15	16	18	23	27	26	22	20	18	16	19.17	15
2016	12	13	11	13	14	23	28	28	26	21	18	18	18.75	11
