“24.北非副高脊线(20W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：17.08
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	11	10	10	10	17	21	24	27	19	18	15	10	16.00	
1952	10	10	10	11	17	21	25	24	25	19	15	10	16.42	
1953	11	10	13	11	16	18	28	26	24	17	18	14	17.17	17
1954	12	10	11	12	18	20	25	25	25	17	15	10	16.67	17
1955	10	10	10	10	18	22	26	26	25	18	15	10	16.67	16
1956	10	10	10	10	20	22	27	26	23	18	10	10	16.33	17
1957	10	10	10	11	13	22	24	24	23	19	10	10	15.50	17
1958	14	13	13	15	17	20	27	25	23	19	10	14	17.50	17
1959	10	14	13	18	19	23	25	26	23	22	21	16	19.17	18
1960	10	10	16	15	16	21	26	27	25	22	19	10	18.08	18
1961	10	15	14	16	17	20	28	27	22	21	10	16	18.00	17
1962	10	10	10	15	17	21	25	26	24	17	11	10	16.33	17
1963	10	10	10	10	14	19	25	27	24	13	10	10	15.17	16
1964	10	10	14	15	16	19	26	26	26	13	10	10	16.25	16
1965	10	10	10	12	16	22	27	26	22	16	14	13	16.50	16
1966	11	13	10	11	16	23	25	27	19	17	10	10	16.00	16
1967	10	10	10	12	16	20	26	27	24	15	11	10	15.92	16
1968	10	10	11	10	14	20	24	24	22	16	12	10	15.25	16
1969	10	10	13	12	15	17	26	26	24	14	10	10	15.58	16
1970	11	10	14	13	15	20	27	27	22	15	15	11	16.67	16
1971	10	11	10	10	13	22	27	27	21	19	15	11	16.33	16
1972	10	10	10	10	16	22	23	24	23	17	10	10	15.42	16
1973	10	10	10	14	17	22	25	27	24	13	10	10	16.00	16
1974	10	10	10	10	16	21	26	25	21	13	10	10	15.17	16
1975	10	10	10	16	17	20	27	26	22	18	14	13	16.92	16
1976	10	10	10	11	15	21	24	26	21	16	10	13	15.58	16
1977	10	11	12	12	16	20	24	25	21	17	13	11	16.00	16
1978	11	11	11	13	17	21	29	26	25	15	12	11	16.83	16
1979	10	11	12	14	14	19	25	23	22	16	12	10	15.67	16
1980	10	10	12	13	16	21	27	26	23	18	14	10	16.67	16
1981	10	10	11	13	17	19	25	23	23	17	14	13	16.25	16
1982	10	10	10	11	16	21	23	26	23	16	12	10	15.67	16
1983	10	10	11	11	16	21	25	26	23	18	14	11	16.33	16
1984	10	10	10	13	17	22	29	25	22	16	10	10	16.17	16
1985	10	10	11	14	15	22	27	26	24	18	10	10	16.42	17
1986	10	10	13	13	15	20	27	26	24	16	14	11	16.58	17
1987	12	11	11	14	18	21	25	26	23	18	15	13	17.25	17
1988	10	10	10	12	18	22	27	27	24	19	14	10	16.92	17
1989	10	10	10	14	17	22	27	27	23	19	12	10	16.75	17
1990	10	10	12	13	17	23	26	27	24	19	13	14	17.33	17
1991	11	10	11	14	19	22	26	27	23	19	16	23	18.42	17
1992	10	11	10	12	15	22	25	27	24	18	10	10	16.17	17
1993	10	10	12	10	12	24	29	27	24	18	18	13	17.25	17
1994	10	10	11	10	15	24	25	29	19	12	13	12	15.83	17
1995	10	10	11	12	13	20	28	28	23	17	13	10	16.25	17
1996	10	10	14	13	18	23	28	28	25	19	10	10	17.33	17
1997	10	15	11	12	16	22	27	26	22	16	13	12	16.83	17
1998	10	10	11	13	16	21	28	27	24	20	14	13	17.25	18
1999	10	12	15	14	20	24	26	28	25	20	17	10	18.42	18
2000	10	13	13	16	19	24	28	27	23	18	15	13	18.25	18
2001	14	14	10	13	18	25	28	27	24	20	15	11	18.25	18
2002	11	11	11	13	18	23	25	26	24	17	13	11	16.92	18
2003	11	11	11	12	17	22	27	27	25	19	13	12	17.25	17
2004	10	11	12	12	18	23	26	27	24	18	13	12	17.17	17
2005	10	11	12	13	17	22	27	27	24	19	16	13	17.58	17
2006	15	11	11	12	17	24	26	27	23	18	13	12	17.42	18
2007	11	10	12	13	18	22	27	26	23	18	17	15	17.67	18
2008	13	11	15	16	17	23	26	27	23	19	14	13	18.08	18
2009	13	14	12	12	18	20	27	26	22	18	14	14	17.50	17
2010	12	11	12	13	18	22	27	26	24	19	10	10	17.00	17
2011	10	10	12	12	18	22	27	26	23	19	14	13	17.17	17
2012	11	15	12	14	19	22	26	27	23	17	13	13	17.67	17
2013	11	12	12	13	17	23	26	26	23	19	14	12	17.33	18
2014	11	10	11	15	17	22	25	27	24	18	13	15	17.33	18
2015	15	14	13	16	19	23	26	26	21	18	15	13	18.25	14
2016	10	12	11	13	17	22	26	26	24	17	15	16	17.42	11
