“25.北非大西洋北美副高脊线(110W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：17.38
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	11	10	10	16	17	21	25	27	22	17	17	18	17.58	
1952	17	14	15	14	17	21	25	26	25	20	16	15	18.75	
1953	12	18	15	14	17	22	28	26	24	18	17	20	19.25	18
1954	16	10	13	12	18	22	27	27	25	17	16	10	17.75	19
1955	10	10	10	16	17	22	27	29	26	18	16	18	18.25	18
1956	10	10	17	17	20	22	25	27	23	18	17	19	18.75	18
1957	18	12	11	15	16	21	25	26	23	19	18	14	18.17	19
1958	14	13	13	14	16	21	25	24	23	19	21	13	18.00	19
1959	15	19	16	17	18	23	26	26	23	21	21	19	20.33	19
1960	16	16	17	16	16	21	27	27	24	22	20	23	20.42	20
1961	20	17	15	17	17	21	27	26	24	20	17	17	19.83	20
1962	22	19	10	17	16	22	25	26	25	20	14	17	19.42	19
1963	10	10	18	20	16	20	26	28	26	18	2	17	17.58	18
1964	16	16	15	15	17	20	27	27	27	21	2	10	17.75	17
1965	10	10	10	12	16	22	28	27	23	18	14	13	16.92	17
1966	11	13	10	12	16	22	26	27	20	17	2	10	15.50	16
1967	10	10	10	12	16	20	28	28	23	15	11	10	16.08	16
1968	10	10	11	10	14	20	27	26	22	17	12	10	15.75	16
1969	10	10	12	12	14	19	27	27	23	14	10	10	15.67	16
1970	12	10	14	15	14	20	28	28	25	14	15	11	17.17	16
1971	10	11	10	10	13	21	28	27	22	19	15	11	16.42	16
1972	10	10	10	10	16	21	26	27	24	18	2	10	15.33	16
1973	16	10	10	14	17	22	26	27	23	14	2	10	15.92	16
1974	10	10	10	10	16	20	26	25	23	14	2	10	14.67	16
1975	10	10	10	17	16	20	27	27	24	18	14	13	17.17	16
1976	10	10	10	11	15	20	25	26	21	16	15	13	16.00	17
1977	12	14	14	12	16	20	27	27	23	19	13	13	17.50	17
1978	11	11	12	13	17	22	28	27	24	15	15	16	17.58	17
1979	10	13	12	14	13	20	25	25	22	17	12	10	16.08	17
1980	12	10	14	13	15	22	27	27	24	19	17	10	17.50	17
1981	10	10	12	14	15	21	26	24	23	18	14	13	16.67	17
1982	10	10	10	12	15	21	25	28	24	17	12	10	16.17	16
1983	12	10	10	12	14	18	26	27	23	18	14	11	16.25	16
1984	10	10	10	13	15	21	29	26	21	17	2	10	15.33	16
1985	10	10	11	14	15	21	29	27	23	19	2	21	16.83	17
1986	10	10	13	13	15	21	27	27	24	16	17	13	17.17	17
1987	12	12	11	12	16	21	25	26	23	21	15	15	17.42	17
1988	15	10	11	11	16	21	28	29	25	19	15	10	17.50	17
1989	10	10	10	14	15	21	28	28	25	18	14	16	17.42	18
1990	10	10	12	13	16	23	27	27	25	18	15	16	17.67	18
1991	15	10	13	14	17	22	27	28	25	19	18	16	18.67	18
1992	10	11	12	12	14	21	26	29	25	18	2	18	16.50	17
1993	10	10	12	11	12	23	28	28	26	18	20	15	17.75	17
1994	10	10	12	12	14	23	28	29	22	12	15	12	16.58	17
1995	11	12	11	12	14	19	28	29	24	18	14	13	17.08	17
1996	10	10	14	13	16	22	28	28	24	19	2	10	16.33	17
1997	10	15	11	12	16	21	28	27	23	16	14	14	17.25	17
1998	10	10	11	12	15	21	29	28	24	20	16	16	17.67	18
1999	10	12	15	15	18	23	28	29	25	21	17	10	18.58	18
2000	10	13	13	16	16	24	28	29	25	21	17	16	19.00	18
2001	14	14	10	12	16	24	29	28	23	21	14	11	18.00	18
2002	14	11	11	13	16	22	27	27	23	18	15	13	17.50	18
2003	12	13	13	12	16	23	29	28	24	17	14	12	17.75	18
2004	11	12	12	12	16	23	27	26	25	17	14	12	17.25	18
2005	10	11	12	12	15	20	27	28	26	20	17	16	17.83	18
2006	15	12	11	12	15	22	28	27	24	19	14	13	17.67	18
2007	12	13	12	13	15	22	28	28	24	20	17	17	18.42	18
2008	13	11	15	16	16	23	27	28	24	21	14	17	18.75	18
2009	13	14	12	12	16	19	27	28	23	19	14	16	17.75	18
2010	13	12	12	12	16	23	29	28	25	18	2	10	16.67	18
2011	10	10	12	12	15	22	30	27	24	19	14	13	17.33	17
2012	11	15	12	14	17	21	28	28	22	17	14	13	17.67	17
2013	14	12	12	12	15	22	27	28	23	20	14	12	17.58	18
2014	16	10	11	14	16	20	26	27	25	19	18	15	18.08	18
2015	15	14	15	16	18	23	27	27	21	19	16	16	18.92	15
2016	11	12	11	12	15	22	28	28	26	18	15	18	18.00	11
