“26.印度副高脊线(65E-95E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：13.00
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	10	10	10	12	15	999	999	999	999	16	16	13	8.50	
1952	11	10	11	12	14	999	999	999	999	18	13	10	8.25	
1953	11	11	12	13	14	999	999	999	999	19	18	13	9.25	9
1954	13	10	12	17	20	999	999	999	999	18	16	10	9.67	10
1955	11	15	14	14	16	999	999	999	999	21	18	10	9.92	10
1956	10	10	14	17	26	999	999	999	999	20	17	14	10.67	10
1957	10	10	10	16	16	999	999	999	999	20	15	15	9.33	10
1958	11	12	12	16	16	999	999	999	999	19	17	13	9.67	10
1959	10	13	15	17	21	999	999	999	999	25	16	16	11.08	10
1960	10	16	15	17	22	999	999	999	999	20	17	15	11.00	10
1961	10	10	14	16	13	999	999	999	999	13	11	10	8.08	10
1962	10	11	10	15	20	999	999	999	999	20	17	15	9.83	10
1963	10	10	15	11	16	999	999	999	999	21	15	15	9.42	9
1964	14	10	14	18	19	999	999	999	999	13	16	10	9.50	10
1965	10	10	11	16	19	999	999	999	999	18	17	10	9.25	9
1966	13	13	10	14	19	999	999	999	999	18	18	10	9.58	9
1967	15	14	11	16	17	999	999	999	999	18	11	10	9.33	9
1968	10	10	10	11	16	999	999	999	999	13	11	10	7.58	8
1969	10	10	10	11	13	999	999	999	999	13	11	10	7.33	8
1970	10	10	10	16	13	999	999	999	999	13	11	10	7.75	8
1971	10	10	10	11	13	999	999	999	999	13	11	10	7.33	8
1972	10	10	10	11	13	999	999	999	999	19	11	10	7.83	8
1973	10	10	10	16	19	999	999	999	999	13	11	10	8.25	8
1974	10	10	10	11	13	999	999	999	999	13	11	10	7.33	8
1975	10	10	10	19	20	999	999	999	999	13	11	10	8.58	8
1976	10	10	10	16	20	999	999	999	999	13	11	10	8.33	8
1977	10	10	18	15	13	999	999	999	999	23	11	10	9.17	8
1978	10	10	10	15	20	999	999	999	999	13	11	10	8.25	8
1979	10	10	10	11	17	999	999	999	999	13	15	11	8.08	8
1980	11	11	14	14	16	999	999	999	999	13	11	10	8.33	8
1981	10	10	10	15	20	999	999	999	999	13	11	10	8.25	8
1982	10	10	10	11	13	999	999	999	999	13	11	13	7.58	8
1983	12	10	10	11	13	999	999	999	999	13	13	10	7.67	8
1984	10	10	10	11	19	999	999	999	999	13	11	10	7.83	8
1985	10	10	14	14	14	999	999	999	999	13	11	10	8.00	8
1986	10	10	10	15	15	999	999	999	999	15	15	10	8.33	8
1987	13	10	10	13	13	999	999	999	999	16	15	14	8.67	8
1988	10	10	10	12	19	999	999	999	999	13	11	11	8.00	8
1989	13	11	10	14	14	999	999	999	999	17	14	10	8.58	9
1990	13	10	11	14	13	999	999	999	999	13	15	14	8.58	8
1991	10	10	13	13	19	999	999	999	999	13	16	12	8.83	9
1992	10	13	14	12	15	999	999	999	999	13	11	10	8.17	9
1993	10	10	12	12	15	999	999	999	999	19	20	15	9.42	9
1994	10	10	16	13	18	999	999	999	999	18	13	12	9.17	9
1995	12	10	12	11	10	999	999	999	999	19	12	11	8.08	9
1996	10	10	10	11	17	999	999	999	999	13	11	10	7.67	9
1997	10	15	12	11	14	999	999	999	999	14	13	13	8.50	9
1998	10	10	12	12	16	999	999	999	999	21	11	19	9.25	9
1999	10	10	10	20	10	999	999	999	999	20	19	10	9.08	10
2000	10	10	10	19	27	999	999	999	999	23	19	15	11.08	10
2001	10	10	10	14	19	999	999	999	999	22	19	13	9.75	10
2002	10	11	12	17	20	999	999	999	999	19	15	12	9.67	10
2003	12	11	12	14	15	999	999	999	999	20	17	13	9.50	10
2004	10	14	15	13	20	999	999	999	999	14	15	15	9.67	10
2005	10	10	12	13	15	999	999	999	999	21	19	10	9.17	9
2006	10	13	10	13	24	999	999	999	999	21	11	14	9.67	9
2007	13	10	12	11	10	999	999	999	999	13	11	10	7.50	9
2008	10	10	10	11	10	999	999	999	999	22	20	10	8.58	8
2009	10	10	10	11	21	999	999	999	999	13	11	10	8.00	8
2010	10	10	13	13	14	999	999	999	999	13	11	10	7.83	8
2011	10	10	10	11	10	999	999	999	999	13	18	10	7.67	8
2012	10	10	10	11	10	999	999	999	999	13	11	10	7.08	7
2013	10	10	10	11	10	999	999	999	999	13	11	10	7.08	8
2014	10	10	10	11	10	999	999	999	999	13	11	10	7.08	8
2015	10	10	10	11	19	999	999	999	999	17	18	17	9.33	7
2016	10	13	12	13	12	999	999	999	999	20	18	19	9.75	5
