“27.西太平洋副高脊线(110E-150E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：18.60
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	11	11	10	11	15	19	25	32	23	24	17	15	17.75	
1952	11	13	13	11	17	22	24	29	27	22	21	13	18.58	
1953	11	16	10	10	13	22	27	30	25	19	19	17	18.25	19
1954	15	11	15	16	20	19	22	31	29	19	15	15	18.92	19
1955	16	11	16	17	19	23	30	22	27	23	19	13	19.67	19
1956	11	11	15	19	20	22	27	27	28	20	21	13	19.50	19
1957	11	11	15	18	13	19	25	32	23	20	16	15	18.17	19
1958	14	12	13	17	18	18	22	27	26	22	19	13	18.42	19
1959	13	15	15	16	17	18	26	27	27	19	18	17	19.00	19
1960	14	14	14	15	17	22	23	32	27	21	17	16	19.33	19
1961	15	11	13	15	18	23	29	30	29	22	18	15	19.83	19
1962	11	15	16	15	18	20	28	29	26	21	20	15	19.50	20
1963	11	11	14	13	16	23	27	25	26	21	18	17	18.50	19
1964	15	16	13	19	21	21	28	31	28	24	15	13	20.33	19
1965	11	11	10	10	21	22	26	21	25	18	19	18	17.67	19
1966	15	14	15	15	15	18	27	31	28	18	19	16	19.25	18
1967	15	11	10	10	13	19	22	31	17	22	21	15	17.17	18
1968	11	11	10	10	13	18	22	27	25	18	16	13	16.17	18
1969	11	15	13	14	16	17	25	27	26	18	18	16	18.00	18
1970	13	14	14	14	16	20	24	32	28	22	18	17	19.33	18
1971	11	11	10	10	19	22	28	30	26	23	21	19	19.17	19
1972	11	11	10	11	18	21	22	29	23	21	18	15	17.50	18
1973	11	13	13	16	17	17	25	32	24	24	19	13	18.67	18
1974	11	11	10	10	13	23	24	20	24	24	20	18	17.33	18
1975	15	11	10	15	16	22	27	34	29	22	15	13	19.08	18
1976	11	11	10	19	13	23	27	28	25	19	21	15	18.50	18
1977	15	14	15	16	17	20	27	21	25	20	19	14	18.58	19
1978	13	13	12	14	15	22	22	30	26	23	19	15	18.67	18
1979	13	13	13	16	14	20	24	28	25	20	17	16	18.25	18
1980	13	12	14	15	15	22	24	21	25	21	19	15	18.00	18
1981	14	13	13	15	15	20	28	26	24	20	18	16	18.50	18
1982	14	14	15	13	16	19	24	24	25	20	16	15	17.92	18
1983	12	12	11	14	16	18	23	20	22	23	17	14	16.83	18
1984	15	15	13	14	15	20	22	31	23	21	19	15	18.58	18
1985	14	11	13	10	14	22	26	33	28	22	15	18	18.83	18
1986	15	11	14	14	17	20	26	20	26	20	19	17	18.25	18
1987	15	14	14	16	14	18	25	26	17	20	18	15	17.67	18
1988	14	13	14	14	15	20	24	21	23	22	17	17	17.83	18
1989	15	13	10	10	16	21	24	20	27	20	17	13	17.17	18
1990	13	11	12	13	14	22	23	29	27	19	19	15	18.08	18
1991	12	14	14	15	17	22	26	23	27	26	20	17	19.42	18
1992	13	13	15	13	13	19	24	32	28	23	23	16	19.33	19
1993	14	14	13	15	15	17	22	28	25	21	20	17	18.42	19
1994	14	13	13	15	16	19	30	32	18	18	18	17	18.58	19
1995	15	13	13	16	15	17	27	29	20	22	17	14	18.17	18
1996	15	15	15	14	16	22	27	22	22	21	24	13	18.83	18
1997	11	15	14	15	15	20	25	29	21	19	17	15	18.00	19
1998	14	11	13	14	15	21	22	27	22	22	19	17	18.08	19
1999	15	15	10	15	18	24	29	31	29	23	20	17	20.50	19
2000	11	15	16	14	13	24	28	30	29	25	22	17	20.33	19
2001	15	17	14	15	15	23	28	28	27	22	17	15	19.67	19
2002	13	13	14	13	13	20	21	28	25	20	17	14	17.58	19
2003	12	13	13	14	15	19	24	29	27	20	20	16	18.50	19
2004	12	14	13	15	18	27	26	30	25	22	20	15	19.75	19
2005	13	13	13	15	13	20	26	28	28	21	18	16	18.67	19
2006	14	14	14	15	18	21	26	29	24	22	17	16	19.17	19
2007	15	12	13	14	16	18	24	31	30	22	21	16	19.33	19
2008	17	15	15	14	18	22	24	21	27	22	18	15	19.00	19
2009	14	16	13	14	15	18	27	27	25	18	19	13	18.25	19
2010	14	12	16	14	12	18	25	32	28	24	17	13	18.75	19
2011	11	11	15	13	19	22	27	32	24	24	19	17	19.50	19
2012	11	11	15	14	16	22	28	34	26	20	16	15	19.00	19
2013	14	15	13	13	15	23	27	28	29	28	17	15	19.75	19
2014	15	11	13	14	16	17	25	27	24	22	17	17	18.17	19
2015	15	11	15	16	18	22	28	28	23	21	19	18	19.50	15
2016	14	14	13	16	16	21	25	32	26	24	18	17	19.67	11
