“28.东太平洋副高脊线(175W-115W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：17.39
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	13	11	11	10	10	15	28	26	23	14	18	19	16.50	
1952	13	11	11	10	15	26	31	31	18	14	15	19	17.83	
1953	13	11	11	10	10	25	30	33	18	22	15	19	18.08	18
1954	13	11	11	10	10	28	31	22	24	19	15	19	17.75	18
1955	13	11	11	10	10	18	34	35	34	14	15	19	18.67	17
1956	13	11	11	10	10	23	17	24	18	14	15	19	15.42	17
1957	13	11	11	10	10	16	22	20	21	14	15	19	15.17	17
1958	13	13	11	12	10	22	23	23	22	21	15	19	17.00	17
1959	13	11	15	10	14	23	27	31	23	23	22	19	19.25	18
1960	13	18	11	10	17	20	29	27	18	21	15	19	18.17	18
1961	13	11	11	17	15	20	31	26	24	19	15	19	18.42	18
1962	16	11	11	18	10	19	26	27	26	22	22	19	18.92	18
1963	13	11	11	10	10	18	29	25	26	14	15	19	16.75	18
1964	13	11	11	10	10	25	30	26	30	28	15	19	19.00	17
1965	13	11	11	10	10	24	10	26	18	14	15	19	15.08	17
1966	13	11	11	10	10	23	10	28	21	14	15	19	15.42	17
1967	13	11	11	10	10	20	25	25	24	23	15	19	17.17	16
1968	13	11	11	10	10	25	26	23	25	14	18	19	17.08	17
1969	13	11	11	10	10	18	25	29	23	21	15	19	17.08	17
1970	13	11	11	10	10	22	27	28	22	14	15	19	16.83	17
1971	13	11	11	10	10	25	30	36	18	14	15	19	17.67	17
1972	13	11	11	10	10	15	31	18	18	14	15	19	15.42	16
1973	13	11	11	10	10	25	27	28	23	14	15	19	17.17	16
1974	13	11	11	10	10	15	10	29	18	14	15	19	14.58	16
1975	13	11	11	10	10	24	29	30	23	14	15	19	17.42	17
1976	13	11	11	10	10	15	29	25	28	14	15	19	16.67	17
1977	13	11	11	10	10	25	30	28	24	14	15	19	17.50	17
1978	13	14	11	10	10	27	30	23	18	14	15	19	17.00	17
1979	13	11	11	10	10	16	24	18	23	21	15	19	15.92	17
1980	13	11	11	10	10	17	23	27	21	24	19	19	17.08	17
1981	13	11	11	10	10	25	25	23	23	14	23	19	17.25	17
1982	13	11	11	10	10	19	27	26	22	14	15	19	16.42	17
1983	13	11	14	11	10	22	23	21	21	24	20	19	17.42	17
1984	13	11	11	10	20	24	34	28	18	14	15	19	18.08	17
1985	13	11	11	10	10	26	27	24	18	14	15	19	16.50	17
1986	13	11	11	10	10	26	31	27	18	20	15	19	17.58	18
1987	13	11	11	10	10	22	27	26	20	18	15	19	16.83	17
1988	13	11	11	10	10	25	30	27	27	25	15	19	18.58	18
1989	13	11	11	10	10	25	30	21	18	14	15	19	16.42	18
1990	13	11	11	10	23	20	29	25	25	23	15	19	18.67	18
1991	13	11	11	10	23	15	29	27	27	14	15	19	17.83	17
1992	16	11	11	10	10	21	24	24	21	21	15	19	16.92	17
1993	13	11	11	12	10	18	28	26	18	13	17	19	16.33	16
1994	13	11	11	10	12	17	19	19	14	12	12	18	14.00	16
1995	11	11	11	10	10	12	22	27	18	14	11	16	14.42	16
1996	11	11	11	10	14	21	31	27	28	12	11	16	16.92	16
1997	11	11	11	10	10	25	29	25	23	12	11	16	16.17	17
1998	13	12	13	10	11	23	30	32	28	21	11	16	18.33	17
1999	11	11	11	10	10	28	31	25	29	12	11	16	17.08	18
2000	11	21	11	10	24	29	32	32	14	12	11	16	18.58	18
2001	19	11	11	10	10	12	31	30	26	21	11	20	17.67	18
2002	11	18	11	10	10	28	32	29	22	12	20	18	18.42	18
2003	12	11	11	10	21	21	28	28	25	23	11	16	18.08	18
2004	11	11	11	10	10	24	28	27	28	12	15	16	16.92	18
2005	11	11	11	13	15	23	30	28	27	28	18	19	19.50	18
2006	19	11	11	10	12	24	30	25	22	12	11	16	16.92	18
2007	16	11	11	10	13	26	29	31	28	27	11	16	19.08	18
2008	11	11	11	10	19	24	31	29	23	20	20	16	18.75	18
2009	11	11	11	12	13	24	26	27	26	20	11	15	17.25	18
2010	16	12	10	10	12	26	29	31	26	27	11	15	18.75	18
2011	11	11	10	10	17	29	32	29	25	12	11	15	17.67	17
2012	11	11	10	10	10	29	28	25	20	12	11	15	16.00	17
2013	11	11	10	10	10	26	10	30	28	12	11	15	15.33	16
2014	11	11	10	10	10	26	30	28	24	12	19	15	17.17	17
2015	11	11	10	10	10	26	27	22	14	20	11	20	16.00	14
2016	13	13	10	13	11	23	33	24	28	26	24	15	19.42	11
