“29.北美副高脊线(110W-60W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：18.66
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	13	12	11	16	16	21	27	26	26	17	18	18	18.42	
1952	17	14	16	14	16	25	27	28	26	22	16	15	19.67	
1953	14	18	18	16	16	26	28	26	25	19	18	21	20.42	20
1954	18	12	15	14	18	25	30	29	27	19	16	14	19.75	20
1955	13	12	11	16	15	21	31	33	27	20	18	17	19.50	20
1956	13	12	17	17	21	22	25	29	26	17	17	19	19.58	19
1957	18	12	11	16	18	21	27	28	27	19	18	14	19.08	19
1958	15	15	14	13	14	22	22	23	25	20	21	14	18.17	19
1959	15	19	17	13	21	23	27	28	22	20	15	14	19.50	18
1960	13	16	11	11	15	20	28	27	23	18	15	14	17.58	18
1961	13	12	11	15	16	20	24	24	26	16	15	14	17.17	18
1962	21	12	11	11	16	21	25	26	25	20	15	14	18.08	18
1963	13	12	18	20	23	22	29	28	26	16	15	17	19.92	19
1964	16	16	17	11	18	22	29	28	27	21	15	14	19.50	19
1965	13	12	11	11	12	21	29	29	27	21	15	14	17.92	18
1966	13	12	11	15	16	21	29	28	23	16	15	14	17.75	18
1967	13	12	11	11	16	18	29	28	24	16	15	14	17.25	18
1968	13	12	11	11	12	21	30	29	23	20	15	14	17.58	18
1969	13	12	14	14	13	20	28	29	21	16	15	14	17.42	18
1970	15	12	15	17	14	20	30	30	29	16	15	14	18.92	18
1971	13	12	11	11	12	21	29	28	25	16	15	14	17.25	18
1972	13	12	11	11	12	17	29	29	27	21	15	14	17.58	18
1973	16	12	11	11	15	22	28	27	22	16	15	14	17.42	18
1974	13	12	11	11	12	17	28	27	27	16	15	14	16.92	18
1975	13	12	11	18	14	22	29	29	27	16	15	14	18.33	18
1976	13	12	11	11	12	24	28	29	23	16	20	14	17.75	18
1977	15	19	18	11	14	23	31	30	25	21	15	17	19.92	19
1978	13	14	14	11	18	25	30	29	24	18	20	18	19.50	19
1979	13	15	11	14	12	21	27	27	25	19	15	14	17.75	19
1980	15	12	15	13	15	24	30	29	26	20	19	14	19.33	19
1981	13	12	13	18	14	25	29	27	23	21	16	14	18.75	18
1982	13	12	11	14	15	21	29	29	26	18	15	14	18.08	18
1983	13	12	11	11	13	15	29	31	25	21	15	14	17.50	18
1984	13	12	11	14	12	20	31	28	21	24	15	14	17.92	18
1985	13	12	11	11	14	22	29	29	28	24	15	20	19.00	18
1986	13	12	11	11	12	23	30	30	26	21	24	17	19.17	19
1987	15	14	11	11	12	20	27	27	23	20	16	17	17.75	19
1988	19	12	13	11	15	20	29	31	27	16	20	14	18.92	19
1989	13	12	11	11	12	22	29	28	29	19	17	17	18.33	19
1990	13	12	11	11	17	24	29	27	25	16	18	20	18.58	19
1991	18	12	15	13	15	20	29	29	26	16	21	20	19.50	19
1992	13	13	14	12	12	22	28	29	28	18	21	19	19.08	19
1993	13	12	11	13	11	22	28	29	27	20	21	20	18.92	19
1994	13	12	16	15	14	24	29	29	25	18	20	16	19.25	19
1995	14	15	11	12	16	20	29	32	24	26	17	16	19.33	19
1996	13	12	11	10	15	21	29	28	23	21	15	14	17.67	19
1997	13	12	11	10	16	21	28	26	25	15	19	17	17.75	19
1998	13	11	11	13	17	22	29	30	23	21	20	21	19.25	18
1999	13	11	11	18	17	21	30	29	25	20	15	14	18.67	18
2000	13	11	11	10	11	25	28	31	25	21	19	20	18.75	19
2001	13	11	11	10	13	23	30	28	23	22	13	14	17.58	19
2002	19	15	11	17	17	21	31	29	23	23	19	17	20.17	19
2003	14	17	16	13	18	23	31	30	23	18	17	14	19.50	19
2004	14	16	11	13	14	24	28	25	27	18	17	14	18.42	19
2005	13	12	13	12	13	19	29	30	28	20	18	17	18.67	19
2006	13	16	11	10	15	22	32	29	23	19	18	15	18.58	19
2007	16	16	11	13	12	20	28	31	26	24	13	20	19.17	19
2008	13	11	11	10	16	24	30	27	26	21	13	20	18.50	19
2009	13	11	11	14	15	20	27	29	24	23	13	19	18.25	19
2010	15	12	12	11	16	26	30	30	28	20	13	14	18.92	18
2011	13	11	11	10	15	24	31	30	24	21	13	14	18.08	18
2012	13	11	11	10	11	20	32	29	23	15	16	14	17.08	18
2013	20	11	11	10	10	24	30	30	23	22	13	14	18.17	18
2014	20	11	11	10	10	21	28	26	28	15	20	14	17.83	18
2015	13	11	20	19	15	24	27	28	22	18	21	22	20.00	15
2016	12	13	11	11	13	23	29	31	26	23	13	21	18.83	11
