“3.北非大西洋北美副高面积指数(110W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：42.01
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	3	0	0	6	51	75	99	104	87	47	26	17	42.92	
1952	15	10	22	34	55	87	100	95	73	46	22	13	47.67	
1953	12	7	15	32	53	79	96	97	63	40	20	23	44.75	41
1954	10	0	13	21	33	51	87	82	70	31	5	1	33.67	39
1955	0	0	1	3	49	66	89	87	74	40	20	10	36.58	35
1956	0	0	6	9	46	71	87	72	43	38	8	8	32.33	35
1957	9	5	7	21	24	52	72	83	45	22	4	8	29.33	36
1958	14	15	21	34	42	80	89	78	62	34	14	11	41.17	36
1959	3	19	29	27	31	70	83	77	60	32	14	16	38.42	37
1960	12	3	17	14	52	76	81	92	62	34	17	17	39.75	38
1961	11	7	14	31	42	74	73	86	52	18	9	13	35.83	35
1962	17	6	0	17	42	59	79	84	55	26	15	9	34.08	32
1963	0	0	4	2	22	64	80	76	62	12	0	9	27.58	30
1964	5	3	9	6	37	36	70	65	57	2	0	0	24.17	29
1965	0	1	1	5	23	64	80	66	55	30	13	4	28.50	27
1966	3	8	7	15	41	56	77	76	55	11	1	0	29.17	28
1967	0	1	2	9	22	38	81	79	38	17	7	6	25.00	31
1968	0	1	9	9	21	62	90	82	63	26	10	0	31.08	33
1969	3	10	26	34	50	78	99	84	64	21	12	11	41.00	31
1970	13	11	12	43	42	73	85	87	63	10	2	2	36.92	31
1971	0	5	5	8	12	47	67	66	31	17	3	2	21.92	30
1972	0	0	0	0	22	45	75	73	48	18	1	1	23.58	26
1973	8	0	0	9	31	45	82	81	63	1	0	0	26.67	24
1974	0	0	0	0	16	38	76	72	38	0	0	0	20.00	25
1975	0	0	0	7	21	53	77	78	66	22	14	5	28.58	29
1976	2	3	3	10	25	51	75	77	52	20	8	7	27.75	30
1977	7	16	15	15	35	56	90	88	71	52	16	13	39.50	34
1978	12	12	17	15	38	72	81	84	61	19	17	7	36.25	38
1979	0	4	7	26	42	77	105	87	60	53	8	9	39.83	40
1980	6	2	16	29	53	88	99	91	78	54	17	1	44.50	39
1981	0	0	12	24	47	67	95	83	71	31	13	12	37.92	41
1982	1	0	2	12	38	76	86	98	70	27	7	9	35.50	38
1983	10	16	20	29	53	72	102	100	77	40	32	9	46.67	35
1984	0	1	3	20	35	60	71	86	31	24	1	0	27.67	35
1985	0	0	7	3	31	64	79	88	48	21	1	8	29.17	37
1986	0	0	5	15	35	58	98	84	61	42	12	17	35.58	36
1987	13	13	7	36	44	83	91	91	82	49	29	25	46.92	37
1988	9	1	16	17	49	68	101	88	69	30	14	1	38.58	39
1989	4	4	0	5	35	68	97	78	59	39	12	12	34.42	40
1990	1	2	9	9	40	81	90	97	76	50	17	9	40.08	37
1991	12	6	11	12	47	77	95	101	81	12	13	11	39.83	37
1992	5	14	21	24	25	53	80	94	51	20	4	7	33.17	39
1993	1	0	9	21	41	78	86	90	66	36	16	11	37.92	40
1994	1	3	16	25	55	73	93	101	73	25	36	26	43.92	39
1995	22	19	13	25	56	77	78	93	85	40	30	17	46.25	41
1996	0	1	7	19	50	73	98	92	57	32	1	0	35.83	45
1997	0	5	5	12	41	59	100	101	77	37	25	30	41.00	43
1998	17	32	32	47	62	89	106	108	83	69	19	25	57.42	41
1999	1	8	3	28	46	71	86	89	49	40	11	1	36.08	43
2000	0	4	5	21	43	83	78	89	55	27	8	9	35.17	44
2001	3	5	6	26	50	75	93	104	64	60	25	12	43.58	43
2002	12	16	18	26	54	83	108	99	76	30	32	26	48.33	45
2003	24	21	24	44	61	77	104	103	84	49	25	14	52.50	49
2004	11	25	16	34	51	81	93	97	76	53	25	12	47.83	50
2005	6	22	39	46	51	72	103	98	92	57	26	7	51.58	50
2006	4	22	14	22	57	81	107	102	82	65	20	33	50.75	48
2007	25	27	16	42	53	76	102	95	79	38	13	9	47.92	47
2008	2	7	4	10	43	77	98	87	70	61	19	5	40.25	47
2009	6	7	12	32	46	71	99	104	86	53	14	15	45.42	45
2010	21	27	48	43	64	95	106	105	81	45	0	0	52.92	43
2011	0	1	6	16	48	76	99	97	80	23	11	12	39.08	43
2012	4	3	12	15	42	61	88	89	66	29	16	6	35.92	42
2013	21	13	27	26	40	73	92	85	65	55	11	8	43.00	41
2014	7	1	12	31	39	63	97	88	70	32	22	2	38.67	43
2015	4	5	8	26	49	73	99	100	76	62	25	26	46.08	36
2016	24	24	35	36	62	83	101	101	87	36	17	19	52.08	27
