“30.大西洋副高脊线(55W-25W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：16.16
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	10	10	10	16	17	21	26	30	25	15	19	10	17.42	
1952	10	10	13	20	18	17	24	27	25	21	13	12	17.50	
1953	10	10	10	15	19	23	28	26	24	20	16	22	18.58	17
1954	10	10	10	10	17	20	27	28	23	10	13	10	15.67	17
1955	10	10	10	10	18	23	24	28	27	17	16	18	17.58	17
1956	10	10	10	10	19	21	24	28	22	19	13	10	16.33	17
1957	10	10	11	16	18	19	23	27	22	18	13	14	16.75	18
1958	14	14	14	13	14	20	23	22	21	19	22	13	17.42	18
1959	10	21	17	18	17	23	25	25	23	22	21	21	20.25	19
1960	16	10	17	17	19	22	29	27	25	23	21	23	20.75	20
1961	20	18	16	19	20	23	28	27	25	20	17	17	20.83	20
1962	22	19	10	19	15	26	25	26	27	23	14	17	20.25	19
1963	10	10	10	10	14	20	24	29	29	22	13	17	17.33	18
1964	10	10	11	10	18	19	26	27	28	10	13	10	16.00	17
1965	10	10	10	10	10	21	27	27	22	21	13	10	15.92	16
1966	10	12	10	10	16	23	23	27	22	10	13	10	15.50	16
1967	10	10	10	10	10	19	28	28	23	10	13	10	15.08	15
1968	10	10	10	10	14	20	26	24	21	19	13	10	15.58	15
1969	10	10	11	12	13	21	25	26	22	10	13	10	15.25	15
1970	10	10	10	15	12	23	25	27	25	10	13	10	15.83	15
1971	10	10	10	10	11	18	28	28	18	10	13	10	14.67	15
1972	10	10	10	10	17	20	25	29	23	10	13	10	15.58	15
1973	10	10	10	10	10	17	25	25	22	10	13	10	14.33	15
1974	10	10	10	10	10	17	23	23	26	10	13	10	14.33	15
1975	10	10	10	10	11	17	26	24	25	10	13	10	14.67	15
1976	10	10	10	10	10	18	21	23	20	10	13	10	13.75	15
1977	10	17	10	10	15	20	28	29	22	21	13	10	17.08	15
1978	10	11	10	10	10	20	24	23	21	10	13	10	14.33	15
1979	10	10	10	10	10	19	23	25	20	18	13	10	14.83	15
1980	10	10	10	10	12	22	25	24	22	20	19	10	16.17	15
1981	10	10	10	10	12	18	24	23	22	10	13	10	14.33	15
1982	10	10	10	10	12	19	24	29	23	19	13	10	15.75	15
1983	10	10	10	12	12	17	24	23	22	18	13	10	15.08	15
1984	10	10	10	10	13	20	27	25	20	17	13	10	15.42	16
1985	10	10	10	10	11	17	31	27	18	10	13	23	15.83	16
1986	10	10	10	10	14	20	24	25	22	14	13	14	15.50	16
1987	10	10	10	10	13	20	22	24	24	27	13	15	16.50	16
1988	10	10	10	10	12	19	30	31	23	19	13	10	16.42	16
1989	10	10	10	10	11	18	27	30	26	15	13	18	16.50	16
1990	10	10	10	10	13	21	27	26	24	18	18	10	16.42	16
1991	10	10	10	10	14	23	28	29	29	10	13	10	16.33	16
1992	10	10	10	10	10	18	26	33	24	10	13	10	15.33	16
1993	10	10	10	10	10	22	26	28	28	15	13	10	16.00	16
1994	10	10	10	10	10	20	31	30	24	11	11	10	15.58	16
1995	10	13	10	10	12	15	27	26	25	15	10	10	15.25	16
1996	10	10	10	10	13	23	26	29	27	18	10	10	16.33	16
1997	10	10	10	10	13	20	28	31	22	15	10	19	16.50	16
1998	10	10	10	10	12	19	30	28	25	16	10	10	15.83	17
1999	10	10	10	10	14	21	28	31	26	25	10	10	17.08	17
2000	10	10	10	10	12	22	28	30	27	33	10	10	17.67	17
2001	10	10	10	11	15	21	33	30	22	21	10	10	16.92	17
2002	10	10	10	10	11	21	28	24	20	19	20	19	16.83	17
2003	16	10	10	11	11	25	30	27	24	14	10	10	16.50	17
2004	10	10	10	10	13	22	30	27	23	15	10	10	15.83	16
2005	10	10	12	11	13	17	25	30	28	23	10	10	16.58	16
2006	10	10	10	10	12	19	29	25	27	20	10	10	16.00	16
2007	10	19	10	12	12	23	31	27	21	19	10	10	17.00	17
2008	10	10	10	10	13	21	26	31	25	28	10	10	17.00	16
2009	10	10	10	10	13	16	27	33	25	18	10	10	16.00	16
2010	15	12	13	10	11	20	31	26	26	13	10	10	16.42	16
2011	10	10	10	10	11	19	33	27	26	10	10	10	15.50	16
2012	10	10	10	10	15	21	25	28	20	17	19	10	16.25	16
2013	10	10	12	10	13	19	26	29	22	23	10	10	16.17	16
2014	10	10	10	10	14	17	23	27	24	19	26	10	16.67	17
2015	10	10	10	10	16	20	27	30	20	22	10	23	17.33	13
2016	10	10	10	10	10	21	28	28	29	18	10	10	16.17	10
