“31.南海副高脊线(100E-120E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：15.78
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	10	10	10	10	10	15	21	19	20	16	13	10	13.67	
1952	10	10	10	10	16	15	21	19	20	16	13	10	14.17	
1953	10	10	10	10	14	21	27	31	25	19	19	10	17.17	16
1954	10	10	15	17	19	19	21	30	25	18	17	15	18.00	17
1955	15	15	14	15	17	15	21	19	25	16	13	10	16.25	17
1956	10	15	15	18	19	18	27	19	20	20	15	10	17.17	17
1957	10	10	10	16	10	15	25	19	20	19	13	10	14.75	16
1958	11	10	13	16	18	15	21	26	25	20	13	11	16.58	16
1959	13	13	15	14	16	18	29	19	20	16	15	16	17.00	17
1960	15	10	10	14	17	15	23	19	26	22	17	14	16.83	17
1961	15	10	13	14	18	23	28	30	20	22	17	10	18.33	17
1962	10	15	10	15	17	20	29	25	25	19	19	15	18.25	18
1963	10	10	10	14	16	15	27	25	27	21	17	10	16.83	18
1964	10	10	10	19	21	20	28	29	27	22	13	10	18.25	17
1965	10	10	10	10	10	15	26	21	24	18	19	18	15.92	16
1966	16	10	10	10	10	17	27	28	20	19	19	10	16.33	16
1967	10	10	10	10	10	15	21	32	20	16	13	10	14.75	16
1968	10	10	10	10	10	15	21	19	25	16	16	10	14.33	15
1969	10	15	12	12	15	15	26	19	26	16	13	15	16.17	15
1970	10	10	15	14	14	15	21	19	20	16	13	10	14.75	15
1971	10	10	10	10	10	15	21	19	20	16	13	10	13.67	15
1972	10	10	10	11	10	15	21	19	24	20	17	10	14.75	15
1973	12	13	14	11	16	16	21	32	24	16	13	10	16.50	15
1974	10	10	10	10	10	15	21	19	21	16	13	10	13.75	15
1975	10	10	10	15	16	15	21	19	28	16	13	10	15.25	15
1976	10	10	10	10	10	15	21	29	20	18	13	15	15.08	15
1977	10	10	14	14	15	18	21	19	25	18	13	14	15.92	16
1978	12	11	11	11	12	15	21	30	25	16	13	14	15.92	16
1979	13	13	13	14	12	17	22	19	22	19	15	14	16.08	16
1980	10	10	14	13	10	22	25	21	25	19	18	10	16.42	16
1981	10	12	12	12	14	15	21	26	23	19	17	14	16.25	16
1982	10	14	14	12	14	18	21	19	23	19	13	13	15.83	16
1983	12	10	10	13	14	19	23	19	21	22	16	13	16.00	16
1984	10	15	13	13	13	15	21	19	22	20	13	10	15.33	15
1985	10	10	13	10	13	15	21	19	20	22	15	10	14.83	15
1986	15	10	10	13	10	15	21	19	20	19	13	14	14.92	16
1987	12	12	12	14	14	15	24	24	20	17	18	13	16.25	16
1988	14	14	14	14	17	18	26	20	22	24	17	10	17.50	16
1989	10	10	10	10	10	22	25	19	20	22	17	10	15.42	16
1990	10	10	12	13	14	15	21	19	20	19	17	15	15.42	16
1991	10	15	14	15	18	21	25	19	20	16	17	14	17.00	16
1992	10	10	12	13	12	15	25	19	26	20	13	16	15.92	16
1993	10	10	14	12	12	13	21	27	24	18	16	16	16.08	16
1994	10	13	11	14	15	17	21	31	21	14	16	14	16.42	16
1995	14	12	13	14	12	14	17	19	17	20	15	14	15.08	16
1996	10	10	15	10	14	19	26	30	17	21	13	10	16.25	16
1997	10	10	10	10	10	13	24	30	18	19	17	13	15.33	16
1998	13	10	12	13	12	16	20	25	22	20	19	16	16.50	15
1999	10	15	10	10	15	13	17	19	17	21	19	10	14.67	15
2000	10	10	10	14	10	13	17	19	17	24	13	10	13.92	15
2001	10	10	10	15	13	13	17	25	27	22	13	13	15.67	15
2002	11	12	13	14	12	15	17	19	17	18	16	12	14.67	15
2003	12	12	12	13	14	15	26	28	24	19	18	14	17.25	16
2004	10	14	14	12	14	13	17	19	23	19	17	10	15.17	16
2005	12	11	11	13	13	15	25	19	27	20	18	15	16.58	16
2006	15	11	10	13	15	19	17	31	23	22	15	13	17.00	16
2007	13	10	12	11	12	15	25	19	17	21	13	15	15.25	16
2008	10	10	10	10	10	13	17	25	28	22	16	10	15.08	16
2009	10	10	14	10	10	13	26	26	27	17	18	11	16.00	15
2010	15	11	13	13	12	14	22	28	25	14	13	10	15.83	15
2011	10	10	10	14	15	13	17	19	25	14	13	10	14.17	15
2012	10	10	10	14	10	13	17	19	23	20	15	10	14.25	15
2013	14	15	10	14	15	13	17	19	26	14	16	14	15.58	15
2014	10	10	14	12	14	13	25	19	24	20	16	15	16.00	16
2015	10	10	15	15	14	21	17	19	22	18	17	14	16.00	13
2016	11	13	12	13	13	18	23	32	22	24	17	16	17.83	10
