“32.北美大西洋副高脊线(110W-20W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：18.05
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	13	11	10	16	17	21	26	28	26	17	18	18	18.42	
1952	17	14	15	17	17	22	26	28	26	21	16	15	19.50	
1953	14	18	18	16	17	25	28	26	25	20	17	21	20.42	19
1954	18	11	15	14	17	23	29	28	26	19	16	13	19.08	19
1955	13	11	10	16	16	22	28	31	27	19	17	18	19.00	19
1956	13	11	17	17	20	22	24	28	24	18	17	19	19.17	19
1957	18	12	11	16	18	20	25	28	24	19	18	14	18.58	19
1958	14	14	14	13	14	21	22	22	23	20	21	13	17.58	19
1959	15	20	17	16	18	23	26	26	23	21	21	21	20.58	19
1960	16	16	17	17	16	21	29	27	23	22	21	23	20.67	20
1961	20	18	16	17	17	21	25	26	26	20	17	17	20.00	20
1962	22	19	10	19	15	23	25	26	26	22	15	17	19.92	20
1963	13	11	18	20	19	21	27	28	27	21	13	17	19.58	19
1964	16	16	15	10	18	21	28	27	27	21	13	13	18.75	18
1965	13	11	10	10	11	21	28	28	24	21	13	13	16.92	18
1966	13	12	10	15	16	22	27	28	22	10	13	13	16.75	17
1967	13	11	10	10	15	19	29	28	23	10	13	13	16.17	17
1968	13	11	10	10	14	20	28	27	22	20	13	13	16.75	17
1969	13	11	12	13	13	20	27	28	22	10	13	13	16.25	17
1970	13	11	15	16	13	21	28	29	27	10	13	13	17.42	17
1971	13	11	10	10	11	20	29	28	25	10	13	13	16.08	17
1972	13	11	10	10	17	19	27	29	26	21	13	13	17.42	17
1973	16	11	10	10	15	23	26	26	22	10	13	13	16.25	16
1974	13	11	10	10	11	17	26	26	27	10	13	13	15.58	16
1975	13	11	10	18	13	19	28	27	26	10	13	13	16.75	17
1976	13	11	10	10	11	20	25	27	21	10	20	13	15.92	17
1977	15	18	18	10	14	21	29	29	24	21	13	17	19.08	17
1978	13	13	14	10	17	23	27	27	23	18	20	18	18.58	18
1979	13	15	10	14	11	20	25	26	22	19	13	13	16.75	18
1980	15	11	15	13	14	23	28	27	25	20	19	13	18.58	18
1981	13	11	12	18	13	22	27	25	22	21	16	13	17.75	17
1982	13	11	10	14	13	21	27	29	25	18	13	13	17.25	17
1983	14	11	10	12	13	16	27	28	24	19	13	13	16.67	17
1984	13	11	10	14	12	20	29	26	20	20	13	13	16.75	17
1985	13	11	10	10	13	19	30	28	21	24	13	21	17.75	17
1986	13	11	10	10	13	22	27	28	24	17	24	15	17.83	18
1987	15	14	10	11	12	20	25	26	23	23	14	16	17.42	18
1988	19	11	12	10	14	20	29	31	25	19	19	13	18.50	18
1989	13	11	10	10	11	20	28	29	27	16	17	17	17.42	18
1990	13	11	10	10	15	23	28	26	25	17	18	20	18.00	18
1991	18	11	15	13	14	21	29	29	27	10	21	20	19.00	18
1992	13	13	14	12	12	20	27	30	26	18	21	19	18.75	18
1993	13	11	10	12	11	22	27	29	28	18	21	20	18.50	18
1994	13	11	14	13	12	22	30	30	25	13	17	14	17.83	18
1995	13	15	10	12	14	18	28	30	24	20	16	16	18.00	18
1996	13	11	10	11	14	22	28	29	24	20	13	13	17.33	18
1997	13	11	10	10	15	20	28	28	24	15	18	18	17.50	18
1998	13	11	11	12	15	21	29	29	24	19	20	21	18.75	18
1999	13	11	10	18	15	21	29	29	26	24	13	13	18.50	18
2000	13	11	10	10	12	24	28	31	26	28	19	20	19.33	19
2001	13	11	10	11	14	22	31	29	22	22	11	13	17.42	19
2002	19	15	10	15	15	21	30	27	22	22	20	18	19.50	19
2003	14	18	16	12	16	24	31	29	23	16	17	13	19.08	18
2004	14	16	10	12	13	23	28	25	25	16	17	13	17.67	19
2005	13	12	13	12	13	18	27	30	28	22	18	17	18.58	18
2006	13	16	10	10	14	21	31	27	25	19	17	15	18.17	18
2007	16	17	10	12	12	21	29	30	24	21	11	20	18.58	18
2008	13	11	10	10	14	23	28	28	26	24	11	20	18.17	18
2009	13	11	10	12	14	18	27	30	24	21	11	18	17.42	18
2010	15	12	13	11	14	23	31	29	27	17	11	13	18.00	18
2011	13	11	10	10	13	22	32	29	25	21	11	13	17.50	18
2012	13	11	10	10	14	21	29	28	22	17	18	13	17.17	18
2013	19	11	12	10	12	22	29	29	22	22	11	13	17.67	18
2014	21	11	10	10	14	19	26	26	26	20	22	13	18.17	18
2015	13	11	20	19	16	22	27	29	21	19	21	22	20.00	15
2016	12	13	11	11	12	23	29	29	27	21	11	21	18.33	11
