“33.太平洋副高脊线(110E-115W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：19.22
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	11	11	10	12	15	17	27	27	23	22	18	15	17.33	
1952	12	14	13	12	16	25	29	29	27	24	20	18	19.92	
1953	11	16	10	13	14	23	29	31	26	20	19	18	19.17	19
1954	15	11	15	16	21	24	24	26	28	20	20	15	19.58	20
1955	17	11	16	17	20	23	32	31	29	26	20	14	21.33	19
1956	11	11	15	19	20	22	22	26	27	15	21	16	18.75	19
1957	11	11	15	18	10	18	23	24	22	21	17	16	17.17	19
1958	14	12	13	16	19	21	24	25	24	23	21	14	18.83	19
1959	13	15	14	16	15	21	26	29	24	21	20	17	19.25	19
1960	15	16	14	15	17	21	27	27	24	21	18	17	19.33	20
1961	15	14	13	16	17	22	30	28	27	23	19	15	19.92	20
1962	16	14	16	15	19	20	27	28	27	23	21	16	20.17	20
1963	15	13	14	13	13	21	28	25	26	24	18	18	19.00	20
1964	13	15	13	19	21	21	28	29	29	25	16	14	20.25	19
1965	15	11	12	11	22	23	22	25	25	22	19	18	18.75	19
1966	14	13	15	14	15	20	27	28	26	18	18	17	18.75	18
1967	15	11	10	11	10	20	26	26	26	23	18	17	17.75	18
1968	11	11	10	11	10	22	26	25	24	22	17	14	16.92	18
1969	11	15	12	14	16	18	25	26	24	21	18	17	18.08	18
1970	13	14	14	15	16	22	26	30	26	22	19	17	19.50	18
1971	11	11	10	11	19	23	28	31	26	24	21	19	19.50	19
1972	11	11	10	11	18	21	29	28	24	22	20	16	18.42	19
1973	12	13	13	17	17	21	26	30	24	24	19	18	19.50	19
1974	11	11	10	11	10	24	23	28	24	24	21	18	17.92	19
1975	16	11	10	15	16	23	28	30	28	24	16	15	19.33	19
1976	11	11	10	19	23	22	27	27	27	20	22	16	19.58	19
1977	15	15	15	17	17	22	26	25	25	21	21	15	19.50	19
1978	13	14	12	15	16	24	29	26	26	23	20	16	19.50	19
1979	14	13	13	17	15	19	24	23	25	21	19	16	18.25	19
1980	13	12	14	16	17	20	23	24	25	22	20	15	18.42	19
1981	13	13	14	16	17	23	26	24	23	21	20	17	18.92	18
1982	13	14	15	13	17	20	26	25	25	20	17	16	18.42	19
1983	13	12	12	13	17	20	23	20	22	24	19	15	17.50	19
1984	15	15	14	15	17	22	34	27	24	22	19	15	19.92	19
1985	13	11	13	11	16	25	27	28	27	22	16	18	18.92	19
1986	15	11	14	14	19	25	29	27	25	21	19	18	19.75	19
1987	15	14	14	16	14	20	26	26	21	20	19	16	18.42	19
1988	15	13	14	14	17	22	28	25	26	23	19	17	19.42	19
1989	15	13	10	11	18	22	28	25	28	22	17	14	18.58	19
1990	14	11	13	12	17	21	26	26	27	20	18	16	18.42	19
1991	12	13	14	16	19	20	27	26	27	25	21	18	19.83	19
1992	15	13	14	12	12	21	25	27	24	22	23	16	18.67	18
1993	15	14	15	13	12	19	26	27	22	19	19	18	18.25	18
1994	14	14	13	13	15	18	22	25	17	16	15	17	16.58	18
1995	13	13	12	13	12	16	23	27	21	20	16	15	16.75	18
1996	15	15	15	16	16	20	30	24	23	21	24	14	19.42	18
1997	11	15	14	15	16	23	28	26	23	21	18	16	18.83	19
1998	14	12	13	11	13	23	28	31	26	21	21	18	19.25	20
1999	15	17	10	17	20	27	31	27	29	25	20	18	21.33	20
2000	11	17	17	14	18	27	31	31	30	25	23	18	21.83	21
2001	17	18	14	16	14	24	30	29	28	27	20	17	21.17	21
2002	14	15	14	12	12	25	28	29	25	21	19	16	19.17	20
2003	13	13	13	14	18	21	27	29	26	23	20	18	19.58	20
2004	13	14	13	16	15	25	28	27	26	23	20	15	19.58	19
2005	13	13	14	14	14	22	29	27	28	26	18	17	19.58	20
2006	16	15	14	15	14	23	29	26	24	22	17	17	19.33	20
2007	16	12	13	14	15	23	27	31	29	25	22	17	20.33	20
2008	17	16	15	15	19	24	29	26	26	23	20	15	20.42	20
2009	15	16	13	14	14	21	27	28	26	20	20	15	19.08	20
2010	15	12	13	12	12	23	28	31	27	26	18	14	19.25	20
2011	11	11	15	13	19	26	30	30	26	26	19	19	20.42	19
2012	11	11	15	14	17	25	29	25	25	20	16	15	18.58	19
2013	14	15	13	13	16	23	27	26	29	27	18	15	19.67	19
2014	15	11	14	16	14	19	26	28	25	23	19	17	18.92	19
2015	11	11	15	16	20	24	28	23	23	22	20	18	19.25	16
2016	14	15	11	16	13	22	29	28	28	25	21	18	20.00	12
