“34.北半球副高北界(5E-360)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：23.56
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	14	13	15	16	22	27	36	37	32	25	22	22	23.42	
1952	17	18	19	20	22	31	38	37	33	27	20	18	25.00	
1953	15	20	20	19	22	31	38	38	32	25	23	23	25.50	25
1954	19	13	17	18	25	30	35	34	34	24	21	16	23.83	25
1955	19	17	18	19	23	29	38	37	35	26	22	22	25.42	25
1956	13	17	19	22	26	31	36	35	31	23	23	20	24.67	24
1957	23	15	16	21	20	26	33	35	29	25	21	19	23.58	25
1958	18	17	18	20	23	30	35	35	31	24	25	17	24.42	25
1959	17	21	20	21	22	30	36	37	31	28	25	22	25.83	25
1960	20	21	21	20	24	31	36	37	32	28	24	25	26.58	26
1961	23	20	19	22	23	29	37	37	33	27	23	20	26.08	26
1962	24	19	20	20	23	29	35	37	34	27	24	20	26.00	25
1963	17	16	18	19	19	29	35	35	32	24	21	22	23.92	25
1964	18	19	18	20	23	25	34	34	33	28	20	15	23.92	24
1965	17	13	15	16	24	30	33	34	30	24	22	21	23.25	23
1966	18	17	15	17	23	30	35	36	30	22	22	21	23.83	23
1967	17	17	13	18	21	25	35	35	30	24	18	17	22.50	23
1968	13	13	16	16	19	28	36	34	30	22	19	15	21.75	23
1969	13	16	17	19	23	28	36	35	30	23	20	19	23.25	23
1970	17	16	17	22	22	30	36	37	33	23	21	19	24.42	23
1971	13	14	15	17	20	28	35	35	29	26	22	20	22.83	24
1972	13	13	13	14	21	28	35	35	30	25	26	21	22.83	24
1973	18	20	19	21	23	29	35	36	31	27	24	23	25.50	24
1974	13	13	13	14	22	26	34	34	29	31	26	23	23.17	23
1975	18	13	13	20	21	28	35	35	33	27	19	17	23.25	24
1976	13	13	13	18	24	29	34	34	29	24	23	18	22.67	24
1977	18	19	20	18	22	28	35	36	31	26	22	18	24.42	24
1978	16	17	17	18	23	31	37	34	31	24	20	21	24.08	24
1979	18	16	16	20	20	28	36	34	31	25	19	15	23.17	24
1980	15	15	17	20	23	31	35	35	32	27	24	20	24.50	24
1981	17	17	18	20	22	30	37	33	31	24	22	19	24.17	24
1982	17	17	16	16	22	29	34	36	31	23	20	19	23.33	24
1983	18	16	18	19	23	28	35	34	31	26	21	17	23.83	24
1984	17	17	18	17	22	29	37	36	28	23	24	17	23.75	24
1985	17	13	16	17	20	30	35	36	31	24	20	24	23.58	24
1986	17	13	16	19	21	30	37	35	31	24	22	19	23.67	24
1987	17	16	17	19	20	28	33	34	30	26	20	20	23.33	23
1988	19	17	16	17	22	28	37	34	31	25	20	18	23.67	23
1989	14	13	13	18	20	28	35	34	32	23	18	19	22.25	23
1990	16	13	15	16	21	29	33	35	32	24	19	18	22.58	23
1991	15	14	16	18	23	29	35	35	33	26	22	19	23.75	23
1992	17	15	17	16	17	26	33	36	29	23	26	20	22.92	23
1993	17	16	16	16	18	27	34	34	29	22	23	19	22.58	23
1994	18	16	16	16	21	30	34	37	28	19	19	19	22.75	23
1995	15	15	14	16	20	27	33	35	31	23	19	17	22.08	23
1996	18	18	17	17	21	28	37	34	29	24	26	15	23.67	23
1997	13	18	14	17	20	28	35	35	29	22	19	19	22.42	24
1998	17	16	17	20	23	30	36	38	32	27	22	21	24.92	24
1999	18	18	18	20	23	30	36	35	32	27	21	21	24.92	24
2000	13	19	19	19	21	32	36	37	30	26	23	20	24.58	24
2001	19	19	13	18	21	30	36	37	30	27	19	18	23.92	24
2002	16	17	16	16	21	31	36	36	31	23	21	18	23.50	24
2003	16	16	16	18	23	29	36	36	31	24	19	18	23.50	24
2004	14	17	16	17	22	31	35	36	32	23	20	16	23.25	24
2005	14	15	17	19	21	28	37	36	34	28	21	20	24.17	24
2006	19	16	15	17	20	30	37	36	30	25	18	19	23.50	24
2007	18	16	15	19	20	29	36	37	33	26	23	21	24.42	24
2008	18	16	18	18	21	30	36	35	31	27	21	19	24.17	24
2009	18	18	14	17	20	27	35	36	32	24	20	18	23.25	24
2010	17	15	18	18	22	30	37	38	33	25	23	15	24.25	24
2011	13	13	16	15	22	31	37	37	32	25	20	19	23.33	23
2012	12	18	16	18	23	29	36	34	29	22	19	17	22.75	23
2013	17	17	17	17	22	30	35	35	31	27	19	17	23.67	23
2014	18	13	15	19	22	27	35	34	30	24	22	20	23.25	24
2015	18	13	18	20	23	30	35	33	29	25	22	20	23.83	19
2016	16	18	16	17	20	30	36	36	33	26	21	22	24.25	14
