“35.北非副高北界(20W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：22.34
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	14	10	13	14	22	31	36	38	33	22	21	12	22.17	
1952	10	10	13	18	24	34	36	36	33	24	20	12	22.50	
1953	13	10	18	17	23	31	38	38	32	22	24	19	23.75	22
1954	16	10	17	16	25	28	35	34	33	21	17	12	22.00	22
1955	10	10	13	14	25	30	35	36	34	24	19	12	21.83	22
1956	10	10	13	14	24	32	36	35	31	22	13	12	21.00	22
1957	10	10	13	14	21	28	34	36	28	24	13	12	20.25	22
1958	17	16	17	20	25	31	36	36	31	24	13	16	23.50	22
1959	10	17	17	21	23	32	35	36	30	29	23	21	24.50	23
1960	10	10	21	17	21	30	35	37	32	29	22	12	23.00	23
1961	10	17	19	20	23	29	36	37	29	25	13	20	23.17	22
1962	10	10	13	18	22	31	36	38	34	21	17	12	21.83	22
1963	10	10	13	14	17	27	35	36	29	16	13	12	19.33	21
1964	10	10	17	17	23	27	35	34	33	16	13	12	20.58	21
1965	10	10	13	15	23	31	35	36	30	21	18	16	21.50	21
1966	14	18	14	16	24	32	34	36	29	21	13	12	21.92	21
1967	10	10	13	17	22	28	35	36	31	20	16	14	21.00	22
1968	10	10	16	16	19	31	36	34	32	21	16	12	21.08	22
1969	13	16	17	19	25	30	37	36	32	21	17	17	23.33	22
1970	17	17	18	22	25	32	36	36	32	19	17	15	23.83	22
1971	10	14	15	17	18	30	35	33	28	24	17	15	21.33	22
1972	10	10	13	14	21	30	33	33	31	23	13	12	20.25	21
1973	10	10	13	18	25	30	34	37	32	16	13	12	20.83	21
1974	10	10	13	14	22	29	35	34	29	16	13	12	19.75	21
1975	10	10	13	20	22	29	36	35	33	25	19	16	22.33	22
1976	13	13	13	17	23	30	34	36	31	22	15	17	22.00	22
1977	15	17	17	17	24	30	35	36	32	24	19	15	23.42	23
1978	15	14	16	17	25	30	38	35	32	19	16	15	22.67	23
1979	10	15	15	20	23	30	38	36	31	24	15	13	22.50	23
1980	13	10	16	19	25	32	37	38	33	24	20	12	23.25	22
1981	10	10	13	18	25	30	37	36	34	23	17	17	22.50	23
1982	10	10	13	15	22	32	34	36	31	21	15	15	21.17	22
1983	14	14	15	20	26	31	36	36	33	24	20	14	23.58	22
1984	10	10	13	17	24	31	37	36	30	21	13	12	21.17	22
1985	10	10	15	17	22	32	36	37	32	22	13	12	21.50	22
1986	10	10	16	20	22	28	38	36	32	23	17	16	22.33	22
1987	15	16	14	23	25	30	34	36	34	21	19	17	23.67	22
1988	10	10	15	17	23	26	38	37	34	20	16	12	21.50	22
1989	10	10	13	16	21	28	38	35	30	21	13	12	20.58	22
1990	10	10	16	15	22	29	39	37	30	25	15	12	21.67	21
1991	12	13	13	17	22	32	37	39	31	21	13	12	21.83	21
1992	10	10	13	15	18	25	36	38	30	17	13	12	19.75	21
1993	10	10	15	15	21	30	38	34	28	20	13	14	20.67	21
1994	10	10	13	16	23	30	31	36	27	17	19	16	20.67	21
1995	13	12	13	16	21	29	34	34	31	21	18	11	21.08	21
1996	10	10	16	16	25	30	37	36	31	23	13	11	21.50	22
1997	10	18	11	14	22	30	36	36	30	21	15	16	21.58	22
1998	15	17	17	21	26	33	37	38	32	29	18	17	25.00	23
1999	10	15	18	19	26	33	34	36	31	25	20	11	23.17	23
2000	10	15	15	20	25	32	37	36	30	21	18	16	22.92	23
2001	16	17	10	18	24	33	36	37	31	27	18	14	23.42	23
2002	12	14	15	17	25	33	35	35	32	20	16	15	22.42	23
2003	14	15	15	20	25	31	37	37	33	25	15	14	23.42	23
2004	10	15	15	18	25	32	35	36	34	24	15	13	22.67	23
2005	10	14	17	21	25	31	36	37	33	26	19	14	23.58	23
2006	17	14	14	17	25	32	36	38	32	25	16	16	23.50	23
2007	14	13	16	20	24	30	35	35	31	23	20	19	23.33	23
2008	14	13	17	19	23	32	35	36	30	25	18	14	23.00	23
2009	15	17	14	19	25	30	36	36	30	23	16	17	23.17	23
2010	15	14	21	22	26	31	38	38	32	24	13	11	23.75	23
2011	10	10	14	15	25	31	36	36	31	22	16	16	21.83	23
2012	12	18	15	18	26	31	35	36	30	21	16	16	22.83	23
2013	14	15	18	18	24	30	35	35	30	25	17	14	22.92	23
2014	12	10	14	21	24	29	35	36	31	22	16	18	22.33	23
2015	17	16	15	20	26	30	37	36	30	26	18	17	24.00	19
2016	14	17	17	19	26	32	37	38	33	22	18	20	24.42	14
