“36.北非大西洋北美副高北界(110W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：22.78
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	14	10	13	21	22	30	38	39	34	24	23	23	24.25	
1952	21	19	20	21	23	34	39	38	34	27	21	19	26.33	
1953	16	23	20	19	23	34	40	39	33	24	23	25	26.58	25
1954	20	10	17	16	24	29	38	36	35	23	18	13	23.25	25
1955	10	10	13	19	24	30	38	39	36	25	21	22	23.92	25
1956	10	10	22	22	26	33	37	36	31	25	22	23	24.75	24
1957	23	15	16	20	22	28	35	37	30	24	21	17	24.00	25
1958	17	17	17	19	22	31	37	37	32	24	26	17	24.67	26
1959	17	23	21	21	23	32	37	37	31	28	29	25	27.00	26
1960	21	19	24	22	24	31	38	38	33	30	27	31	28.17	27
1961	28	21	20	23	23	31	37	38	32	29	22	21	27.08	26
1962	29	23	13	22	22	31	37	38	35	25	21	22	26.50	26
1963	10	10	21	22	20	28	36	38	32	22	15	22	23.00	24
1964	18	19	18	17	23	26	36	35	33	25	15	13	23.17	23
1965	10	10	13	15	23	32	36	35	30	23	18	16	21.75	22
1966	14	17	14	16	24	32	36	36	30	21	15	13	22.33	22
1967	10	10	13	17	21	25	37	37	29	20	16	14	20.75	22
1968	10	10	16	16	19	29	37	36	31	21	16	13	21.17	22
1969	13	16	16	18	22	30	38	37	30	21	17	17	22.92	22
1970	17	17	18	22	22	31	37	37	33	18	17	15	23.67	22
1971	10	14	15	17	18	28	35	35	29	24	17	15	21.42	22
1972	10	10	13	14	20	28	35	36	31	23	15	13	20.67	22
1973	21	10	13	18	24	30	36	37	32	18	15	13	22.25	21
1974	10	10	13	14	22	27	35	34	30	18	15	13	20.08	21
1975	10	10	13	21	21	27	36	36	34	25	19	16	22.33	22
1976	13	13	13	17	23	29	34	35	29	22	19	17	22.00	22
1977	16	19	18	17	23	28	37	38	32	25	19	17	24.08	23
1978	15	14	16	17	24	31	37	36	31	20	18	20	23.25	23
1979	10	16	15	19	20	30	38	36	31	24	15	13	22.25	23
1980	14	10	17	18	23	34	39	37	34	26	22	13	23.92	23
1981	10	10	15	19	21	30	38	35	31	24	17	17	22.25	23
1982	10	10	13	16	21	31	36	38	32	22	15	15	21.58	22
1983	15	14	15	19	23	28	38	38	33	24	19	14	23.33	22
1984	10	10	13	17	22	30	37	36	28	22	15	13	21.08	22
1985	10	10	15	17	21	30	38	37	30	23	15	25	22.58	23
1986	10	10	16	20	21	30	39	37	31	23	21	17	22.92	22
1987	16	15	14	18	21	30	35	36	32	26	18	20	23.42	23
1988	18	10	14	14	22	29	38	36	32	23	19	13	22.33	23
1989	10	10	13	17	19	29	37	36	32	22	16	20	21.75	23
1990	10	10	15	15	21	32	36	37	33	24	18	18	22.42	23
1991	19	13	15	16	22	31	36	37	33	23	22	19	23.83	22
1992	10	14	16	15	18	26	35	37	31	22	24	21	22.42	22
1993	10	10	14	15	17	29	36	36	32	22	23	16	21.67	22
1994	10	10	14	16	22	31	35	38	29	17	20	17	21.58	22
1995	14	15	13	15	21	28	35	37	32	22	18	14	22.00	22
1996	10	10	16	16	21	30	38	37	29	23	15	13	21.50	22
1997	10	18	11	14	20	28	37	37	30	21	17	18	21.75	23
1998	15	15	15	20	24	32	39	39	32	27	19	19	24.67	23
1999	10	15	18	19	23	30	36	37	31	26	20	13	23.17	23
2000	10	15	15	20	21	33	36	38	30	24	19	18	23.25	23
2001	16	17	10	16	22	31	38	38	30	26	17	14	22.92	23
2002	16	15	15	17	22	32	38	37	31	22	19	17	23.42	23
2003	16	17	17	18	24	30	38	38	32	22	17	14	23.58	23
2004	12	16	15	16	22	32	36	36	33	22	17	13	22.50	23
2005	10	14	18	19	21	28	38	38	35	26	20	18	23.75	23
2006	17	16	14	17	22	31	38	38	32	25	16	17	23.58	23
2007	16	16	16	18	21	29	37	38	32	23	20	21	23.92	24
2008	14	13	17	19	20	31	37	36	31	27	18	19	23.50	24
2009	15	17	14	17	21	28	36	38	31	24	16	19	23.00	23
2010	16	14	19	19	24	33	39	38	34	22	15	13	23.83	23
2011	10	10	14	15	21	30	38	37	32	22	16	16	21.75	23
2012	12	18	15	18	24	30	37	36	29	21	17	16	22.75	23
2013	17	15	17	16	21	31	36	37	30	26	17	14	23.08	23
2014	18	10	14	19	23	28	36	35	31	23	21	18	23.00	23
2015	17	16	17	20	23	30	37	37	29	25	20	19	24.17	19
2016	14	16	15	16	24	32	38	38	34	23	18	22	24.17	14
