“37.印度副高北界(65E-95E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：15.54
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	10	10	12	16	21	999	999	999	999	22	21	21	11.08	
1952	15	13	16	20	21	999	999	999	999	23	17	16	11.75	
1953	15	16	19	19	20	999	999	999	999	23	25	20	13.08	12
1954	17	10	17	23	26	999	999	999	999	23	20	12	12.33	12
1955	17	17	17	18	20	999	999	999	999	25	22	12	12.33	12
1956	10	10	17	21	29	999	999	999	999	22	21	17	12.25	12
1957	10	10	12	20	21	999	999	999	999	26	19	18	11.33	13
1958	17	17	17	24	23	999	999	999	999	22	22	18	13.33	13
1959	15	17	21	22	27	999	999	999	999	32	21	20	14.58	12
1960	10	19	17	21	27	999	999	999	999	25	20	18	13.08	12
1961	10	10	21	21	14	999	999	999	999	17	12	12	9.75	12
1962	10	15	12	17	22	999	999	999	999	22	23	17	11.50	11
1963	10	10	17	14	19	999	999	999	999	25	18	17	10.83	11
1964	17	10	19	23	25	999	999	999	999	17	20	12	11.92	12
1965	10	10	14	19	22	999	999	999	999	23	22	12	11.00	12
1966	16	18	12	19	26	999	999	999	999	23	21	12	12.25	11
1967	17	17	15	20	23	999	999	999	999	24	12	12	11.67	11
1968	10	10	12	14	22	999	999	999	999	17	12	12	9.08	10
1969	10	10	16	17	14	999	999	999	999	17	12	12	9.00	9
1970	10	13	13	20	14	999	999	999	999	17	12	12	9.25	9
1971	10	10	12	14	14	999	999	999	999	17	12	12	8.42	9
1972	10	10	12	14	14	999	999	999	999	22	12	12	8.83	9
1973	10	10	12	20	24	999	999	999	999	17	12	12	9.75	9
1974	10	10	12	14	14	999	999	999	999	17	12	12	8.42	9
1975	10	10	12	22	22	999	999	999	999	17	12	12	9.75	10
1976	10	10	12	19	24	999	999	999	999	17	12	12	9.67	10
1977	10	10	23	17	14	999	999	999	999	28	12	12	10.50	10
1978	10	10	12	17	24	999	999	999	999	17	12	12	9.50	10
1979	10	10	12	14	21	999	999	999	999	17	17	14	9.58	10
1980	15	16	17	20	22	999	999	999	999	17	12	12	10.92	10
1981	10	10	12	19	25	999	999	999	999	17	12	12	9.75	10
1982	10	10	12	14	14	999	999	999	999	17	12	17	8.83	10
1983	17	13	18	17	21	999	999	999	999	17	17	12	11.00	10
1984	10	10	12	14	23	999	999	999	999	17	12	12	9.17	10
1985	10	10	18	17	17	999	999	999	999	17	12	12	9.42	10
1986	10	10	12	17	20	999	999	999	999	17	17	12	9.58	10
1987	15	10	12	17	15	999	999	999	999	19	18	17	10.25	10
1988	10	10	12	16	23	999	999	999	999	17	12	12	9.33	10
1989	14	14	12	19	17	999	999	999	999	21	19	12	10.67	10
1990	14	13	15	19	14	999	999	999	999	18	17	16	10.50	10
1991	10	10	15	16	24	999	999	999	999	17	19	13	10.33	11
1992	10	16	19	17	18	999	999	999	999	17	12	12	10.08	11
1993	10	10	14	16	21	999	999	999	999	24	22	18	11.25	10
1994	10	10	19	16	23	999	999	999	999	21	16	16	10.92	10
1995	14	11	13	16	12	999	999	999	999	22	14	13	9.58	10
1996	10	10	12	14	21	999	999	999	999	17	12	12	9.00	10
1997	10	18	14	14	16	999	999	999	999	17	16	16	10.08	10
1998	16	16	19	20	24	999	999	999	999	24	12	22	12.75	11
1999	10	10	12	24	12	999	999	999	999	23	22	12	10.42	11
2000	10	10	12	22	30	999	999	999	999	26	22	18	12.50	12
2001	10	10	10	17	23	999	999	999	999	27	22	14	11.08	11
2002	10	13	14	21	26	999	999	999	999	22	18	14	11.50	12
2003	14	13	14	18	19	999	999	999	999	23	19	16	11.33	11
2004	10	17	18	16	24	999	999	999	999	17	19	17	11.50	11
2005	10	10	14	17	19	999	999	999	999	24	22	12	10.67	11
2006	10	16	10	16	28	999	999	999	999	27	12	17	11.33	10
2007	16	10	14	14	12	999	999	999	999	17	12	12	8.92	10
2008	10	10	10	14	12	999	999	999	999	25	23	12	9.67	10
2009	10	10	10	14	25	999	999	999	999	17	12	12	9.17	9
2010	10	11	19	21	20	999	999	999	999	17	12	12	10.17	9
2011	10	10	10	14	12	999	999	999	999	17	21	12	8.83	9
2012	10	10	10	14	12	999	999	999	999	17	12	12	8.08	9
2013	10	10	10	14	12	999	999	999	999	17	12	12	8.08	9
2014	10	10	10	14	12	999	999	999	999	17	12	12	8.08	10
2015	10	16	10	14	22	999	999	999	999	21	20	22	11.25	8
2016	10	17	17	19	15	999	999	999	999	24	21	22	12.08	6
