“38.西太平洋副高北界(110E-150E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：23.19
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	14	13	15	14	21	22	30	38	27	30	22	21	22.25	
1952	15	19	17	15	20	28	30	35	33	26	23	15	23.00	
1953	14	20	15	16	18	28	33	36	29	26	23	22	23.33	23
1954	17	13	17	20	25	27	28	36	32	23	19	17	22.83	23
1955	19	13	19	20	23	29	36	26	33	26	22	15	23.42	23
1956	14	13	17	22	24	26	31	31	33	22	24	15	22.67	23
1957	14	13	17	21	16	26	32	38	31	24	23	21	23.00	23
1958	21	17	20	23	24	23	27	32	30	25	25	17	23.67	23
1959	17	19	18	19	22	25	32	32	32	25	22	21	23.67	24
1960	18	19	16	19	22	29	29	38	34	25	23	20	24.33	24
1961	18	13	18	19	25	27	35	37	35	28	23	18	24.67	24
1962	14	17	20	17	25	25	32	35	33	25	24	17	23.67	24
1963	14	13	17	17	22	32	33	31	33	24	23	21	23.33	24
1964	17	21	17	22	25	24	33	35	33	27	19	15	24.00	23
1965	14	13	15	14	25	27	31	25	29	23	26	22	22.00	23
1966	18	18	17	21	20	24	33	35	33	22	23	20	23.67	22
1967	17	13	15	14	16	22	27	36	23	25	24	17	20.75	22
1968	14	13	15	14	16	23	27	32	27	22	20	15	19.83	22
1969	14	17	19	21	23	24	32	33	32	22	25	19	23.42	22
1970	17	17	18	20	22	27	31	38	33	27	22	21	24.42	23
1971	14	13	15	14	22	27	33	34	31	29	26	22	23.33	23
1972	14	13	15	14	21	26	27	34	28	27	25	21	22.08	23
1973	17	22	19	23	23	23	31	37	30	28	22	15	24.17	23
1974	14	13	15	14	16	25	31	25	28	29	24	23	21.42	23
1975	17	13	15	17	19	27	32	37	32	27	19	15	22.50	23
1976	14	13	15	22	16	28	33	33	27	24	26	18	22.42	23
1977	20	19	22	20	22	25	30	30	28	27	25	19	23.92	23
1978	17	18	18	19	20	27	27	35	30	28	24	21	23.67	23
1979	18	17	17	20	19	27	32	33	30	27	22	20	23.50	24
1980	16	14	17	22	24	30	32	29	29	27	25	20	23.75	24
1981	17	17	20	22	21	27	34	30	29	25	24	21	23.92	24
1982	17	17	17	17	23	24	29	32	29	24	23	20	22.67	23
1983	20	19	19	23	24	27	32	28	30	28	22	18	24.17	23
1984	17	17	18	17	21	25	27	36	28	24	24	17	22.58	23
1985	17	13	17	14	17	26	31	39	33	27	19	22	22.92	23
1986	17	13	17	20	20	25	32	25	31	25	25	21	22.58	23
1987	19	17	19	21	21	25	30	31	23	27	24	20	23.08	22
1988	19	16	19	19	22	25	29	25	27	26	20	21	22.33	22
1989	20	16	15	14	21	25	28	25	31	24	20	15	21.17	22
1990	15	13	16	17	20	27	27	35	32	23	21	18	22.00	23
1991	14	17	18	20	22	27	31	29	33	30	23	20	23.67	23
1992	17	17	20	19	16	27	31	37	30	25	26	20	23.75	23
1993	17	16	15	20	22	24	29	32	29	24	24	21	22.75	24
1994	18	17	19	21	23	27	34	38	24	23	23	23	24.17	23
1995	20	17	17	22	22	25	30	35	29	28	22	20	23.92	23
1996	18	18	18	18	18	26	31	28	27	25	27	15	22.42	23
1997	14	18	17	18	18	24	29	32	26	25	22	21	22.00	23
1998	20	18	22	23	25	28	29	32	28	27	22	21	24.58	23
1999	18	18	15	19	21	28	34	36	34	26	23	20	24.33	24
2000	14	18	19	16	15	27	31	36	34	28	25	20	23.58	24
2001	19	20	17	19	19	27	33	31	31	26	21	20	23.58	23
2002	16	18	19	15	19	24	24	33	27	24	22	19	21.67	23
2003	18	15	16	19	20	24	31	34	31	23	25	20	23.00	23
2004	15	18	16	19	23	31	32	35	30	26	24	18	23.92	23
2005	15	18	19	21	20	25	31	34	34	27	22	20	23.83	24
2006	18	17	18	19	24	25	31	33	27	27	21	21	23.42	24
2007	20	14	15	19	21	25	31	36	36	27	25	20	24.08	23
2008	20	17	18	16	24	26	30	27	31	27	23	17	23.00	23
2009	18	19	15	18	17	23	32	33	31	22	23	16	22.25	23
2010	18	17	21	22	21	25	33	38	32	29	22	15	24.42	23
2011	14	13	18	15	23	28	30	36	29	28	25	21	23.33	23
2012	14	13	18	18	19	26	30	39	31	23	21	18	22.50	23
2013	16	20	18	18	21	26	30	33	33	31	21	18	23.75	23
2014	18	13	17	17	22	22	31	32	27	25	21	20	22.08	23
2015	18	13	18	19	23	27	34	31	28	26	25	22	23.67	19
2016	19	19	18	21	23	27	30	34	32	30	23	21	24.75	14
