“39.东太平洋副高北界(175W-115W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：21.13
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	17	16	13	10	10	19	33	32	28	18	23	22	20.08	
1952	17	16	13	10	21	30	41	38	23	18	17	22	22.17	
1953	17	16	13	10	10	28	39	38	23	28	17	22	21.75	22
1954	17	16	13	10	10	36	39	28	30	24	17	22	21.83	21
1955	17	16	13	10	10	22	39	40	37	18	17	22	21.75	21
1956	17	16	13	10	10	29	28	29	23	18	17	22	19.33	21
1957	17	16	13	10	13	22	28	25	25	18	17	22	18.83	21
1958	17	17	13	16	10	27	30	31	30	24	17	22	21.17	22
1959	17	16	19	10	19	31	36	40	32	29	27	22	24.83	22
1960	17	23	13	10	25	31	36	37	27	27	17	22	23.75	23
1961	17	16	13	25	21	27	38	34	32	22	17	22	23.67	23
1962	20	16	13	24	10	26	34	34	32	29	27	22	23.92	23
1963	17	16	13	10	10	27	35	33	31	18	17	22	20.75	22
1964	17	16	13	10	10	27	33	29	33	33	17	22	21.67	21
1965	17	16	13	10	10	27	13	30	23	18	17	22	18.00	20
1966	17	16	13	10	10	29	13	33	27	18	17	22	18.75	20
1967	17	16	13	10	10	25	31	31	28	30	17	22	20.83	20
1968	17	16	13	10	10	29	32	26	28	18	22	22	20.25	20
1969	17	16	13	10	10	25	34	34	28	25	17	22	20.92	21
1970	17	16	13	10	10	29	33	34	25	18	17	22	20.33	20
1971	17	16	13	10	10	30	36	40	23	18	17	22	21.00	20
1972	17	16	13	10	10	19	36	23	23	18	17	22	18.67	20
1973	17	16	13	10	10	31	32	32	29	18	17	22	20.58	20
1974	17	16	13	10	10	19	13	32	23	18	17	22	17.50	19
1975	17	16	13	10	10	27	32	35	27	18	17	22	20.33	20
1976	17	16	13	10	10	19	32	30	33	18	17	22	19.75	20
1977	17	16	13	10	10	30	34	33	28	18	17	22	20.67	20
1978	17	17	13	10	10	32	36	28	23	18	17	22	20.25	20
1979	17	16	13	10	10	20	34	23	29	26	17	22	19.75	20
1980	17	16	13	10	10	21	29	32	25	28	23	22	20.50	20
1981	17	16	13	10	10	30	33	29	28	18	28	22	21.17	21
1982	17	16	13	10	10	23	33	31	25	18	17	22	19.58	21
1983	17	16	20	15	10	28	33	27	26	27	26	22	22.25	21
1984	17	16	13	10	25	27	40	32	23	18	17	22	21.67	21
1985	17	16	13	10	10	29	32	29	23	18	17	22	19.67	21
1986	17	16	13	10	10	33	36	31	23	26	17	22	21.17	21
1987	17	16	13	10	10	26	31	32	24	21	17	22	19.92	20
1988	17	16	13	10	10	31	38	33	30	29	17	22	22.17	21
1989	17	16	13	10	10	29	35	24	23	18	17	22	19.50	21
1990	17	16	13	10	28	28	33	31	30	31	17	22	23.00	21
1991	17	16	13	10	26	19	34	32	31	18	17	22	21.25	21
1992	19	16	13	10	10	26	30	33	23	22	17	22	20.08	21
1993	17	16	13	13	14	26	35	32	22	15	19	22	20.33	20
1994	17	16	13	11	15	29	30	32	25	15	13	23	19.92	20
1995	13	14	14	10	17	28	31	34	27	19	13	21	20.08	20
1996	13	14	13	10	10	24	38	31	31	15	13	21	19.42	20
1997	13	14	13	10	10	30	34	32	26	15	13	21	19.25	20
1998	16	17	16	15	17	29	38	39	31	25	13	21	23.08	21
1999	13	14	13	10	10	30	36	29	32	15	13	21	19.67	21
2000	13	24	13	10	27	33	36	36	22	15	13	21	21.92	21
2001	22	14	13	10	10	19	35	37	30	25	13	23	20.92	21
2002	13	23	13	10	10	31	38	35	27	15	24	21	21.67	21
2003	14	14	13	10	24	25	34	36	30	26	13	21	21.67	22
2004	13	14	13	10	10	28	33	35	33	15	18	21	20.25	22
2005	13	14	13	16	18	28	38	34	33	34	21	21	23.58	22
2006	22	14	13	10	13	30	38	33	26	15	13	20	20.58	22
2007	19	14	13	18	17	31	36	37	32	31	13	20	23.42	22
2008	13	14	13	10	22	28	37	35	30	23	24	20	22.42	22
2009	13	14	13	13	15	29	33	34	34	24	13	19	21.17	22
2010	19	14	10	12	20	32	39	40	30	31	13	19	23.25	21
2011	13	14	10	10	19	32	38	36	31	15	13	19	20.83	20
2012	13	14	10	10	10	32	32	29	23	15	13	19	18.33	20
2013	13	14	10	10	10	29	13	33	31	15	13	19	17.50	19
2014	13	14	10	10	10	29	34	31	27	15	22	19	19.50	19
2015	13	14	10	10	10	31	32	26	22	24	13	24	19.08	16
2016	16	15	13	14	15	28	38	29	32	29	28	19	23.00	12
