“4.印度副高面积指数(65E-95E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：2.97
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	5	8	999	999	999	999	5	8	5	2.58	
1952	5	4	4	9	7	999	999	999	999	6	6	6	3.92	
1953	5	5	8	9	8	999	999	999	999	7	7	9	4.83	3
1954	3	0	7	10	7	999	999	999	999	2	8	2	3.25	3
1955	6	3	3	5	7	999	999	999	999	2	5	1	2.67	3
1956	0	1	5	5	3	999	999	999	999	1	6	3	2.00	3
1957	1	0	0	6	6	999	999	999	999	6	8	6	2.75	3
1958	6	6	7	12	11	999	999	999	999	5	6	6	4.92	3
1959	4	4	7	9	6	999	999	999	999	3	6	7	3.83	3
1960	0	3	2	5	6	999	999	999	999	3	5	3	2.25	3
1961	0	1	6	6	0	999	999	999	999	0	0	0	1.08	2
1962	1	2	0	2	1	999	999	999	999	2	5	2	1.25	2
1963	0	0	2	0	3	999	999	999	999	2	5	2	1.17	1
1964	5	0	6	5	5	999	999	999	999	0	2	0	1.92	2
1965	0	0	3	2	3	999	999	999	999	7	7	1	1.92	2
1966	4	5	1	4	9	999	999	999	999	6	6	0	2.92	2
1967	2	3	2	7	4	999	999	999	999	5	0	0	1.92	2
1968	0	0	0	1	5	999	999	999	999	1	1	0	0.67	1
1969	0	1	6	7	1	999	999	999	999	0	0	0	1.25	1
1970	0	2	2	2	0	999	999	999	999	0	0	0	0.50	1
1971	0	0	0	0	0	999	999	999	999	0	0	0	0.00	1
1972	0	0	0	0	0	999	999	999	999	2	0	0	0.17	0
1973	1	0	0	5	3	999	999	999	999	0	0	0	0.75	0
1974	0	0	0	0	0	999	999	999	999	0	0	0	0.00	0
1975	0	0	0	3	1	999	999	999	999	0	1	0	0.42	1
1976	0	0	0	3	3	999	999	999	999	0	0	0	0.50	0
1977	0	0	5	2	1	999	999	999	999	3	0	0	0.92	1
1978	0	0	0	2	3	999	999	999	999	0	1	0	0.50	1
1979	0	0	1	2	3	999	999	999	999	1	2	3	1.00	1
1980	3	4	5	9	8	999	999	999	999	0	0	0	2.42	1
1981	0	0	1	4	3	999	999	999	999	0	0	0	0.67	2
1982	0	0	1	3	1	999	999	999	999	6	4	5	1.67	2
1983	4	4	7	7	6	999	999	999	999	0	3	0	2.58	1
1984	0	0	1	0	5	999	999	999	999	0	0	0	0.50	1
1985	0	0	5	1	2	999	999	999	999	0	0	0	0.67	1
1986	0	0	0	2	4	999	999	999	999	2	2	1	0.92	1
1987	4	1	0	7	7	999	999	999	999	3	3	7	2.67	2
1988	1	1	3	6	9	999	999	999	999	1	2	3	2.17	2
1989	2	3	0	5	4	999	999	999	999	4	7	0	2.08	2
1990	2	3	6	8	2	999	999	999	999	6	3	3	2.75	2
1991	2	2	4	3	6	999	999	999	999	0	4	2	1.92	3
1992	1	2	10	8	7	999	999	999	999	1	1	1	2.58	3
1993	2	1	4	8	11	999	999	999	999	7	3	3	3.25	3
1994	1	1	8	8	12	999	999	999	999	6	3	7	3.83	3
1995	2	4	6	8	5	999	999	999	999	2	2	2	2.58	3
1996	0	0	0	1	6	999	999	999	999	0	0	0	0.58	3
1997	0	2	4	0	5	999	999	999	999	8	7	7	2.75	2
1998	7	7	8	9	12	999	999	999	999	2	0	4	4.08	2
1999	0	1	0	4	0	999	999	999	999	1	2	0	0.67	2
2000	0	0	1	2	2	999	999	999	999	3	2	2	1.00	2
2001	0	1	1	5	5	999	999	999	999	4	2	3	1.75	2
2002	0	6	4	5	8	999	999	999	999	3	3	4	2.75	2
2003	6	2	4	9	9	999	999	999	999	4	6	3	3.58	3
2004	0	5	8	7	4	999	999	999	999	3	5	4	3.00	3
2005	0	3	6	8	4	999	999	999	999	2	2	0	2.08	2
2006	1	3	0	3	3	999	999	999	999	3	0	9	1.83	2
2007	7	0	4	1	2	999	999	999	999	0	0	0	1.17	1
2008	0	0	0	0	1	999	999	999	999	2	2	0	0.42	1
2009	0	0	0	0	2	999	999	999	999	0	0	0	0.17	1
2010	0	4	9	10	10	999	999	999	999	0	0	0	2.75	1
2011	0	0	0	0	2	999	999	999	999	0	2	0	0.33	1
2012	0	0	0	0	0	999	999	999	999	0	0	0	0.00	1
2013	0	0	0	0	0	999	999	999	999	0	0	0	0.00	1
2014	0	0	0	0	0	999	999	999	0	0	1	1	0.17	1
2015	0	0	1	1	5	999	999	999	999	11	3	8	2.42	1
2016	3	8	7	10	8	999	999	999	999	3	7	4	4.17	1
