“40.北美副高北界(110W-60W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：23.46
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	17	15	16	21	22	30	40	39	37	28	22	23	25.83	
1952	21	19	21	19	22	36	42	40	34	28	21	20	26.92	
1953	19	23	23	22	23	35	41	39	33	24	23	27	27.67	26
1954	22	15	18	19	21	32	40	39	36	24	18	17	25.08	26
1955	17	15	16	19	20	27	41	41	35	26	23	21	25.08	26
1956	17	15	22	22	27	32	38	35	32	25	22	23	25.83	25
1957	23	15	16	22	23	28	37	37	34	23	21	17	24.67	25
1958	17	17	18	18	20	31	37	36	32	22	26	17	24.25	25
1959	17	24	22	16	23	30	39	40	31	24	18	17	25.08	24
1960	17	19	16	12	23	27	38	37	31	25	18	17	23.33	24
1961	17	15	16	20	21	29	35	38	32	21	18	17	23.25	24
1962	27	15	16	12	20	27	36	38	33	25	18	17	23.67	24
1963	17	15	21	22	27	28	39	38	31	21	18	22	24.92	23
1964	19	20	20	12	21	26	37	35	32	25	18	17	23.50	23
1965	17	15	16	12	13	30	36	34	31	23	18	17	21.83	23
1966	17	15	16	17	20	27	38	35	30	21	18	17	22.58	22
1967	17	15	16	12	18	21	37	37	27	21	18	17	21.33	22
1968	17	15	16	12	13	26	39	37	27	22	18	17	21.58	22
1969	17	15	18	17	17	27	40	36	26	21	18	17	22.42	22
1970	17	15	17	24	17	28	39	39	36	21	18	17	24.00	22
1971	17	15	16	12	13	25	37	34	32	21	18	17	21.42	22
1972	17	15	16	12	13	21	38	37	32	25	18	17	21.75	22
1973	21	15	16	12	17	29	37	37	30	21	18	17	22.50	22
1974	17	15	16	12	13	21	35	33	32	21	18	17	20.83	22
1975	17	15	16	21	17	27	36	37	35	21	18	17	23.08	22
1976	17	15	16	12	13	30	34	37	27	21	22	17	21.75	23
1977	17	22	21	12	17	28	40	38	32	25	18	21	24.25	23
1978	17	17	16	12	22	33	39	38	31	22	23	22	24.33	24
1979	17	17	16	16	16	30	38	36	35	23	18	17	23.25	24
1980	17	15	18	16	20	34	41	37	34	26	25	17	25.00	24
1981	17	15	17	22	18	32	40	36	29	24	19	17	23.83	24
1982	17	15	16	17	19	29	38	39	31	22	18	17	23.17	24
1983	17	16	16	12	19	24	40	42	32	26	19	17	23.33	23
1984	17	15	16	17	13	28	38	36	26	27	18	17	22.33	23
1985	17	15	16	12	17	29	37	37	36	27	18	24	23.75	23
1986	17	15	16	12	17	32	39	38	32	27	27	21	24.42	23
1987	19	16	16	15	15	30	36	37	29	24	20	21	23.17	23
1988	22	15	16	12	19	26	38	37	31	21	24	17	23.17	23
1989	17	15	16	12	13	28	38	34	33	22	19	21	22.33	23
1990	17	15	16	12	21	33	36	37	31	22	21	24	23.75	23
1991	22	15	18	14	20	28	38	38	33	21	24	23	24.50	23
1992	17	16	16	13	14	26	37	36	33	21	24	23	23.00	24
1993	17	15	16	16	14	27	36	37	32	25	25	23	23.58	24
1994	17	15	19	17	19	32	38	38	29	21	24	19	24.00	23
1995	18	19	16	14	22	27	37	40	32	30	21	19	24.58	23
1996	17	15	16	11	18	29	37	37	26	24	18	17	22.08	24
1997	17	15	16	11	20	25	37	36	30	20	22	20	22.42	23
1998	17	14	14	20	24	30	39	39	29	26	22	24	24.83	23
1999	17	14	14	21	20	27	39	37	28	26	18	17	23.17	23
2000	17	14	14	11	14	33	36	38	28	24	22	23	22.83	24
2001	17	14	14	11	16	28	38	39	27	28	14	17	21.92	24
2002	23	17	14	19	23	29	40	39	33	26	24	21	25.67	24
2003	17	21	20	17	25	28	39	40	30	21	20	17	24.58	24
2004	16	20	14	15	20	30	35	35	32	21	20	17	22.92	24
2005	16	14	18	18	16	26	39	37	36	26	21	20	23.92	24
2006	16	20	14	11	19	30	40	38	30	24	21	21	23.67	23
2007	19	20	14	16	18	26	38	40	35	28	14	22	24.17	23
2008	16	14	14	11	18	31	38	33	30	25	14	23	22.25	23
2009	16	14	14	16	17	25	36	37	30	28	14	21	22.33	23
2010	19	15	16	16	23	35	39	38	34	22	14	17	24.00	22
2011	16	14	14	11	18	30	40	37	31	24	14	17	22.17	22
2012	16	14	14	11	13	25	39	35	27	20	19	17	20.83	22
2013	24	14	14	11	13	29	37	37	26	25	14	17	21.75	22
2014	23	14	14	11	13	26	36	33	32	20	22	17	21.75	22
2015	16	14	23	22	19	31	35	35	28	21	24	25	24.42	18
2016	14	15	15	14	21	32	38	37	34	26	14	24	23.67	14
