“41.大西洋副高北界(55W-25W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：21.33
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	15	13	11	20	24	28	41	43	35	21	27	15	24.42	
1952	15	13	18	29	23	32	40	41	36	31	15	15	25.67	
1953	15	13	11	20	26	37	43	40	36	30	21	27	26.58	25
1954	15	13	11	10	22	28	41	38	36	15	15	15	21.58	24
1955	15	13	11	10	26	32	40	40	39	27	20	23	24.67	24
1956	15	13	11	10	28	37	38	40	30	28	15	15	23.33	24
1957	15	13	15	22	22	28	35	41	30	26	15	17	23.25	25
1958	17	17	18	17	19	33	38	38	33	27	27	17	25.08	26
1959	15	26	25	26	25	33	42	38	33	33	31	29	29.67	28
1960	22	13	26	25	31	38	42	40	38	33	30	33	30.92	29
1961	29	23	21	30	28	38	41	43	38	32	22	22	30.58	29
1962	30	23	11	25	23	37	38	40	38	30	22	23	28.33	27
1963	15	13	11	10	19	30	36	42	40	27	15	23	23.42	25
1964	15	13	15	10	22	23	37	36	35	15	15	15	20.92	23
1965	15	13	11	10	10	33	38	38	30	28	15	15	21.33	21
1966	15	15	11	10	23	32	36	38	31	15	15	15	21.33	21
1967	15	13	11	10	10	23	40	41	27	15	15	15	19.58	21
1968	15	13	11	10	18	29	37	37	32	22	15	15	21.17	21
1969	15	13	15	17	22	34	38	38	31	15	15	15	22.33	21
1970	15	13	11	20	20	34	38	39	33	15	15	15	22.33	21
1971	15	13	11	10	15	27	35	40	21	15	15	15	19.33	21
1972	15	13	11	10	20	27	37	40	27	15	15	15	20.42	20
1973	15	13	11	10	10	23	40	36	32	15	15	15	19.58	20
1974	15	13	11	10	10	23	35	35	30	15	15	15	18.92	19
1975	15	13	11	10	15	23	36	35	36	15	15	15	19.92	20
1976	15	13	11	10	10	27	32	31	23	15	15	15	18.08	20
1977	15	20	11	10	17	24	38	40	32	28	15	15	22.08	20
1978	15	15	11	10	10	31	32	34	27	15	15	15	19.17	21
1979	15	13	11	10	17	30	38	38	28	26	15	15	21.33	21
1980	15	13	11	10	22	36	39	36	34	28	23	15	23.50	21
1981	15	13	15	10	17	27	39	34	30	15	15	15	20.42	22
1982	15	13	11	10	19	29	36	41	35	24	15	15	21.92	22
1983	15	13	15	17	22	29	38	38	33	22	17	15	22.83	21
1984	15	13	11	10	16	32	36	38	23	20	15	15	20.33	21
1985	15	13	11	10	15	27	41	38	21	15	15	28	20.75	22
1986	15	13	11	10	19	32	41	36	28	22	15	17	21.58	22
1987	15	13	11	14	16	30	36	34	34	34	15	20	22.67	22
1988	15	13	11	11	21	32	41	39	34	23	15	15	22.50	22
1989	15	13	11	10	12	28	38	40	33	20	15	22	21.42	22
1990	15	13	11	10	17	33	37	40	34	26	21	15	22.67	22
1991	15	13	11	10	17	35	37	38	36	15	15	15	21.42	21
1992	15	13	11	10	10	23	38	41	29	15	15	15	19.58	21
1993	15	13	11	11	15	28	36	36	34	18	15	15	20.58	21
1994	15	13	10	12	21	29	41	41	33	14	15	11	21.25	20
1995	11	14	10	11	20	26	36	36	34	19	10	11	19.83	20
1996	11	13	10	10	17	32	42	39	31	20	10	11	20.50	21
1997	11	13	10	10	14	27	39	40	28	19	10	22	20.25	21
1998	11	12	11	16	21	31	42	42	35	27	10	11	22.42	21
1999	11	12	10	10	17	27	37	39	32	29	10	11	20.42	21
2000	11	12	10	10	15	34	36	40	31	36	10	11	21.33	22
2001	11	12	10	11	22	30	41	41	29	25	10	11	21.08	21
2002	11	12	10	10	15	33	40	40	27	22	26	22	22.33	21
2003	20	12	10	13	20	32	41	37	32	16	10	11	21.17	21
2004	11	12	10	11	18	32	40	40	33	19	10	11	20.58	22
2005	11	12	18	14	19	26	39	41	37	29	10	11	22.25	21
2006	11	12	10	10	21	31	41	37	36	26	10	11	21.33	21
2007	11	23	10	15	20	30	41	40	29	21	10	11	21.75	21
2008	11	12	10	10	15	30	40	41	33	32	10	11	21.25	22
2009	11	12	10	11	16	27	37	42	34	22	10	11	20.25	21
2010	18	15	21	17	22	35	42	37	36	15	10	11	23.25	21
2011	11	12	10	10	16	29	41	38	33	14	10	11	19.58	21
2012	11	12	10	10	19	30	40	37	29	21	22	11	21.00	22
2013	11	12	15	12	18	36	38	40	33	30	10	11	22.17	21
2014	11	12	10	13	21	28	39	37	32	25	30	11	22.42	22
2015	11	12	10	10	21	30	37	41	30	29	10	26	22.25	18
2016	11	12	11	11	22	32	39	38	37	21	10	11	21.25	13
