“42.南海副高北界(100E-120E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：19.57
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	13	10	13	13	14	20	26	23	24	19	17	13	17.08	
1952	13	10	13	13	20	20	26	23	24	19	17	13	17.58	
1953	13	10	13	16	18	26	33	37	28	26	23	13	21.33	20
1954	13	10	18	22	25	24	26	33	27	24	23	17	21.83	20
1955	17	17	18	17	23	20	26	23	31	19	17	13	20.08	20
1956	13	17	18	22	22	21	30	23	24	23	17	13	20.25	20
1957	13	10	13	20	14	20	30	23	24	23	17	13	18.33	20
1958	17	10	17	20	23	20	26	30	27	22	17	14	20.25	20
1959	16	16	17	17	22	23	32	23	24	19	17	18	20.33	20
1960	17	10	13	17	22	20	27	23	31	26	23	18	20.58	21
1961	17	10	18	18	22	28	33	35	24	26	21	13	22.08	21
1962	13	17	13	17	22	22	32	31	30	23	23	17	21.67	21
1963	13	10	13	17	21	20	33	31	33	24	22	13	20.83	21
1964	13	10	13	22	25	22	33	32	31	26	17	13	21.42	21
1965	13	10	13	13	14	20	29	25	27	23	23	22	19.33	20
1966	17	10	13	13	14	22	32	32	24	23	22	13	19.58	19
1967	13	10	13	13	14	20	26	36	24	19	17	13	18.17	19
1968	13	10	13	13	14	20	26	23	27	19	18	13	17.42	19
1969	13	17	17	18	21	20	30	23	30	19	17	17	20.17	18
1970	13	10	17	18	19	20	26	23	24	19	17	13	18.25	18
1971	13	10	13	13	14	20	26	23	24	19	17	13	17.08	19
1972	13	10	13	14	14	20	26	23	27	26	22	13	18.42	18
1973	16	19	19	17	21	20	26	36	28	19	17	13	20.92	18
1974	13	10	13	13	14	20	26	23	25	19	17	13	17.17	19
1975	13	10	13	17	20	20	26	23	33	19	17	13	18.67	19
1976	13	10	13	13	14	20	26	33	24	22	17	17	18.50	19
1977	13	10	20	19	21	22	26	23	27	24	17	17	19.92	19
1978	16	16	16	13	16	20	26	32	27	19	17	19	19.75	20
1979	17	16	17	19	16	21	27	23	26	22	17	18	19.92	20
1980	13	13	17	20	19	28	30	25	27	23	23	13	20.92	20
1981	13	16	16	19	19	20	26	30	27	22	21	19	20.67	21
1982	13	17	17	16	20	22	26	23	27	23	17	17	19.83	20
1983	16	16	17	21	20	24	30	25	26	27	21	17	21.67	20
1984	13	17	17	18	17	20	26	23	25	22	17	13	19.00	19
1985	13	10	17	13	17	20	26	23	24	25	17	13	18.17	20
1986	17	10	13	19	14	20	26	23	24	23	17	19	18.75	19
1987	15	15	15	18	20	20	27	28	24	23	21	17	20.25	19
1988	17	17	18	18	22	21	29	23	24	28	20	13	20.83	19
1989	13	10	13	13	14	24	29	23	24	26	20	13	18.50	20
1990	13	10	13	16	17	20	26	23	24	23	20	18	18.58	20
1991	13	18	16	20	22	24	29	23	24	19	19	17	20.33	19
1992	13	10	17	17	14	20	29	23	29	23	17	19	19.25	20
1993	13	10	17	17	19	17	27	30	27	21	19	18	19.58	20
1994	13	16	16	17	21	23	26	34	26	18	21	20	20.92	20
1995	18	14	17	21	19	21	24	25	26	25	20	17	20.58	20
1996	13	10	18	13	17	24	29	33	24	25	17	13	19.67	21
1997	13	10	13	13	14	17	27	33	25	24	22	19	19.17	20
1998	17	16	19	19	22	22	26	31	28	25	22	19	22.17	19
1999	13	18	13	13	18	17	24	23	24	25	22	13	18.58	19
2000	13	10	13	17	14	17	24	23	24	27	17	13	17.67	19
2001	13	10	13	19	15	17	24	28	30	26	17	16	19.00	19
2002	12	17	15	17	17	19	24	23	24	21	20	15	18.67	19
2003	15	13	13	16	17	18	30	31	27	22	21	18	20.08	19
2004	12	17	17	15	17	17	24	23	26	22	20	13	18.58	20
2005	13	15	15	18	17	19	29	23	31	25	21	18	20.33	20
2006	18	12	13	15	17	22	24	33	25	27	18	15	19.92	19
2007	17	10	13	15	15	19	29	23	24	23	17	18	18.58	19
2008	12	10	13	13	14	17	24	28	30	27	19	13	18.33	19
2009	12	10	17	13	14	17	29	30	30	20	21	12	18.75	19
2010	17	16	18	20	20	21	28	32	28	18	17	12	20.58	19
2011	12	10	13	17	18	17	24	23	28	18	17	12	17.42	19
2012	12	10	13	17	14	17	24	23	26	23	19	12	17.50	19
2013	17	19	13	17	19	17	24	23	29	18	19	17	19.33	19
2014	12	10	17	13	20	17	28	23	27	23	18	18	18.83	19
2015	12	10	19	18	17	25	24	23	27	23	21	19	19.83	16
2016	15	17	17	18	19	23	26	35	24	28	21	19	21.83	12
