“44.太平洋副高北界(110E-115W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：23.97
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	14	13	15	15	21	20	32	34	29	30	22	21	22.17	
1952	16	19	17	16	21	30	38	34	32	29	23	21	24.67	
1953	15	21	15	17	19	28	36	37	30	28	23	22	24.25	24
1954	17	13	17	20	26	31	30	32	33	25	23	17	23.67	24
1955	20	13	19	20	25	29	37	35	35	31	24	17	25.42	24
1956	14	13	17	22	24	27	30	31	33	19	25	18	22.75	24
1957	14	13	17	21	13	25	30	30	28	25	23	22	21.75	24
1958	19	17	20	21	25	27	31	32	30	26	26	19	24.42	24
1959	17	19	17	19	19	27	34	36	31	28	25	21	24.42	24
1960	19	21	16	19	23	31	34	37	32	27	24	24	25.58	25
1961	20	17	18	21	23	27	37	36	33	26	24	19	25.08	25
1962	19	17	20	19	26	27	33	35	33	29	26	20	25.33	25
1963	17	16	17	17	17	29	34	32	32	27	23	22	23.58	24
1964	17	19	17	22	25	25	32	33	34	29	15	17	23.75	24
1965	17	13	15	15	27	27	26	29	31	28	25	22	22.92	23
1966	19	17	17	19	21	27	34	35	34	24	22	21	24.17	23
1967	17	13	15	14	13	25	31	32	31	30	20	21	21.83	23
1968	14	13	15	14	13	27	33	30	29	26	22	17	21.08	23
1969	14	17	19	21	24	26	34	33	30	26	25	21	24.17	23
1970	17	18	18	21	21	29	34	36	32	27	22	21	24.67	23
1971	14	13	15	14	24	29	33	35	31	30	26	22	23.83	24
1972	14	13	15	14	22	27	33	34	29	29	26	21	23.08	24
1973	16	21	20	24	22	27	31	36	30	27	24	23	25.08	23
1974	14	13	15	14	13	26	28	33	28	31	26	23	22.00	23
1975	18	13	15	17	19	28	32	35	31	28	15	17	22.33	24
1976	14	13	15	22	27	27	32	32	31	25	27	20	23.75	24
1977	20	21	22	21	22	27	30	32	29	29	26	19	24.83	24
1978	17	20	18	20	21	30	34	31	31	29	26	22	24.92	24
1979	19	17	17	21	22	25	33	29	30	28	23	20	23.67	24
1980	16	15	17	22	25	27	31	31	30	29	26	20	24.08	24
1981	17	17	20	22	23	30	34	30	30	26	26	22	24.75	24
1982	17	17	17	17	24	26	32	31	30	25	24	23	23.58	24
1983	20	19	21	20	24	28	32	28	29	30	25	19	24.58	24
1984	17	17	20	18	23	26	40	33	29	25	24	17	24.08	24
1985	17	13	17	14	19	30	32	33	32	27	20	23	23.08	24
1986	17	13	17	20	22	31	35	31	31	27	25	22	24.25	24
1987	19	17	19	21	21	26	31	32	28	27	15	22	23.17	23
1988	20	17	19	20	23	28	35	31	30	27	23	21	24.50	23
1989	19	15	15	14	23	27	32	29	32	26	20	17	22.42	23
1990	17	13	15	16	23	26	30	32	32	26	21	19	22.50	23
1991	14	16	18	21	24	24	33	32	33	30	25	22	24.33	23
1992	19	17	18	17	16	26	31	35	27	26	29	20	23.42	23
1993	18	16	18	18	19	26	33	33	26	22	23	21	22.75	23
1994	18	17	18	17	21	29	33	35	26	21	18	23	23.00	23
1995	17	16	16	16	20	27	31	34	30	25	21	21	22.83	23
1996	18	18	18	20	21	25	35	30	27	26	27	17	23.50	24
1997	14	18	17	19	19	27	32	32	28	26	22	21	22.92	24
1998	19	18	20	19	21	29	35	38	31	26	25	22	25.25	24
1999	18	20	15	20	23	30	36	31	34	29	23	21	25.00	25
2000	14	21	21	17	21	31	35	35	34	29	26	21	25.42	25
2001	20	20	17	20	20	28	34	36	32	26	23	21	24.75	25
2002	17	20	19	14	18	29	33	34	30	26	24	21	23.75	24
2003	18	16	16	18	23	26	34	36	31	27	25	22	24.33	24
2004	16	18	16	21	21	29	33	35	31	27	24	19	24.17	24
2005	16	19	19	19	21	28	36	35	34	31	22	21	25.08	25
2006	19	18	17	18	18	29	36	33	28	27	21	22	23.83	25
2007	20	14	15	21	20	29	34	37	34	30	26	21	25.08	24
2008	19	19	18	18	24	28	35	32	31	28	24	18	24.50	24
2009	19	19	16	18	17	26	34	34	33	24	24	18	23.50	25
2010	18	16	16	17	21	30	37	39	32	31	23	17	24.75	24
2011	14	13	18	15	23	31	35	37	33	30	25	22	24.67	24
2012	14	13	15	18	19	29	32	30	30	24	21	18	21.92	24
2013	16	19	18	17	22	27	31	32	33	30	22	19	23.83	23
2014	18	13	17	19	20	23	31	32	28	26	23	20	22.50	23
2015	18	13	18	19	24	29	33	27	28	26	25	22	23.50	19
2016	19	19	16	20	18	28	34	32	33	30	26	22	24.75	14
