“45.西太平洋副高西伸脊点” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：112.13
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	155	155	118	110	120	125	120	130	125	143	125	125	129.25	
1952	140	113	125	120	115	125	142	128	130	130	150	150	130.67	
1953	118	125	155	90	105	105	95	90	90	90	95	119	106.42	121
1954	125	155	125	90	95	100	100	118	95	90	150	95	111.50	119
1955	146	155	115	105	90	120	134	130	95	140	140	150	126.67	119
1956	155	155	94	90	100	110	115	125	134	90	119	150	119.75	122
1957	155	155	145	115	149	128	115	134	135	117	129	119	133.00	122
1958	114	124	115	105	115	125	140	115	125	110	138	110	119.67	119
1959	100	109	115	105	108	105	110	135	133	105	105	105	111.25	118
1960	115	135	135	105	108	134	110	133	104	98	90	90	113.08	114
1961	105	155	109	105	99	113	114	108	118	100	104	145	114.58	114
1962	155	105	135	105	105	110	110	105	104	98	90	105	110.58	116
1963	155	150	145	105	105	135	114	105	95	98	105	135	120.58	119
1964	145	135	140	109	109	110	107	110	104	100	150	150	122.42	121
1965	155	155	155	166	140	130	113	108	99	98	108	109	128.00	127
1966	105	135	125	135	133	110	109	103	145	100	120	145	122.08	131
1967	145	155	155	166	149	130	150	109	160	140	128	145	144.33	131
1968	155	155	155	166	149	125	144	139	105	149	95	150	140.58	130
1969	155	115	100	90	105	115	115	125	115	150	140	115	120.00	134
1970	134	135	125	113	109	120	129	133	125	120	120	125	124.00	131
1971	155	155	155	166	140	120	119	138	135	129	140	139	140.92	127
1972	155	155	155	109	134	128	150	128	125	90	105	125	129.92	131
1973	130	99	105	100	105	114	129	110	105	135	140	149	118.42	132
1974	155	155	155	166	149	140	135	149	103	125	130	130	141.00	132
1975	145	155	155	115	113	130	125	135	114	132	150	115	132.00	129
1976	155	155	155	139	149	139	142	110	145	109	140	105	136.92	128
1977	145	135	98	105	105	108	119	142	115	99	135	114	118.33	120
1978	109	100	100	100	100	120	160	110	115	115	135	100	113.67	116
1979	100	100	95	95	99	104	105	130	100	95	90	104	101.42	111
1980	130	110	104	90	100	104	115	110	105	100	115	145	110.67	110
1981	145	110	100	100	105	126	120	115	95	100	105	105	110.50	107
1982	145	115	105	110	100	110	135	138	105	100	110	90	113.58	112
1983	100	90	90	90	99	100	105	110	100	100	105	105	99.50	115
1984	145	115	105	100	110	140	160	132	110	109	128	145	124.92	118
1985	145	155	105	166	105	140	123	133	118	109	105	105	125.75	115
1986	105	155	145	100	145	140	123	153	135	100	120	105	127.17	117
1987	100	100	100	90	90	105	115	105	100	95	95	95	99.17	118
1988	105	115	102	90	105	110	110	120	110	110	105	135	109.75	116
1989	135	135	155	166	120	110	115	153	130	105	108	130	130.17	114
1990	130	110	110	110	115	125	119	130	131	100	104	105	115.75	117
1991	130	105	105	105	105	115	115	145	130	145	105	90	116.25	116
1992	115	118	90	90	90	120	115	135	115	110	140	113	112.58	111
1993	130	145	115	90	90	90	115	110	115	90	105	90	107.08	106
1994	145	105	90	90	90	115	120	100	95	90	90	90	101.67	108
1995	90	90	90	90	90	90	105	110	95	90	90	90	93.33	108
1996	145	145	115	130	105	105	115	100	145	100	135	150	124.17	106
1997	155	135	125	125	130	135	115	100	100	90	90	90	115.83	111
1998	90	90	90	90	90	100	100	95	90	90	95	105	93.75	119
1999	135	90	155	130	145	130	140	135	120	100	110	135	127.08	117
2000	155	135	135	115	140	120	145	135	150	115	120	125	132.50	115
2001	125	135	125	105	110	125	120	115	95	100	125	95	114.58	116
2002	100	90	95	110	110	115	120	125	120	90	95	100	105.83	112
2003	90	115	110	90	90	115	95	95	95	90	90	105	98.33	106
2004	120	115	90	90	100	135	122	130	95	95	105	120	109.75	104
2005	110	90	90	90	90	115	115	125	90	100	100	115	102.50	105
2006	105	100	125	110	100	110	120	100	95	95	105	90	104.58	110
2007	90	110	110	95	100	115	115	125	130	100	130	115	111.25	110
2008	125	135	145	120	140	125	125	115	105	95	100	120	120.83	111
2009	135	125	115	120	130	120	115	95	95	100	100	100	112.50	115
2010	105	90	90	90	90	90	95	90	95	130	125	150	103.33	118
2011	155	155	135	115	115	120	125	130	115	120	120	125	127.50	118
2012	155	155	125	115	125	130	125	130	110	110	115	125	126.67	119
2013	115	115	110	115	115	130	120	115	115	140	115	115	118.33	119
2014	145	155	105	110	105	120	115	120	105	140	95	95	117.50	113
2015	125	105	95	105	100	110	140	135	90	90	95	90	106.67	88
2016	90	90	90	90	90	105	110	90	95	115	90	115	97.50	64
