“46.亚洲区极涡面积指数(1区,60E-150E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：177.64
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	228	236	185	150	151	154	141	147	164	196	192	199	178.58	
1952	205	226	211	173	141	162	125	140	165	193	203	214	179.83	
1953	215	218	203	148	160	160	141	145	158	195	212	210	180.42	180
1954	226	228	198	158	175	165	114	140	163	191	191	212	180.08	182
1955	198	230	205	171	154	146	162	138	173	181	195	213	180.50	183
1956	224	238	205	171	170	169	166	153	176	185	192	217	188.83	183
1957	222	233	208	164	159	144	177	170	157	188	194	211	185.58	184
1958	198	223	205	170	163	150	157	138	171	190	195	199	179.92	184
1959	198	228	191	164	154	166	168	161	166	191	206	210	183.58	183
1960	208	208	210	158	179	162	160	156	168	182	196	208	182.92	182
1961	204	235	194	159	158	164	171	161	170	194	191	213	184.50	183
1962	214	221	194	155	147	159	148	151	167	192	199	209	179.67	183
1963	208	212	197	164	162	159	154	160	178	188	199	208	182.42	183
1964	218	232	203	161	144	170	162	157	172	195	198	199	184.25	182
1965	206	235	196	177	151	153	159	162	176	187	197	199	183.17	183
1966	206	213	209	162	160	165	161	141	150	188	198	224	181.42	184
1967	206	235	206	147	139	166	165	162	180	187	176	216	182.08	185
1968	227	245	205	158	152	162	150	165	178	198	197	219	188.00	184
1969	236	240	208	159	178	167	136	173	170	202	194	208	189.25	185
1970	216	227	215	153	153	154	123	151	171	189	205	220	181.42	187
1971	210	241	202	166	173	172	161	166	157	187	178	213	185.50	186
1972	213	251	208	152	163	175	169	159	180	195	198	218	190.08	185
1973	217	226	204	158	168	147	157	159	164	194	197	206	183.08	186
1974	228	239	206	173	157	177	121	151	176	185	199	214	185.50	187
1975	210	241	210	163	164	152	158	156	167	196	199	212	185.67	185
1976	204	230	221	167	164	156	166	165	181	205	205	212	189.67	185
1977	236	225	188	146	155	148	149	166	157	183	183	212	179.00	183
1978	217	230	197	177	161	155	157	162	166	188	196	205	184.25	182
1979	201	219	209	180	152	136	141	159	171	182	184	201	177.92	180
1980	223	235	212	171	152	152	128	124	172	195	192	211	180.58	180
1981	209	236	196	157	160	138	138	155	171	192	205	199	179.67	180
1982	209	237	212	139	159	146	150	147	165	185	197	203	179.08	182
1983	201	232	202	164	167	149	159	146	179	188	189	213	182.42	184
1984	215	247	207	174	155	159	156	159	178	197	202	234	190.25	184
1985	213	243	211	167	160	169	163	155	164	198	208	215	188.83	185
1986	207	233	215	163	166	152	114	163	157	197	200	210	181.42	183
1987	203	213	213	172	153	154	154	150	166	190	202	198	180.67	180
1988	211	217	209	162	170	150	121	130	146	187	189	202	174.50	178
1989	211	231	183	166	153	144	115	143	174	187	190	202	174.92	176
1990	217	214	184	164	146	162	149	159	163	175	184	203	176.67	177
1991	216	224	198	144	142	139	158	143	167	177	187	210	175.42	180
1992	200	238	211	175	150	171	156	164	180	189	181	210	185.42	181
1993	214	222	206	177	171	173	131	163	177	188	202	206	185.83	181
1994	209	242	201	166	162	127	158	156	166	176	182	210	179.58	182
1995	197	217	193	155	166	153	157	153	169	188	189	213	179.17	179
1996	218	227	215	181	141	157	89	151	174	193	181	205	177.67	175
1997	215	230	185	137	153	143	148	153	165	171	191	209	175.00	174
1998	223	214	200	155	145	138	84	100	155	173	198	192	164.75	174
1999	205	206	215	162	144	164	104	142	170	184	201	196	174.42	173
2000	210	231	203	160	155	127	140	131	155	203	198	209	176.83	173
2001	220	222	200	155	147	148	150	127	165	186	187	204	175.92	175
2002	196	207	197	163	149	161	114	145	150	194	202	215	174.42	174
2003	197	223	204	157	132	138	138	143	160	182	194	193	171.75	174
2004	199	218	205	165	142	128	129	151	157	177	185	209	172.08	174
2005	220	236	192	160	155	157	130	149	153	170	189	209	176.67	174
2006	215	209	197	175	154	137	144	146	153	176	196	199	175.08	174
2007	185	212	200	153	163	150	142	133	147	178	189	214	172.17	176
2008	222	231	185	155	163	116	124	146	170	177	186	203	173.17	175
2009	202	220	200	159	150	171	166	161	165	186	190	219	182.42	176
2010	208	229	204	170	149	115	131	137	151	177	193	214	173.17	177
2011	223	227	202	157	168	158	119	149	169	181	198	206	179.75	179
2012	211	243	214	156	147	111	116	143	156	190	212	223	176.83	177
2013	212	218	190	168	158	151	167	161	165	177	187	213	180.58	177
2014	207	230	189	145	158	123	161	129	177	186	202	213	176.67	175
2015	201	214	198	153	159	136	128	117	164	188	194	206	171.50	140
2016	201	200	188	159	155	150	131	114	147	199	199	205	170.67	104
