“47.太平洋区极涡面积指数(2区,150E-120W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：194.05
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	224	217	207	192	209	187	153	150	189	206	213	195	195.17	
1952	203	234	206	196	188	200	145	147	182	188	204	235	194.00	
1953	250	229	205	217	211	198	152	151	178	211	223	217	203.50	196
1954	220	228	192	169	201	209	189	163	169	207	219	215	198.42	195
1955	212	205	189	192	197	197	158	143	162	186	198	202	186.75	195
1956	212	218	206	182	186	203	163	165	172	187	191	220	192.08	194
1957	172	213	237	181	209	215	164	161	170	201	200	214	194.75	194
1958	225	256	215	200	197	178	160	165	181	188	199	212	198.00	197
1959	220	211	219	178	197	207	169	159	209	205	208	221	200.25	197
1960	217	231	219	204	211	196	177	163	166	198	207	213	200.17	196
1961	238	234	232	171	202	171	142	154	162	173	201	212	191.00	195
1962	199	230	209	164	177	190	164	171	171	194	219	208	191.33	194
1963	195	253	195	185	189	184	155	137	199	203	211	221	193.92	193
1964	222	221	214	171	158	208	186	170	173	193	203	211	194.17	194
1965	224	229	207	185	186	202	172	166	157	200	201	210	194.92	194
1966	229	217	229	182	185	216	165	163	185	194	182	225	197.67	195
1967	216	220	193	172	169	184	145	177	187	209	197	200	189.08	196
1968	201	260	211	182	190	200	181	181	170	206	217	207	200.50	196
1969	199	240	208	200	193	185	156	166	194	211	201	233	198.83	196
1970	227	231	224	187	183	193	172	152	177	189	191	214	195.00	197
1971	195	240	226	199	197	199	157	180	174	189	203	192	195.92	196
1972	192	235	227	177	182	193	168	166	171	183	210	205	192.42	196
1973	215	237	227	176	202	197	172	164	179	196	193	228	198.83	197
1974	203	224	227	199	198	192	188	152	162	200	211	229	198.75	198
1975	213	235	222	181	198	188	173	166	166	205	201	220	197.33	199
1976	221	225	220	200	196	198	194	191	189	205	203	219	205.08	199
1977	216	242	209	182	205	198	172	164	157	203	203	211	196.83	198
1978	228	262	226	198	180	165	150	176	193	191	186	197	196.00	197
1979	208	219	208	181	202	175	163	163	184	202	195	207	192.25	196
1980	202	259	222	206	193	164	146	150	172	199	209	219	195.08	195
1981	239	232	231	184	195	204	142	150	180	194	214	213	198.17	196
1982	204	216	205	179	188	191	176	156	169	187	213	212	191.33	198
1983	240	259	244	176	181	215	188	152	174	196	224	217	205.50	197
1984	209	239	237	208	203	193	147	150	188	201	214	197	198.83	199
1985	234	219	200	177	187	201	170	148	170	188	191	220	192.08	201
1986	247	277	242	181	193	201	165	153	171	209	201	232	206.00	200
1987	234	252	234	203	182	188	186	152	164	195	210	217	201.42	196
1988	222	233	216	199	203	207	166	151	172	207	217	211	200.33	195
1989	202	163	227	177	177	190	150	157	164	180	188	216	182.58	193
1990	211	199	218	169	192	195	155	162	173	184	166	192	184.67	193
1991	212	254	206	195	194	187	174	167	183	184	213	209	198.17	194
1992	241	251	222	207	191	198	171	163	169	201	200	202	201.33	196
1993	220	260	233	226	220	208	174	158	163	190	184	221	204.75	200
1994	214	232	221	200	197	189	157	133	168	194	173	227	192.08	199
1995	226	249	233	198	188	212	167	166	177	197	201	254	205.67	198
1996	219	222	197	219	194	171	147	137	177	189	192	219	190.25	195
1997	243	233	214	204	181	205	167	151	179	203	201	213	199.50	194
1998	249	258	230	179	169	160	144	141	157	182	201	205	189.58	190
1999	203	229	210	164	184	187	134	160	168	185	192	207	185.25	190
2000	197	237	224	184	186	179	143	136	156	188	195	212	186.42	188
2001	222	209	221	185	187	181	140	143	168	187	212	225	190.00	188
2002	218	223	195	136	192	194	155	155	155	192	220	233	189.00	189
2003	245	227	237	184	178	179	117	156	177	207	167	219	191.08	191
2004	232	247	200	189	158	173	159	170	159	179	188	204	188.17	189
2005	218	221	222	194	210	186	152	146	160	187	198	240	194.50	191
2006	216	200	196	184	179	183	167	130	159	179	196	226	184.58	190
2007	211	234	217	212	191	184	176	156	161	193	208	210	196.08	191
2008	209	237	214	155	197	181	144	168	166	188	207	189	187.92	191
2009	207	204	193	182	191	196	150	157	183	212	194	238	192.25	192
2010	256	250	214	193	205	182	135	140	173	198	186	196	194.00	192
2011	226	192	228	196	199	183	143	150	171	189	185	208	189.17	192
2012	237	234	212	198	189	205	151	140	162	210	205	219	196.83	193
2013	213	220	204	192	193	192	127	166	171	179	181	205	186.92	193
2014	218	237	232	210	176	177	155	161	182	207	208	227	199.17	194
2015	230	245	216	181	176	193	169	144	156	205	178	222	192.92	155
2016	251	245	238	208	178	185	116	128	174	214	214	201	196.00	118
