“48.北美区极涡面积指数(3区,120W-30W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：176.76
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	198	190	198	166	158	175	150	152	176	176	191	214	178.67	
1952	185	219	231	155	163	164	141	145	153	184	179	196	176.25	
1953	187	207	198	185	173	156	137	157	169	165	173	202	175.75	178
1954	193	194	220	174	172	155	149	164	167	179	177	192	178.00	178
1955	215	212	219	173	167	147	142	145	161	185	208	216	182.50	179
1956	190	226	215	177	161	155	156	162	170	172	175	192	179.25	181
1957	207	206	222	173	159	175	153	156	159	175	190	188	180.25	182
1958	182	240	241	167	154	172	162	164	172	175	192	200	185.08	183
1959	206	227	211	176	174	169	148	155	175	191	187	191	184.17	184
1960	211	237	224	177	156	165	152	158	157	194	201	191	185.25	185
1961	201	214	215	212	162	157	150	143	164	182	188	226	184.50	183
1962	195	211	244	176	172	156	169	159	175	187	172	203	184.92	184
1963	199	207	210	197	158	162	145	147	148	162	190	207	177.67	185
1964	210	241	227	175	174	178	146	176	172	177	195	201	189.33	185
1965	201	222	230	177	179	170	157	158	171	184	193	204	187.17	184
1966	220	235	199	198	174	166	149	159	168	188	167	191	184.50	186
1967	196	219	203	188	182	157	149	142	143	181	193	200	179.42	184
1968	189	222	191	170	192	175	156	168	158	197	210	221	187.42	183
1969	207	230	229	162	167	169	161	154	158	197	167	196	183.08	183
1970	230	195	210	200	157	145	145	147	173	181	187	219	182.42	184
1971	218	216	221	172	167	166	160	145	168	175	186	210	183.67	182
1972	206	220	199	188	148	154	156	147	172	175	199	209	181.08	182
1973	200	200	196	172	169	164	147	151	165	186	209	187	178.83	182
1974	204	222	216	172	193	170	159	160	166	169	190	206	185.58	182
1975	201	226	221	200	165	167	141	161	157	189	184	184	183.00	183
1976	194	210	210	160	166	162	157	143	157	191	201	207	179.83	183
1977	218	215	218	161	168	158	157	164	177	184	185	218	185.25	182
1978	197	241	201	181	157	154	153	158	171	180	184	221	183.17	181
1979	209	232	179	170	160	153	139	156	158	191	183	189	176.58	181
1980	203	223	211	145	168	165	155	168	170	188	198	192	182.17	180
1981	187	191	225	170	154	175	152	135	164	187	182	216	178.17	179
1982	218	215	210	188	151	174	152	159	152	185	190	186	181.67	179
1983	183	209	204	165	165	165	145	140	165	169	203	212	177.08	180
1984	182	196	202	155	170	163	150	138	176	192	193	194	175.92	180
1985	212	223	208	179	169	177	154	162	172	192	206	205	188.25	178
1986	180	223	187	146	146	163	165	153	187	175	189	186	175.00	178
1987	203	216	194	140	151	162	149	164	161	175	173	215	175.25	178
1988	198	201	202	180	143	148	142	151	164	184	204	198	176.25	175
1989	190	205	192	175	149	154	139	153	151	179	196	221	175.33	174
1990	191	208	180	158	186	161	147	136	147	180	185	193	172.67	175
1991	196	194	220	156	150	163	159	138	155	172	179	187	172.42	175
1992	193	196	190	171	151	164	177	156	160	181	192	203	177.83	176
1993	190	208	192	163	154	182	173	151	167	181	192	195	179.00	177
1994	192	219	196	166	165	160	149	144	157	187	200	179	176.17	179
1995	188	210	187	191	180	145	159	158	153	188	191	215	180.42	180
1996	205	206	205	183	178	155	151	140	169	186	186	195	179.92	179
1997	201	196	204	196	176	162	151	153	158	194	205	209	183.75	177
1998	191	213	198	156	136	177	143	137	163	172	196	198	173.33	177
1999	189	202	190	165	143	154	159	150	153	181	171	183	170.00	176
2000	194	199	176	160	168	168	148	147	164	169	205	208	175.50	175
2001	188	211	216	169	156	165	155	145	149	183	164	202	175.25	175
2002	200	206	201	170	176	158	139	144	158	197	192	210	179.25	176
2003	195	220	204	168	155	165	149	136	149	175	190	192	174.83	175
2004	212	211	184	153	167	172	141	153	153	173	170	189	173.17	174
2005	178	188	228	147	154	161	140	148	156	169	179	201	170.75	173
2006	184	218	221	139	151	134	141	152	159	195	175	186	171.25	173
2007	192	232	181	180	148	155	145	153	153	174	179	203	174.58	175
2008	199	209	203	167	176	170	151	150	149	171	176	199	176.67	177
2009	198	213	190	166	166	171	159	152	139	206	172	224	179.67	178
2010	202	246	186	171	179	169	150	149	166	183	187	212	183.33	178
2011	207	223	199	186	155	165	152	153	148	183	188	179	178.17	178
2012	188	211	184	159	153	169	144	149	146	190	180	209	173.50	178
2013	194	222	227	175	131	162	143	151	148	189	187	201	177.50	176
2014	195	220	206	173	167	165	146	141	155	181	198	176	176.92	175
2015	183	207	192	181	144	158	162	151	154	171	185	196	173.67	140
2016	199	197	195	154	153	163	158	153	156	176	164	211	173.25	105
