“49.大西洋欧洲区极涡面积指数(4区,30W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：147.92
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	176	196	171	118	161	132	125	117	134	131	165	156	148.50	
1952	167	188	198	114	127	129	110	134	144	169	152	164	149.67	
1953	159	184	132	112	121	105	140	130	142	133	145	137	136.67	147
1954	190	223	184	125	101	128	129	148	145	154	144	145	151.33	149
1955	164	211	187	127	148	142	106	99	126	145	147	176	148.17	148
1956	162	222	200	143	129	117	157	157	150	148	164	163	159.33	152
1957	155	189	166	98	128	133	135	144	146	142	135	165	144.67	150
1958	161	178	210	140	134	155	152	152	142	145	109	185	155.25	152
1959	160	161	150	143	113	134	117	136	146	164	137	176	144.75	151
1960	166	206	187	118	128	124	135	165	153	185	162	164	157.75	153
1961	166	163	154	152	149	126	155	145	151	142	165	183	154.25	154
1962	155	178	197	122	140	146	156	147	152	137	145	182	154.75	156
1963	161	228	197	133	108	164	131	149	125	150	175	180	158.42	157
1964	132	204	198	140	144	130	130	158	138	150	154	153	152.58	157
1965	166	168	176	168	155	152	158	155	149	151	188	175	163.42	156
1966	183	196	164	141	120	151	139	148	145	163	140	174	155.33	157
1967	167	199	177	118	136	135	136	142	155	152	141	170	152.33	159
1968	181	205	170	143	141	135	155	152	162	163	142	196	162.08	157
1969	177	220	207	137	155	164	128	142	135	147	162	183	163.08	156
1970	184	191	167	142	128	124	135	150	152	156	162	149	153.33	155
1971	158	191	189	132	129	166	130	139	128	149	159	149	151.58	153
1972	172	182	173	138	146	136	94	115	153	155	156	140	146.67	152
1973	128	189	163	130	134	115	163	139	151	159	160	162	149.42	150
1974	168	194	136	135	166	170	157	151	145	166	166	160	159.50	152
1975	155	174	196	122	106	121	144	128	133	154	150	138	143.42	154
1976	166	180	182	118	149	144	155	135	165	184	150	188	159.67	157
1977	169	191	150	137	125	151	146	160	146	160	172	167	156.17	156
1978	174	209	172	177	146	169	156	148	154	138	138	203	165.33	161
1979	173	211	174	154	128	127	146	145	136	175	150	172	157.58	159
1980	179	173	194	139	164	160	158	158	147	171	166	161	164.17	158
1981	167	186	184	121	142	117	122	120	147	158	157	193	151.17	155
1982	158	200	173	127	134	168	123	141	135	167	151	161	153.17	153
1983	155	186	153	139	149	133	121	116	148	148	155	157	146.67	153
1984	160	167	189	101	143	143	142	136	154	157	168	143	150.25	153
1985	194	207	178	144	132	167	153	135	151	137	177	167	161.83	153
1986	175	226	148	144	133	114	145	151	133	150	146	172	153.08	153
1987	151	186	201	128	128	142	134	147	155	129	149	159	150.75	151
1988	164	179	185	127	124	114	123	147	142	150	159	153	147.25	148
1989	132	164	157	136	110	121	113	142	117	153	169	179	141.08	147
1990	154	172	137	135	118	161	142	135	150	161	160	155	148.33	146
1991	153	199	147	129	121	141	130	133	135	153	146	154	145.08	148
1992	129	184	165	155	113	123	141	145	145	179	165	159	150.25	150
1993	156	146	160	146	133	152	150	141	176	174	149	166	154.08	150
1994	157	206	155	139	161	148	126	153	137	152	150	165	154.08	151
1995	161	169	168	116	130	111	134	124	157	141	175	185	147.58	150
1996	126	193	183	119	133	125	132	122	173	151	144	174	147.92	149
1997	128	175	159	136	133	148	140	115	137	157	173	179	148.33	147
1998	161	148	163	160	104	129	142	135	151	154	165	157	147.42	148
1999	144	182	165	123	145	110	115	152	140	165	141	162	145.33	148
2000	152	171	151	135	135	137	142	135	151	139	154	181	148.58	147
2001	157	175	185	130	124	158	118	134	152	157	146	160	149.67	146
2002	145	164	156	104	134	143	113	114	129	177	166	173	143.17	146
2003	156	213	152	119	122	154	103	128	124	167	130	132	141.67	144
2004	179	167	148	132	136	146	135	141	128	167	136	145	146.67	143
2005	144	190	179	125	127	139	130	125	114	125	132	155	140.42	142
2006	118	186	184	129	144	97	113	142	130	154	158	139	141.17	142
2007	146	187	136	116	129	151	153	114	126	117	146	135	138.00	143
2008	147	149	177	141	130	146	146	141	132	140	138	126	142.75	145
2009	168	191	174	124	127	140	148	141	110	151	160	195	152.42	145
2010	178	226	177	111	108	114	101	124	143	172	168	172	149.50	147
2011	147	187	135	117	119	135	126	138	148	145	147	155	141.58	149
2012	160	183	144	146	120	151	130	144	135	164	150	183	150.83	146
2013	174	188	213	133	124	117	127	119	153	157	137	154	149.67	144
2014	166	176	142	120	122	146	105	150	113	150	137	146	139.42	145
2015	154	188	122	135	130	125	147	126	130	137	146	147	140.58	115
2016	180	164	174	138	114	132	126	119	135	152	145	146	143.75	85
