“5.西太平洋副高面积指数(110E-180)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：19.25
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	5	12	18	9	20	17	14	14	18	14	11.75	
1952	12	14	5	10	5	19	13	14	16	14	3	4	10.75	
1953	10	7	0	7	18	19	19	23	12	27	17	20	14.92	11
1954	2	0	3	7	14	20	13	13	14	10	8	1	8.75	10
1955	6	1	6	7	13	19	11	12	24	11	7	1	9.83	10
1956	0	1	4	10	9	11	7	12	8	3	10	4	6.58	11
1957	0	0	3	6	2	17	21	14	19	13	14	14	10.25	12
1958	19	11	17	18	20	20	17	26	20	11	10	16	17.08	13
1959	10	10	12	8	17	24	23	9	16	21	15	15	15.00	15
1960	12	9	3	8	14	24	30	24	28	17	17	16	16.83	15
1961	10	3	11	10	16	17	20	31	17	5	14	7	13.42	15
1962	2	7	7	5	20	19	22	30	29	18	12	9	15.00	14
1963	2	5	3	4	7	21	25	28	29	7	17	13	13.42	12
1964	7	10	7	4	4	15	18	14	23	12	0	0	9.50	13
1965	2	0	6	3	10	17	14	10	15	11	16	12	9.67	11
1966	15	10	4	10	14	26	29	26	20	18	10	6	15.67	10
1967	3	1	0	0	3	13	10	18	10	14	3	5	6.67	11
1968	0	0	1	0	1	18	18	17	11	8	12	0	7.17	13
1969	0	5	19	21	27	28	29	23	22	11	13	14	17.67	11
1970	9	10	14	19	19	27	25	23	21	14	9	7	16.42	12
1971	0	0	0	0	11	21	17	8	14	17	9	5	8.50	14
1972	0	0	0	6	7	17	5	18	13	22	26	15	10.75	12
1973	10	19	18	21	18	20	20	23	26	7	9	6	16.42	10
1974	0	0	0	0	1	3	10	10	12	19	11	9	6.25	10
1975	4	0	0	2	4	15	14	13	16	11	0	2	6.75	10
1976	0	0	0	4	4	7	11	21	10	19	13	8	8.08	10
1977	7	15	14	8	14	21	12	16	19	24	11	12	14.42	13
1978	11	19	15	16	16	19	6	20	19	19	12	19	15.92	15
1979	14	8	10	17	23	30	32	21	23	22	12	10	18.50	17
1980	4	9	11	19	25	33	26	26	21	25	21	9	19.08	17
1981	8	12	19	18	22	21	25	18	25	17	19	17	18.42	19
1982	5	4	5	8	23	24	18	18	22	11	21	20	14.92	17
1983	21	18	20	20	26	31	32	30	27	26	19	14	23.67	16
1984	3	4	18	8	21	10	1	16	18	12	13	2	10.50	14
1985	6	1	8	0	10	16	18	17	19	15	12	12	11.17	16
1986	5	0	4	11	5	15	20	0	14	27	18	15	11.17	16
1987	19	16	19	23	21	30	29	31	31	31	27	22	24.92	16
1988	19	14	19	18	22	29	30	26	26	20	22	11	21.33	18
1989	7	6	0	1	18	27	25	13	18	22	11	13	13.42	19
1990	9	8	16	13	23	20	18	25	26	24	12	15	17.42	18
1991	10	9	17	22	26	26	30	18	25	10	21	17	19.25	18
1992	18	11	22	19	19	27	31	28	14	18	11	12	19.17	21
1993	8	5	15	22	27	29	32	35	32	30	23	18	23.00	23
1994	4	10	19	20	30	31	37	42	29	32	24	27	25.42	22
1995	20	15	16	22	25	32	36	41	37	33	24	20	26.75	21
1996	3	2	4	11	23	30	27	20	10	20	8	0	13.17	22
1997	1	5	6	11	9	18	29	25	29	29	22	21	17.08	19
1998	22	20	23	27	28	35	41	44	30	31	20	17	28.17	16
1999	4	12	0	8	8	11	10	15	15	18	6	11	9.83	16
2000	0	8	10	9	10	14	5	9	4	13	14	15	9.25	17
2001	13	8	12	19	23	11	13	22	12	21	15	21	15.83	16
2002	17	21	16	12	20	26	27	19	28	22	26	24	21.50	18
2003	20	15	15	18	24	28	36	38	34	29	16	21	24.50	22
2004	13	18	15	22	23	23	28	23	29	16	24	16	20.83	23
2005	17	18	20	22	25	29	37	32	36	35	21	18	25.83	23
2006	13	15	6	15	24	32	32	30	30	30	19	25	22.58	22
2007	21	14	15	24	25	29	35	31	29	25	14	16	23.17	23
2008	7	10	3	10	17	25	29	28	33	35	24	12	19.42	22
2009	11	6	9	21	16	24	33	38	36	28	19	19	21.67	21
2010	17	15	20	23	23	33	42	46	39	17	16	0	24.25	18
2011	1	0	3	12	20	30	19	30	33	22	12	15	16.42	17
2012	0	1	2	11	7	13	9	18	25	11	14	6	9.75	16
2013	11	14	14	15	21	16	11	23	14	12	12	17	15.00	15
2014	3	0	15	20	23	18	25	25	22	13	22	14	16.67	16
2015	6	0	9	6	23	27	19	12	18	28	22	22	16.00	14
2016	21	21	19	25	24	35	28	15	28	25	21	17	23.25	11
