“50.北半球极涡面积指数(5区,0-360)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：696.38
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	826	839	761	626	679	648	569	566	663	709	761	764	700.92	
1952	760	867	846	638	619	655	521	566	644	734	738	809	699.75	
1953	811	838	738	662	665	619	570	583	647	704	753	766	696.33	701
1954	829	873	794	626	649	657	581	615	644	731	731	764	707.83	704
1955	789	858	800	663	666	632	568	525	622	697	748	807	697.92	705
1956	788	904	826	673	646	644	642	637	668	692	722	792	719.50	710
1957	756	841	833	616	655	667	629	631	632	706	719	778	705.25	711
1958	766	897	871	677	648	655	631	619	666	698	695	796	718.25	716
1959	784	827	771	661	638	676	602	611	696	751	738	798	712.75	715
1960	802	882	840	657	674	647	624	642	644	759	766	776	726.08	716
1961	809	846	795	694	671	618	618	603	647	691	745	834	714.25	715
1962	763	840	844	617	636	651	637	628	665	710	735	802	710.67	717
1963	763	900	799	679	617	669	585	593	650	703	775	816	712.42	717
1964	782	898	842	647	620	686	624	661	655	715	750	764	720.33	718
1965	797	854	809	707	671	677	646	641	653	722	779	788	728.67	717
1966	838	861	801	683	639	698	614	611	648	733	687	814	718.92	722
1967	785	873	779	625	626	642	595	623	665	729	707	786	702.92	725
1968	798	932	777	653	675	672	642	666	668	764	766	843	738.00	721
1969	819	930	852	658	693	685	581	635	657	757	724	820	734.25	721
1970	857	844	816	682	621	616	575	600	673	715	745	802	712.17	722
1971	781	888	838	669	666	703	608	630	627	700	726	764	716.67	717
1972	783	888	807	655	639	658	587	587	676	708	763	772	710.25	716
1973	760	852	790	636	673	623	639	613	659	735	759	783	710.17	715
1974	803	879	785	679	714	709	625	614	649	720	766	809	729.33	719
1975	779	876	849	666	633	628	616	611	623	744	734	754	709.42	720
1976	785	845	833	645	675	660	672	634	692	785	759	826	734.25	724
1977	839	873	765	626	653	655	624	654	637	730	743	808	717.25	719
1978	816	942	796	733	644	643	616	644	684	697	704	826	728.75	721
1979	791	881	770	685	642	591	589	623	649	750	712	769	704.33	716
1980	807	890	839	661	677	641	587	600	661	753	765	783	722.00	714
1981	802	845	836	632	651	634	554	560	662	731	758	821	707.17	710
1982	789	868	800	633	632	679	601	603	621	724	751	762	705.25	712
1983	779	886	803	644	662	662	613	554	666	701	771	799	711.67	714
1984	766	849	835	638	671	658	595	583	696	747	777	768	715.25	716
1985	852	892	798	666	648	715	640	600	657	715	782	807	731.00	716
1986	809	959	793	634	638	630	590	620	648	731	735	800	715.58	714
1987	790	867	843	643	615	647	623	613	646	689	733	789	708.17	705
1988	795	830	812	669	640	618	552	579	623	728	769	764	698.25	696
1989	735	763	760	653	589	609	517	595	607	698	744	818	674.00	691
1990	772	793	719	626	643	679	593	592	633	700	695	743	682.33	692
1991	777	871	772	624	606	629	621	581	640	686	725	759	690.92	697
1992	763	869	788	708	605	656	645	629	654	750	738	774	714.92	703
1993	780	836	792	712	678	715	628	613	683	732	727	788	723.67	709
1994	772	899	773	670	685	623	589	586	629	709	709	781	702.08	710
1995	772	845	782	660	664	621	617	601	656	714	756	867	712.92	708
1996	768	848	800	702	646	609	519	549	692	719	703	794	695.75	698
1997	786	835	762	673	644	658	606	572	639	725	770	809	706.58	693
1998	824	833	790	650	554	604	512	513	628	681	760	751	675.00	688
1999	741	819	780	614	617	615	512	603	632	714	704	747	674.83	687
2000	752	837	754	638	644	610	572	548	627	699	753	811	687.08	683
2001	787	817	823	639	613	652	563	550	633	713	709	791	690.83	684
2002	761	800	750	573	652	656	521	558	593	760	780	832	686.33	685
2003	794	883	797	627	587	636	508	562	610	731	681	736	679.33	684
2004	821	843	737	640	603	618	565	615	596	696	679	748	680.08	680
2005	760	835	821	625	645	644	552	568	583	652	697	805	682.25	679
2006	733	812	798	626	628	551	565	570	600	705	725	750	671.92	679
2007	734	865	734	662	631	640	616	556	587	663	723	762	681.08	685
2008	777	825	778	618	666	612	565	605	618	677	709	717	680.58	688
2009	776	828	755	631	634	678	623	612	597	755	716	875	706.67	691
2010	845	951	781	644	642	580	517	550	632	729	734	794	699.92	695
2011	803	830	764	657	641	641	540	590	636	699	718	748	688.92	698
2012	797	871	754	658	608	636	541	576	599	755	748	833	698.00	695
2013	794	849	834	668	605	624	563	597	636	702	692	773	694.75	690
2014	786	864	770	648	624	611	566	581	628	724	745	761	692.33	689
2015	768	853	728	649	609	611	605	536	603	701	703	771	678.08	550
2016	831	806	795	658	600	630	532	514	613	741	722	762	683.67	411
