“51.亚洲区极涡强度指数(1区,60E-150E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：58.83
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	88	102	72	40	41	35	21	32	32	74	87	90	59.50	
1952	92	80	78	52	39	27	22	29	41	80	83	98	60.08	
1953	80	84	83	34	33	25	19	30	51	72	82	90	56.92	59
1954	92	97	81	42	42	26	19	24	43	61	77	68	56.00	58
1955	76	98	80	46	35	27	28	32	45	71	87	103	60.67	58
1956	87	78	74	58	50	29	20	30	54	77	61	70	57.33	59
1957	98	81	79	54	39	23	21	25	45	77	88	102	61.00	59
1958	76	87	88	57	43	32	24	30	53	71	85	87	61.08	60
1959	84	94	71	51	42	22	23	23	41	72	73	90	57.17	61
1960	82	107	88	50	38	31	24	32	45	82	87	83	62.42	61
1961	86	100	66	55	49	35	26	31	52	74	80	90	62.00	61
1962	87	90	76	50	43	35	19	33	42	75	76	100	60.50	62
1963	81	96	86	58	51	34	25	26	54	68	85	101	63.75	62
1964	94	78	90	56	46	38	23	29	44	76	90	83	62.25	63
1965	85	93	75	52	48	37	20	34	45	78	92	94	62.75	63
1966	98	112	86	49	49	36	27	31	49	75	93	71	64.67	63
1967	98	105	75	48	40	31	20	32	54	65	68	84	60.00	63
1968	77	83	86	48	43	38	27	33	52	73	99	105	63.67	63
1969	98	107	92	63	51	40	15	28	48	75	74	82	64.42	62
1970	81	87	68	54	45	37	16	36	40	73	91	97	60.42	63
1971	94	80	76	55	47	34	22	31	41	78	76	90	60.33	62
1972	89	110	76	48	49	30	26	36	44	77	81	98	63.67	62
1973	99	98	76	49	42	32	26	25	50	79	87	94	63.08	62
1974	76	96	73	56	42	35	21	31	45	78	91	78	60.17	62
1975	83	101	79	42	40	27	25	38	47	85	87	84	61.50	61
1976	78	104	72	50	43	29	30	38	48	85	86	85	62.33	62
1977	71	96	82	45	36	27	23	35	52	79	70	97	59.42	62
1978	97	102	76	56	44	33	26	32	51	71	83	102	64.42	61
1979	98	107	75	51	41	29	17	32	41	74	82	87	61.17	60
1980	82	88	74	50	45	36	21	22	44	67	89	82	58.33	60
1981	71	94	77	54	43	23	25	22	44	60	71	86	55.83	59
1982	91	96	83	41	42	28	20	31	49	77	78	87	60.25	58
1983	75	90	60	52	44	26	25	30	42	71	83	87	57.08	58
1984	67	93	76	61	37	26	15	33	42	73	92	96	59.25	59
1985	85	87	85	50	45	26	24	30	35	80	78	81	58.83	60
1986	81	97	84	59	45	33	17	30	50	65	76	95	61.00	60
1987	92	93	83	53	45	35	22	23	46	73	91	97	62.75	60
1988	90	80	73	58	34	29	19	24	40	78	82	84	57.58	60
1989	92	99	60	48	37	33	22	34	50	74	77	85	59.25	59
1990	86	76	69	45	46	26	17	29	41	73	89	89	57.17	59
1991	76	97	75	48	38	27	18	30	38	76	80	90	57.75	60
1992	88	99	76	51	41	36	27	32	46	77	82	94	62.42	60
1993	91	100	81	55	45	27	22	27	47	82	85	91	62.75	61
1994	93	107	72	51	48	26	24	39	45	69	87	85	62.17	61
1995	77	74	73	42	40	34	25	28	47	77	83	96	58.00	61
1996	91	92	72	51	39	29	17	37	51	75	71	97	60.17	60
1997	93	102	66	38	33	33	27	33	42	61	89	103	60.00	59
1998	78	100	69	55	44	25	10	16	56	72	80	90	57.92	59
1999	82	79	88	57	34	35	18	34	48	69	83	77	58.67	59
2000	76	94	74	50	41	28	21	25	49	74	80	91	58.58	59
2001	91	103	79	59	39	27	23	22	47	72	81	80	60.25	59
2002	86	89	85	51	42	31	20	29	52	64	81	92	60.17	59
2003	87	96	83	54	36	25	21	20	43	68	76	87	58.00	58
2004	72	93	80	55	37	27	17	33	44	73	78	81	57.50	57
2005	68	88	81	50	31	26	20	29	41	71	69	65	53.25	57
2006	80	90	81	48	41	24	19	34	50	78	67	85	58.08	56
2007	68	101	71	41	46	30	22	29	40	67	75	85	56.25	57
2008	78	98	62	52	36	26	20	30	46	68	80	90	57.17	58
2009	77	99	75	55	43	28	20	30	43	66	77	89	58.50	57
2010	80	94	81	44	29	30	21	31	46	66	85	93	58.33	57
2011	67	99	78	44	33	26	22	28	38	67	84	73	54.92	57
2012	64	91	80	48	33	16	18	36	33	63	78	86	53.83	57
2013	83	100	84	46	37	27	21	25	46	75	81	80	58.75	56
2014	88	86	70	50	38	23	26	28	53	74	86	82	58.67	55
2015	80	82	76	43	38	25	22	28	42	71	68	83	54.83	45
2016	54	74	66	40	42	23	18	28	25	68	79	96	51.08	33
