“52.太平洋区涡强度指数(2区,150E-120W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：64.09
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	92	95	65	55	51	38	27	31	47	79	90	81	62.58	
1952	77	106	77	70	47	46	27	32	50	75	92	112	67.58	
1953	92	112	86	60	47	35	26	38	52	89	103	107	70.58	65
1954	71	101	77	36	54	45	31	28	45	64	89	90	60.92	65
1955	90	80	69	63	56	45	32	39	51	88	74	70	63.08	63
1956	65	84	84	58	57	43	25	36	51	83	80	77	61.92	62
1957	63	71	88	56	44	37	27	32	46	71	81	104	60.00	62
1958	95	90	71	58	57	36	32	35	55	79	91	76	64.58	62
1959	60	93	87	48	39	39	35	28	52	72	76	108	61.42	63
1960	82	91	66	62	49	43	27	36	52	83	86	85	63.50	63
1961	88	102	95	49	47	34	27	38	52	77	92	76	64.75	63
1962	67	84	74	45	45	37	27	41	60	83	99	75	61.42	65
1963	57	90	75	54	49	49	30	34	59	91	83	90	63.42	65
1964	108	111	89	66	45	38	42	44	55	82	77	81	69.83	65
1965	81	95	73	54	55	52	31	40	41	95	80	92	65.75	66
1966	91	99	81	48	56	50	33	40	60	79	69	91	66.42	67
1967	98	106	72	52	33	35	33	45	63	90	89	79	66.25	66
1968	64	99	79	59	38	43	33	35	53	98	94	80	64.58	66
1969	72	108	82	67	48	38	32	39	55	75	86	104	67.17	66
1970	70	93	87	64	42	44	38	41	52	81	70	93	64.58	65
1971	65	95	93	62	63	40	25	43	52	83	89	86	66.33	66
1972	78	78	80	58	44	48	23	39	43	75	91	75	61.00	65
1973	96	99	96	50	58	44	35	41	59	80	70	99	68.92	66
1974	57	96	81	61	52	43	35	31	39	77	101	116	65.75	67
1975	90	99	83	54	51	40	32	36	50	83	91	99	67.33	68
1976	89	95	93	71	58	39	43	44	61	83	89	93	71.50	67
1977	76	116	92	60	55	38	26	27	50	91	84	79	66.17	67
1978	80	121	76	55	42	40	26	37	55	81	77	98	65.67	66
1979	78	78	74	53	51	38	29	35	54	86	85	91	62.67	65
1980	60	107	91	73	49	34	27	33	48	84	94	66	63.83	64
1981	100	91	91	53	42	43	29	35	53	65	92	94	65.67	64
1982	70	67	77	55	51	47	31	33	50	72	87	94	61.17	65
1983	97	115	87	52	46	50	33	35	52	81	97	69	67.83	65
1984	76	110	90	63	54	43	29	36	52	67	97	83	66.67	66
1985	91	83	95	61	54	46	25	36	57	81	63	89	65.08	68
1986	102	110	94	56	51	48	29	42	47	81	77	106	70.25	68
1987	106	110	86	72	51	44	27	26	61	81	88	102	71.17	66
1988	90	106	85	63	46	43	26	40	53	77	94	93	68.00	65
1989	101	68	62	46	40	34	28	33	47	74	84	74	57.58	64
1990	93	90	77	35	45	38	26	34	58	80	73	76	60.42	64
1991	65	103	86	64	50	32	24	34	56	65	80	104	63.58	63
1992	109	90	90	47	51	45	29	44	57	85	88	83	68.17	65
1993	89	99	94	64	45	40	22	37	51	76	86	100	66.92	65
1994	63	75	90	54	54	37	30	34	53	84	88	115	64.75	64
1995	78	85	69	54	41	42	27	38	50	82	60	104	60.83	63
1996	75	102	66	64	37	36	31	34	43	74	75	73	59.17	63
1997	87	100	72	54	41	36	28	30	54	70	90	102	63.67	63
1998	91	122	86	58	49	28	21	40	51	73	82	85	65.50	64
1999	87	125	91	54	44	39	21	35	53	75	92	96	67.67	66
2000	82	129	96	46	43	37	24	29	51	80	87	90	66.17	66
2001	107	109	89	56	44	32	22	31	57	80	92	113	69.33	66
2002	92	112	71	45	38	39	28	28	50	68	83	108	63.50	64
2003	86	86	78	56	46	38	22	35	49	72	74	106	62.33	63
2004	66	108	76	55	32	25	26	27	52	78	87	85	59.75	61
2005	67	92	80	48	40	34	27	29	52	83	68	99	59.92	61
2006	86	87	67	58	40	35	29	32	44	70	59	120	60.58	61
2007	94	84	75	64	40	30	24	28	52	84	88	91	62.83	61
2008	98	109	71	43	44	38	30	35	45	84	85	64	62.17	62
2009	76	90	69	55	36	36	25	37	54	69	100	78	60.42	63
2010	98	98	98	67	30	36	23	29	47	84	67	63	61.67	63
2011	83	76	89	57	49	38	25	35	63	86	91	102	66.17	62
2012	96	112	96	45	45	40	29	35	57	60	62	91	64.00	61
2013	76	104	67	34	42	34	19	36	55	71	68	61	55.58	61
2014	84	68	81	66	33	37	25	32	50	75	71	87	59.08	60
2015	66	72	75	60	44	36	29	30	49	73	83	105	60.17	48
2016	98	104	83	56	33	35	23	26	52	78	93	80	63.42	37
