“54.大西洋欧洲区极涡强度指数(4区,30W-60E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：41.55
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	56	59	50	34	25	29	27	25	31	43	55	65	41.58	
1952	56	53	51	28	19	24	23	34	39	49	38	49	38.58	
1953	51	55	47	28	24	14	29	29	43	43	48	41	37.67	40
1954	47	56	47	27	12	27	27	30	48	58	44	49	39.33	40
1955	55	70	45	27	37	30	23	24	30	51	45	72	42.42	40
1956	52	47	41	32	33	28	25	42	38	50	49	46	40.25	40
1957	51	62	44	23	21	28	18	31	38	58	38	63	39.58	40
1958	52	62	52	26	33	25	29	31	36	44	34	62	40.50	39
1959	49	59	45	34	21	30	25	28	41	46	35	55	39.00	40
1960	38	65	34	25	21	24	25	28	31	53	49	53	37.17	41
1961	45	56	60	45	29	36	27	35	42	39	48	61	43.58	42
1962	59	55	59	30	32	37	32	43	42	51	36	59	44.58	42
1963	45	71	61	29	27	30	30	32	37	52	64	52	44.17	44
1964	45	56	40	33	34	34	34	30	43	41	58	52	41.67	44
1965	50	53	55	34	34	37	36	36	38	48	55	68	45.33	44
1966	48	71	54	31	36	28	28	33	52	51	44	52	44.00	44
1967	45	63	65	33	29	33	30	30	37	68	43	65	45.08	44
1968	64	61	67	32	29	34	26	30	37	58	37	51	43.83	43
1969	34	52	52	33	28	29	28	21	43	54	65	45	40.33	43
1970	48	71	48	37	26	24	32	28	42	51	57	42	42.17	42
1971	57	57	50	31	30	30	26	37	35	59	64	54	44.17	42
1972	35	50	48	36	29	29	21	28	33	44	60	51	38.67	42
1973	37	75	49	31	31	29	27	36	42	57	67	66	45.58	43
1974	50	54	30	30	31	33	33	35	47	45	51	62	41.75	42
1975	64	57	52	31	23	30	30	28	48	44	45	68	43.33	43
1976	67	56	49	34	30	33	28	28	38	53	48	51	42.92	43
1977	38	60	46	41	23	29	24	28	43	52	62	48	41.17	43
1978	58	62	59	30	23	34	26	27	49	55	62	60	45.42	43
1979	47	65	56	30	37	29	28	32	44	48	54	62	44.33	43
1980	41	46	46	28	23	28	28	35	40	57	55	66	41.08	44
1981	57	55	64	33	29	30	27	24	36	53	51	67	43.83	44
1982	52	58	51	37	32	38	24	37	48	51	59	63	45.83	43
1983	66	54	51	31	31	33	24	34	40	63	59	60	45.50	43
1984	62	41	39	26	25	29	25	30	39	55	47	37	37.92	44
1985	51	63	45	41	23	34	28	36	46	49	50	59	43.75	43
1986	59	54	54	33	33	24	31	32	47	62	56	64	45.75	42
1987	44	59	47	32	23	29	28	33	49	44	43	55	40.50	43
1988	55	49	53	38	23	21	26	33	43	50	59	65	42.92	44
1989	55	75	60	25	30	26	25	37	37	55	44	65	44.50	43
1990	53	75	63	39	29	29	24	29	40	54	51	50	44.67	43
1991	51	48	36	33	27	33	24	33	42	42	55	56	40.00	43
1992	47	67	50	37	29	24	35	44	30	64	61	54	45.17	44
1993	72	55	54	32	21	29	27	29	45	46	35	66	42.58	44
1994	61	60	65	31	33	43	26	35	39	55	55	61	47.00	43
1995	53	78	59	27	25	22	31	29	36	54	44	55	42.75	42
1996	28	59	27	25	30	29	32	25	35	49	52	45	36.33	42
1997	52	78	56	42	24	26	20	26	39	54	45	47	42.42	41
1998	43	67	48	35	25	24	27	31	30	56	46	58	40.83	41
1999	50	70	40	29	31	26	25	32	36	47	44	70	41.67	42
2000	54	71	55	31	31	32	24	30	36	43	42	57	42.17	41
2001	39	58	66	34	29	29	28	31	29	54	60	44	41.75	41
2002	53	78	57	25	26	31	25	24	30	53	46	41	40.75	40
2003	56	52	47	21	31	34	20	22	37	51	38	54	38.58	39
2004	51	54	34	23	27	32	23	28	37	50	51	60	39.17	38
2005	47	43	49	29	29	24	21	30	41	41	38	40	36.00	38
2006	30	49	52	31	29	25	23	24	36	46	56	53	37.83	38
2007	61	58	40	35	34	23	29	28	38	38	49	44	39.75	39
2008	45	55	67	27	20	30	22	36	30	58	49	36	39.58	39
2009	53	51	51	34	28	26	26	29	38	47	49	48	40.00	40
2010	33	60	55	26	16	24	24	26	29	50	56	46	37.08	40
2011	42	65	55	35	27	23	21	26	41	50	48	66	41.58	40
2012	38	51	47	39	26	32	29	32	44	49	50	50	40.58	40
2013	48	44	60	40	26	25	22	31	33	52	56	63	41.67	41
2014	42	61	50	34	26	24	19	33	32	46	36	59	38.50	40
2015	55	60	43	37	36	32	32	26	26	42	56	61	42.17	32
2016	51	59	44	27	21	24	22	30	36	22	39	53	35.67	23
