“55.北半球极涡强度指数(5区,0-360)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：226.86
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	329	350	239	169	152	135	115	122	161	273	311	347	225.25	
1952	311	323	277	194	132	134	107	135	178	282	274	322	222.42	
1953	309	343	292	155	143	116	105	134	203	280	306	347	227.75	224
1954	302	351	290	167	138	134	104	111	187	255	289	294	218.50	224
1955	297	332	281	182	170	132	123	141	182	268	281	336	227.08	224
1956	264	313	296	194	200	134	100	148	199	285	261	295	224.08	223
1957	327	304	275	186	145	128	95	125	173	272	284	352	222.17	225
1958	284	325	267	192	169	132	118	135	205	262	301	309	224.92	225
1959	267	373	302	187	147	136	121	122	193	277	264	334	226.92	227
1960	279	332	283	190	142	136	113	134	186	285	309	311	225.00	229
1961	309	364	309	202	169	150	110	150	208	262	292	310	236.25	231
1962	317	328	267	188	164	148	106	162	202	281	286	327	231.33	235
1963	267	345	319	188	179	153	117	132	210	288	304	328	235.83	238
1964	339	357	329	214	175	163	140	139	200	276	301	308	245.08	238
1965	305	340	286	200	183	169	126	159	187	303	294	344	241.33	240
1966	316	377	292	182	186	162	124	139	212	281	287	292	237.50	240
1967	323	399	310	198	150	145	120	153	206	297	289	302	241.00	237
1968	283	335	309	192	151	162	125	144	184	290	312	320	233.92	235
1969	269	337	309	219	176	155	116	124	203	281	289	297	231.25	235
1970	293	344	269	213	163	151	122	144	193	262	292	326	231.00	234
1971	314	331	299	191	190	138	112	157	186	291	302	336	237.25	235
1972	318	357	289	204	168	152	107	149	183	279	312	333	237.58	236
1973	322	366	297	171	168	143	123	138	207	281	296	333	237.08	238
1974	291	348	290	209	175	153	123	138	197	270	317	346	238.08	240
1975	341	363	302	171	150	131	127	144	201	284	303	341	238.17	238
1976	323	374	319	200	173	145	136	156	194	303	310	326	246.58	239
1977	263	366	294	197	151	131	111	134	203	294	293	321	229.83	238
1978	318	363	308	190	154	157	114	144	210	292	317	344	242.58	235
1979	295	367	275	172	164	143	107	146	194	280	294	332	230.75	230
1980	259	335	291	199	153	140	116	129	196	272	315	307	226.00	232
1981	298	326	304	194	158	139	117	119	176	240	283	322	223.00	230
1982	310	332	309	200	159	149	114	145	204	268	312	335	236.42	229
1983	323	345	272	175	165	150	118	144	185	286	303	317	231.92	231
1984	302	329	280	190	160	135	104	144	195	267	315	325	228.83	236
1985	311	333	316	214	166	146	120	143	190	291	271	317	234.83	235
1986	328	355	335	190	167	159	117	147	197	294	304	356	245.75	235
1987	329	353	283	208	167	144	113	126	206	268	295	329	235.08	236
1988	330	334	283	198	142	133	103	141	187	272	315	341	231.58	235
1989	354	353	289	170	151	127	110	143	193	275	299	328	232.67	231
1990	330	364	292	177	165	136	104	130	195	287	291	316	232.25	233
1991	300	347	279	189	153	127	100	140	187	251	288	347	225.67	234
1992	334	362	293	192	176	144	135	165	190	288	312	330	243.42	236
1993	354	349	313	200	140	136	97	131	207	276	307	341	237.58	234
1994	308	353	317	190	173	153	118	148	184	268	318	338	239.00	231
1995	280	348	272	157	143	132	122	140	187	284	259	338	221.83	229
1996	289	343	244	179	150	133	113	139	173	267	262	291	215.25	225
1997	321	386	288	183	140	128	108	134	184	251	299	341	230.25	222
1998	285	367	275	183	148	99	86	124	181	260	276	330	217.83	224
1999	308	354	278	179	147	142	103	142	185	270	292	326	227.17	227
2000	298	393	291	175	162	140	96	120	196	267	273	320	227.58	227
2001	321	371	305	200	145	123	104	124	176	282	305	308	230.33	228
2002	334	383	304	180	153	141	108	117	183	255	291	324	231.08	226
2003	311	353	301	181	151	138	94	112	175	251	271	319	221.42	222
2004	280	340	275	180	143	122	104	126	188	262	290	323	219.42	218
2005	265	301	287	162	127	123	102	128	187	253	248	283	205.50	216
2006	279	318	255	179	139	122	107	127	174	254	258	346	213.17	216
2007	309	343	271	186	166	113	103	122	185	255	291	317	221.75	216
2008	310	367	286	164	133	125	104	135	176	275	278	291	220.33	216
2009	298	325	270	189	164	124	95	134	185	254	299	285	218.50	219
2010	277	322	296	168	108	128	101	115	171	266	268	257	206.42	218
2011	271	360	304	220	143	115	100	122	198	271	309	339	229.33	218
2012	288	344	303	171	136	113	104	138	181	235	264	303	215.00	218
2013	298	343	271	176	143	125	98	135	182	264	291	310	219.67	222
2014	305	325	299	208	132	116	99	125	195	253	279	301	219.75	217
2015	295	326	290	197	165	133	111	119	169	260	285	335	223.75	174
2016	277	327	273	164	130	116	93	116	165	235	271	328	207.92	130
