“56.北半球极涡中心位置(JW)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：194.32
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	285	270	140	10	70	90	282	90	270	285	100	95	165.58	
1952	135	142	270	160	95	172	95	250	260	110	135	121	162.08	
1953	275	275	75	85	65	250	215	220	60	285	285	288	198.17	193
1954	278	260	135	285	210	285	340	320	330	300	285	255	273.58	207
1955	60	258	265	255	275	60	290	100	160	100	80	105	167.33	211
1956	275	250	275	145	280	340	182	150	75	260	280	290	233.50	211
1957	288	255	72	300	100	45	150	165	140	290	280	80	180.42	207
1958	280	270	85	285	240	120	172	85	300	170	290	103	200.00	223
1959	140	295	90	280	280	320	200	320	290	280	275	255	252.08	223
1960	255	90	280	300	300	300	260	290	280	80	260	290	248.75	222
1961	265	290	290	60	115	310	250	285	262	230	180	270	233.92	218
1962	285	290	45	105	150	155	175	170	300	100	270	70	176.25	212
1963	275	80	275	100	295	285	75	240	120	250	60	80	177.92	203
1964	90	270	275	265	120	280	300	160	265	285	87	260	221.42	193
1965	285	255	25	270	70	290	280	285	275	170	140	130	206.25	197
1966	115	130	300	280	95	210	295	50	40	105	275	280	181.25	191
1967	100	110	265	120	90	290	240	220	285	315	275	50	196.67	192
1968	295	290	70	70	110	70	276	60	210	130	90	125	149.67	195
1969	145	140	285	115	275	285	220	210	300	330	270	140	226.25	190
1970	275	280	150	140	285	240	225	195	200	240	140	270	220.00	201
1971	80	285	115	75	290	90	0	255	270	100	60	295	159.58	200
1972	275	275	290	85	275	290	75	290	270	287	285	290	248.92	201
1973	140	300	290	115	85	100	185	60	170	80	125	80	144.17	192
1974	272	255	280	270	270	260	180	90	280	112	250	270	232.42	205
1975	275	100	290	270	70	40	270	270	270	100	130	35	176.67	200
1976	280	290	290	295	270	280	135	150	60	260	115	278	225.25	215
1977	180	280	80	120	64	300	277	270	270	270	280	270	221.75	209
1978	80	110	285	280	275	285	280	250	50	270	295	156	218.00	210
1979	110	270	270	90	60	250	280	275	310	125	130	270	203.33	195
1980	270	120	265	280	90	100	270	240	270	130	115	30	181.67	192
1981	50	290	75	80	100	15	195	260	270	300	45	130	150.83	199
1982	80	285	280	270	130	30	50	270	300	224	270	280	205.75	204
1983	305	290	285	280	270	160	305	305	195	280	60	280	251.25	222
1984	290	310	270	90	155	160	245	300	285	275	90	275	228.75	234
1985	295	245	280	270	297	330	255	240	200	310	275	280	273.08	231
1986	275	80	280	85	285	130	240	200	90	285	283	280	209.42	210
1987	280	260	110	290	280	90	30	265	190	90	270	140	191.25	204
1988	80	277	100	90	280	320	90	252	120	70	60	60	149.92	191
1989	150	290	285	120	285	120	170	75	298	270	260	60	198.58	188
1990	275	270	320	130	80	170	275	25	268	285	108	270	206.33	185
1991	280	290	250	102	90	260	0	295	300	105	60	280	192.67	190
1992	280	290	110	295	150	125	30	145	215	100	290	100	177.50	187
1993	280	85	120	80	90	280	120	265	280	105	275	125	175.42	179
1994	280	270	290	280	65	290	30	115	230	75	110	175	184.17	179
1995	110	290	280	15	270	40	270	170	285	70	80	85	163.75	181
1996	280	140	280	100	100	250	160	250	305	215	145	110	194.58	179
1997	70	287	290	45	270	85	300	260	295	110	120	105	186.42	187
1998	270	100	150	160	40	100	170	180	110	270	180	285	167.92	192
1999	280	290	155	80	290	325	60	290	155	305	135	280	220.42	190
2000	280	300	30	65	275	60	25	315	265	270	240	165	190.83	195
2001	290	275	305	110	60	170	290	250	135	70	55	185	182.92	186
2002	285	285	280	260	110	60	265	250	110	220	275	160	213.33	193
2003	75	285	75	115	100	30	135	210	35	130	205	65	121.67	188
2004	285	265	265	280	260	280	270	270	265	260	65	280	253.75	193
2005	285	275	90	285	15	295	75	10	45	105	245	290	167.92	193
2006	285	150	130	300	130	290	290	105	110	110	280	290	205.83	209
2007	285	105	280	20	290	275	105	35	280	325	280	285	213.75	196
2008	200	280	270	110	80	165	270	70	285	150	310	280	205.83	194
2009	115	145	265	75	270	80	250	160	295	285	185	85	184.17	200
2010	275	140	160	180	270	75	205	85	135	255	80	80	161.67	195
2011	265	280	60	280	290	120	280	180	265	275	230	285	234.17	198
2012	285	290	285	35	90	150	130	210	205	160	260	145	187.08	193
2013	270	270	145	270	160	225	265	275	285	100	110	280	221.25	207
2014	280	280	285	83	140	60	10	85	245	100	90	290	162.33	197
2015	285	285	295	300	295	25	60	200	220	270	265	290	232.50	159
2016	145	265	277	60	105	180	150	105	237	280	280	80	180.33	115
