“57.北半球极涡中心强度(JQ)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：15.84
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	-6	14	19	30	37	43	38	38	11	0	-3	18.42	
1952	-3	6	10	14	30	43	42	38	29	17	5	6	19.75	
1953	-2	2	-6	17	29	34	38	35	18	14	6	-10	14.58	17
1954	-2	-10	0	8	29	38	46	48	25	14	7	-6	16.42	17
1955	2	-2	10	14	26	39	38	36	30	10	6	2	17.58	16
1956	0	-4	-3	20	18	36	46	40	29	13	4	-2	16.42	17
1957	-12	8	10	10	28	42	46	42	20	10	3	-1	17.17	17
1958	3	6	8	10	27	38	47	34	22	13	3	4	17.92	17
1959	2	-12	-4	15	28	38	46	40	28	12	14	-3	17.00	17
1960	4	-7	2	12	28	42	46	47	28	10	6	-4	17.83	17
1961	0	-8	-4	14	23	34	44	36	20	14	4	-1	14.67	16
1962	-8	-4	6	8	26	38	40	37	20	13	6	0	15.17	15
1963	-3	-16	-5	11	24	38	40	35	23	5	5	-3	12.83	15
1964	-11	-4	-9	3	16	33	32	47	33	14	4	1	13.25	14
1965	3	6	1	12	22	37	41	36	30	10	3	0	16.75	14
1966	-1	-3	3	13	9	29	44	42	24	12	2	-1	14.42	15
1967	-9	-11	-2	6	24	34	36	37	21	8	-1	7	12.50	15
1968	4	2	-2	11	23	32	42	41	30	13	0	-2	16.17	15
1969	3	3	2	8	25	38	31	41	26	18	4	4	16.92	16
1970	3	-4	13	11	23	30	44	40	28	11	5	1	17.08	16
1971	-10	0	12	14	24	36	47	31	28	10	-1	-8	15.25	15
1972	-10	-8	0	6	25	30	41	36	28	10	6	-3	13.42	15
1973	-5	-6	-3	19	20	33	39	37	25	12	9	-3	14.75	15
1974	-5	6	1	3	26	32	43	45	24	15	3	-6	15.58	15
1975	-9	5	-1	17	28	37	38	36	20	7	5	-9	14.50	16
1976	2	-10	-3	13	24	37	39	30	28	15	3	4	15.17	16
1977	8	0	2	6	28	39	48	47	25	15	10	-1	18.92	16
1978	-2	-3	-3	13	23	29	42	36	30	6	0	-3	14.00	17
1979	-1	-12	3	17	25	34	43	39	33	21	6	-4	17.00	17
1980	5	5	8	10	30	30	43	33	26	16	8	3	18.08	17
1981	-7	-2	5	12	23	35	43	33	35	27	12	-3	17.75	16
1982	0	-5	-1	11	26	37	40	41	24	18	4	-4	15.92	16
1983	-8	-4	-1	12	25	30	42	35	23	15	-2	-5	13.50	16
1984	-12	-6	3	8	21	38	41	34	30	19	5	-8	14.42	15
1985	6	-4	-3	8	31	41	44	36	18	11	12	7	17.25	15
1986	-3	-4	-14	5	29	31	37	35	23	7	6	-6	12.17	15
1987	-12	-3	5	8	21	38	45	41	20	12	7	0	15.17	14
1988	-4	-3	3	7	28	35	44	38	17	9	0	-9	13.75	14
1989	-10	-10	-6	16	21	28	33	40	25	14	3	3	13.08	14
1990	-3	-9	-2	9	12	40	41	48	26	10	4	-5	14.25	14
1991	-6	-4	3	0	26	39	45	36	33	4	2	-5	14.42	14
1992	-5	-12	5	14	16	33	37	34	28	4	7	-8	12.75	14
1993	-11	-4	-5	10	26	38	31	40	28	11	-6	1	13.25	14
1994	-1	-1	-4	19	25	34	40	26	17	6	3	-1	13.58	15
1995	1	-4	3	23	29	36	41	37	30	13	2	-5	17.17	15
1996	-6	-1	1	22	21	31	32	32	32	19	14	2	16.58	16
1997	-8	-8	5	11	30	37	43	28	27	19	-1	-4	14.92	17
1998	1	-7	4	16	24	43	48	40	28	16	15	1	19.08	17
1999	0	3	8	16	19	34	45	40	30	16	4	1	18.00	17
2000	-7	-2	6	14	24	35	44	37	23	15	8	7	17.00	18
2001	-7	-3	6	5	27	38	44	41	27	17	2	5	16.83	17
2002	-8	-7	5	9	23	35	39	43	26	25	9	5	17.00	16
2003	-5	-7	-8	13	26	39	39	33	24	19	10	-5	14.83	17
2004	3	1	-9	16	31	40	39	39	23	17	3	-7	16.33	16
2005	-4	3	3	13	32	37	42	40	23	11	8	4	17.67	16
2006	-5	2	11	11	26	31	43	27	19	15	4	-2	15.17	17
2007	-2	-1	-3	9	23	44	49	41	30	14	3	0	17.25	17
2008	-5	-4	-1	18	29	34	48	43	27	8	9	-2	17.00	18
2009	1	3	4	2	25	41	49	35	24	21	6	10	18.42	18
2010	-4	9	7	17	32	39	36	41	35	23	4	8	20.58	18
2011	4	-11	-3	-4	30	46	48	46	20	11	7	-5	15.75	18
2012	-1	-2	1	16	28	37	41	40	31	16	8	7	18.50	18
2013	-1	-1	9	17	22	24	43	33	31	9	0	-1	15.42	17
2014	2	4	3	5	23	38	45	36	26	24	4	2	17.67	17
2015	-10	-5	3	12	23	38	48	43	25	15	5	-2	16.25	13
2016	7	-1	6	21	28	31	38	26	23	20	13	2	17.83	10
