“6.东太平洋副高面积指数(175W-115W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：7.91
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	0	0	0	13	16	3	0	4	0	3.00	
1952	0	0	0	0	7	7	22	10	1	0	0	0	3.92	
1953	0	0	0	0	0	4	22	14	0	2	0	0	3.50	4
1954	0	0	0	0	0	19	6	12	5	13	0	0	4.58	4
1955	0	0	0	0	1	4	13	12	2	0	0	0	2.67	4
1956	0	0	0	0	0	3	20	9	1	14	0	0	3.92	5
1957	0	0	0	0	4	9	13	13	13	0	2	0	4.50	5
1958	9	13	0	4	0	16	16	16	9	3	0	0	7.17	7
1959	0	0	3	0	9	14	19	24	11	13	6	0	8.25	8
1960	0	10	0	0	11	30	26	29	20	12	0	0	11.50	8
1961	0	0	0	10	8	9	17	19	14	5	0	0	6.83	8
1962	6	0	0	8	0	9	20	22	13	15	10	0	8.58	7
1963	0	0	0	0	0	9	17	12	14	0	0	0	4.33	5
1964	1	0	0	0	0	2	9	9	6	2	0	0	2.42	4
1965	0	0	0	0	0	4	3	3	0	1	0	0	0.92	3
1966	0	0	0	0	0	11	2	20	3	0	0	0	3.00	3
1967	0	0	0	0	0	3	14	14	8	3	2	0	3.67	4
1968	0	0	0	0	0	13	21	9	6	0	6	0	4.58	5
1969	0	0	0	0	1	23	31	11	16	2	0	0	7.00	4
1970	0	0	0	1	0	23	23	23	2	0	0	0	6.00	4
1971	0	0	0	0	0	4	4	1	0	0	0	0	0.75	3
1972	0	0	0	0	0	0	3	1	0	0	0	0	0.33	2
1973	0	0	0	0	0	7	12	3	17	0	0	0	3.25	1
1974	0	0	0	0	0	0	1	2	0	1	0	0	0.33	1
1975	0	0	0	0	0	4	3	3	3	1	0	0	1.17	1
1976	0	0	0	0	0	0	3	5	2	0	0	0	0.83	1
1977	0	1	0	0	0	4	4	8	3	1	0	0	1.75	2
1978	0	3	1	0	0	2	4	13	0	1	0	0	2.00	3
1979	0	0	0	0	1	12	34	10	7	5	0	1	5.83	4
1980	0	0	0	0	0	14	20	13	4	6	5	0	5.17	4
1981	3	0	1	0	0	14	20	16	7	0	2	0	5.25	5
1982	0	0	0	0	0	6	13	11	3	0	0	0	2.75	5
1983	5	4	9	2	1	11	32	18	6	3	6	0	8.08	4
1984	0	0	1	0	3	5	2	4	0	0	0	0	1.25	4
1985	0	0	0	0	0	7	14	9	0	0	0	0	2.50	4
1986	0	0	0	0	0	11	17	11	0	6	0	1	3.83	4
1987	0	0	0	1	0	11	18	24	3	4	0	0	5.08	4
1988	0	0	0	0	0	13	29	23	12	4	1	0	6.83	5
1989	0	0	0	0	0	5	23	4	0	0	0	0	2.67	5
1990	0	0	0	0	3	12	15	25	9	5	0	0	5.75	6
1991	0	0	0	0	3	8	26	25	4	0	1	0	5.58	7
1992	4	0	5	2	1	26	23	35	7	8	0	0	9.25	9
1993	0	0	0	10	11	27	37	35	17	11	3	1	12.67	11
1994	0	0	2	4	13	31	31	34	22	13	9	10	14.08	11
1995	5	4	4	6	15	28	33	38	29	18	2	4	15.50	11
1996	0	0	0	0	0	12	26	17	2	0	0	0	4.75	11
1997	0	0	0	0	0	9	25	25	8	0	1	0	5.67	9
1998	7	14	7	13	14	25	31	33	4	7	1	0	13.00	6
1999	0	0	0	0	0	5	23	16	4	1	0	0	4.08	6
2000	0	2	0	0	3	7	13	13	0	0	0	0	3.17	7
2001	2	0	0	0	0	3	16	34	14	1	0	1	5.92	6
2002	0	3	0	0	0	15	30	29	5	0	5	5	7.67	7
2003	4	1	1	1	2	13	28	32	19	9	0	1	9.25	9
2004	1	1	0	0	1	23	24	33	20	0	2	0	8.75	10
2005	1	0	2	5	7	23	36	27	26	17	3	4	12.58	11
2006	2	0	0	0	11	25	38	27	20	1	0	19	11.92	11
2007	1	0	0	3	15	28	35	29	26	13	1	0	12.58	12
2008	0	0	0	0	2	17	27	24	17	10	3	0	8.33	12
2009	0	0	0	7	9	23	33	32	35	15	0	2	13.00	12
2010	9	4	3	9	17	32	39	40	22	10	0	0	15.42	9
2011	0	0	0	0	3	15	31	29	24	0	0	0	8.50	8
2012	0	0	0	0	0	7	4	8	3	0	0	0	1.83	6
2013	0	0	0	0	0	4	2	4	7	0	0	0	1.42	4
2014	0	0	0	0	0	2	5	8	12	1	2	0	2.50	5
2015	1	0	0	0	1	4	17	13	1	12	0	3	4.33	4
2016	11	4	10	6	12	27	25	20	25	11	5	0	13.00	4
