“60.大西洋欧洲环流型E” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：9.09
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	15	28	14	10	0	15	8	27	8	11	21	4	13.42	
1952	9	23	11	16	4	8	2	11	12	13	27	13	12.42	
1953	14	14	0	22	14	22	10	14	0	18	7	12	12.25	13
1954	15	15	14	12	19	15	17	18	2	0	12	20	13.25	12
1955	4	14	13	19	6	6	18	24	18	3	6	16	12.25	11
1956	13	23	17	15	12	25	0	5	4	2	0	2	9.83	11
1957	10	15	14	15	11	5	12	10	0	2	19	5	9.83	11
1958	3	2	11	10	11	8	19	8	15	10	23	10	10.83	11
1959	10	5	10	8	12	11	23	16	1	7	27	15	12.08	11
1960	4	3	22	15	18	9	24	19	11	18	17	14	14.50	11
1961	13	6	4	0	3	15	5	7	9	30	14	2	9.00	11
1962	0	11	0	11	3	6	0	5	12	17	17	2	7.00	9
1963	0	4	0	12	26	0	10	19	21	14	11	5	10.17	8
1964	6	3	11	4	2	9	9	5	5	15	1	2	6.00	7
1965	7	0	4	16	3	9	6	13	8	9	2	0	6.42	7
1966	5	0	1	7	18	18	3	1	2	10	14	10	7.42	7
1967	1	9	9	0	21	4	6	15	9	5	7	0	7.17	8
1968	0	4	7	12	8	11	3	8	13	2	7	11	7.17	8
1969	15	15	9	9	13	18	14	15	6	13	7	0	11.17	8
1970	12	2	8	14	9	6	14	6	10	10	9	0	8.33	9
1971	5	2	0	3	10	7	11	9	2	0	8	2	4.92	9
1972	9	14	5	10	8	21	21	23	12	8	5	6	11.83	9
1973	3	10	5	13	11	6	13	3	9	2	5	3	6.92	9
1974	17	15	15	2	9	11	27	11	20	20	13	0	13.33	11
1975	8	4	4	14	20	11	9	3	9	15	5	4	8.83	10
1976	0	18	21	8	16	0	10	6	16	23	10	14	11.83	10
1977	14	6	11	12	12	10	13	12	5	7	10	7	9.92	10
1978	14	13	13	11	14	10	8	14	0	0	3	0	8.33	10
1979	5	7	16	12	20	10	7	14	2	6	18	16	11.08	10
1980	4	8	9	8	11	15	10	4	9	16	0	13	8.92	9
1981	7	10	2	0	26	13	25	5	5	20	8	9	10.83	9
1982	6	4	10	2	9	0	8	6	7	11	12	3	6.50	9
1983	0	7	6	18	14	0	4	3	17	3	0	0	6.00	9
1984	18	16	5	13	29	7	4	7	12	12	15	20	13.17	9
1985	0	0	19	6	14	5	9	9	3	6	20	0	7.58	9
1986	9	5	21	16	5	12	10	9	6	13	7	6	9.92	10
1987	5	9	11	4	14	14	6	13	6	19	6	1	9.00	9
1988	13	16	6	3	11	3	22	12	9	9	0	0	8.67	8
1989	0	7	12	19	4	14	6	9	9	2	11	2	7.92	8
1990	0	0	3	9	0	2	10	6	7	4	1	14	4.67	8
1991	2	8	3	10	8	19	7	6	6	9	16	5	8.25	8
1992	3	2	10	11	2	15	0	11	14	12	9	10	8.25	8
1993	12	3	3	6	11	0	18	13	2	5	18	12	8.58	8
1994	8	3	14	13	5	3	11	11	18	6	0	3	7.92	8
1995	6	2	7	12	19	21	6	5	13	2	0	3	8.00	8
1996	6	6	18	5	5	0	7	18	3	12	19	7	8.83	8
1997	0	0	0	6	9	14	4	0	3	3	19	4	5.17	9
1998	6	2	17	15	14	15	22	7	11	8	6	2	10.42	9
1999	3	8	17	17	4	22	7	4	18	10	4	14	10.67	9
2000	2	0	4	16	11	8	12	0	20	21	25	9	10.67	10
2001	16	8	3	12	9	6	17	8	19	0	4	8	9.17	9
2002	0	0	0	14	28	0	27	2	6	8	6	8	8.25	10
2003	3	5	0	12	24	0	21	4	10	5	17	3	8.67	10
2004	13	5	4	5	22	10	29	11	17	13	2	8	11.58	10
2005	9	20	0	8	28	3	11	20	8	11	11	14	11.92	10
2006	20	8	6	7	20	7	7	16	4	4	10	5	9.50	10
2007	0	2	5	0	11	6	16	21	9	18	0	9	8.08	10
2008	20	7	0	8	6	0	13	7	21	9	2	19	9.33	10
2009	15	11	0	4	13	4	17	17	10	7	17	18	11.08	11
2010	16	14	3	9	20	16	31	15	17	12	7	11	14.25	12
2011	6	8	2	7	22	14	26	18	18	6	3	12	11.83	13
2012	14	4	0	21	13	11	21	9	6	16	16	16	12.25	14
2013	15	14	9	16	27	18	3	17	3	12	15	14	13.58	13
2014	18	20	9	13	21	8	19	21	15	9	24	18	16.25	13
2015	12	15	14	5	20	6	4	16	22	1	10	2	10.58	11
2016	6	17	14	16	10	17	17	24	16	15	15	2	14.08	8
