“61.欧亚纬向环流指数(IZ,0-150E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：117.66
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	107	98	129	114	117	101	92	74	83	103	172	170	113.33	
1952	146	71	114	133	118	99	81	110	113	164	124	138	117.58	
1953	107	86	137	79	96	51	84	97	132	133	117	107	102.17	112
1954	92	104	124	102	70	82	65	96	138	146	134	84	103.08	109
1955	134	101	129	107	125	90	66	88	116	164	174	177	122.58	110
1956	111	21	88	132	116	68	63	115	139	171	100	80	100.33	114
1957	145	90	120	127	93	91	45	74	119	190	163	180	119.75	115
1958	120	136	123	118	140	89	85	85	124	154	158	166	124.83	113
1959	130	119	118	138	112	69	62	70	124	138	91	121	107.67	117
1960	102	167	96	106	79	75	66	95	108	170	159	98	110.08	118
1961	114	124	144	165	123	101	77	108	126	124	149	130	123.75	117
1962	149	111	126	118	104	117	71	119	121	149	118	155	121.50	119
1963	88	120	143	120	112	97	81	82	125	151	156	160	119.58	121
1964	142	67	117	149	126	100	67	96	130	129	175	144	120.17	121
1965	124	88	119	103	130	105	84	104	116	164	161	149	120.58	119
1966	125	185	134	111	119	80	83	108	159	165	145	50	122.00	119
1967	144	113	135	118	114	77	66	83	109	154	106	131	112.50	116
1968	88	79	159	136	125	104	84	79	111	167	170	125	118.92	115
1969	81	82	132	153	119	96	65	59	123	150	148	68	106.33	114
1970	107	112	66	155	113	82	71	102	102	154	168	121	112.75	114
1971	165	67	106	137	110	88	69	96	113	177	168	130	118.83	114
1972	101	104	120	124	119	73	48	83	107	135	178	144	111.33	113
1973	144	109	104	120	96	86	60	89	140	162	183	156	120.75	115
1974	90	98	73	106	106	81	77	95	108	134	158	112	103.17	112
1975	144	98	119	119	105	95	84	107	132	141	162	145	120.92	113
1976	129	123	79	114	105	81	70	71	109	133	131	108	104.42	114
1977	57	114	156	109	87	71	72	88	152	175	149	135	113.75	118
1978	131	111	120	119	98	94	90	99	146	160	175	165	125.67	115
1979	142	148	122	104	121	100	75	100	131	155	168	155	126.75	115
1980	87	84	84	93	109	85	77	80	105	124	186	129	103.58	117
1981	97	78	146	142	96	73	83	59	112	112	103	151	104.33	115
1982	150	101	118	131	116	95	57	112	137	158	171	158	125.33	110
1983	151	84	116	115	105	60	70	98	110	164	183	144	116.67	111
1984	90	57	74	121	79	79	73	101	104	155	144	105	98.50	114
1985	108	62	111	146	118	74	83	105	110	146	119	134	109.67	113
1986	113	90	126	119	127	68	80	99	166	144	131	165	119.00	111
1987	135	142	77	128	111	106	73	89	137	110	137	182	118.92	116
1988	118	84	86	159	83	76	59	104	117	151	157	132	110.50	121
1989	165	153	121	106	102	64	76	119	112	166	139	156	123.25	119
1990	137	157	165	98	132	75	65	87	129	169	213	145	131.00	119
1991	115	98	113	98	97	84	56	99	125	140	148	136	109.08	121
1992	147	122	117	128	100	83	83	109	86	171	180	142	122.33	121
1993	162	120	122	98	104	86	68	99	123	169	108	157	118.00	119
1994	153	110	137	116	123	106	62	100	127	158	190	126	125.67	118
1995	116	139	127	103	99	87	90	85	107	174	148	134	117.42	119
1996	80	112	75	112	121	86	81	103	106	140	132	153	108.42	122
1997	140	168	138	124	119	91	77	85	113	138	171	149	126.08	121
1998	89	193	127	167	131	87	69	98	147	191	130	161	132.50	120
1999	136	118	99	148	113	84	84	132	111	132	142	156	121.25	122
2000	121	132	126	114	117	97	72	111	127	115	116	122	114.17	122
2001	101	129	137	134	123	85	73	103	111	156	161	99	117.67	119
2002	161	184	164	101	105	93	82	88	143	137	127	116	125.08	120
2003	161	99	127	121	125	95	42	77	113	143	136	165	117.00	117
2004	104	125	118	129	106	110	72	98	145	170	175	137	124.08	117
2005	103	63	128	115	98	92	69	94	122	143	113	68	100.67	117
2006	88	113	139	125	119	71	70	97	133	184	130	165	119.50	118
2007	166	167	96	112	143	104	80	101	136	129	142	118	124.50	116
2008	104	140	151	118	90	94	78	115	104	163	163	122	120.17	119
2009	119	117	120	124	135	71	70	85	117	143	148	115	113.67	117
2010	78	104	138	105	85	123	68	110	136	150	168	118	115.25	114
2011	92	134	125	118	92	75	70	103	118	156	141	125	112.42	113
2012	125	62	116	133	109	76	71	122	132	133	135	84	108.17	113
2013	112	98	147	120	96	65	58	81	119	171	169	140	114.67	115
2014	125	105	131	136	99	86	55	91	114	153	134	130	113.25	113
2015	150	123	129	141	106	92	109	94	105	136	149	162	124.67	91
2016	68	127	114	101	105	66	73	100	91	79	133	171	102.33	68
