“62.欧亚经向环流指数(IM,0-150E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：56.84
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	66	71	69	70	43	35	46	61	57	57	65	65	58.75	
1952	65	95	61	57	71	53	46	37	45	52	90	75	62.25	
1953	66	72	67	65	54	56	43	47	57	67	69	68	60.92	59
1954	70	59	68	60	66	49	62	42	47	44	62	78	58.92	60
1955	77	65	57	74	59	44	37	43	49	49	69	56	56.58	60
1956	78	78	70	58	44	64	37	33	54	64	88	83	62.58	60
1957	58	58	76	71	65	45	55	43	67	54	78	54	60.33	60
1958	68	79	52	54	58	50	39	40	62	73	77	65	59.75	59
1959	89	77	58	53	59	49	41	40	57	69	69	71	61.00	58
1960	61	49	65	55	51	44	50	40	43	47	61	65	52.58	58
1961	71	66	89	59	47	47	37	42	53	69	60	61	58.42	58
1962	56	68	65	68	57	54	39	40	52	65	77	67	59.00	57
1963	73	61	69	52	59	42	43	51	57	60	59	71	58.08	59
1964	87	81	54	42	40	40	49	39	50	76	60	78	58.00	58
1965	72	83	62	65	49	33	44	46	59	60	57	83	59.42	59
1966	63	64	62	55	54	46	40	37	59	51	85	79	57.92	59
1967	81	67	64	58	49	47	33	43	66	60	89	84	61.75	59
1968	75	57	62	68	50	47	48	41	52	56	61	79	58.00	59
1969	59	68	49	62	50	43	44	45	56	63	77	80	58.00	58
1970	66	64	80	56	49	53	54	39	55	69	71	56	59.33	59
1971	66	68	64	62	39	43	37	42	40	59	61	80	55.08	59
1972	73	65	70	59	60	56	51	61	50	72	59	75	62.58	59
1973	69	72	68	71	44	47	45	44	62	55	73	76	60.50	58
1974	64	60	60	64	43	44	48	44	56	68	53	75	56.58	60
1975	62	74	57	65	55	38	34	36	41	58	72	78	55.83	59
1976	84	86	68	54	48	50	46	47	53	68	72	79	62.92	58
1977	57	59	66	67	63	53	37	41	63	58	72	67	58.58	58
1978	59	74	65	47	48	54	46	37	43	66	65	61	55.42	58
1979	66	61	53	55	67	61	39	44	39	63	74	69	57.58	58
1980	75	72	64	59	50	37	36	43	64	59	41	67	55.58	58
1981	76	62	45	59	65	55	38	49	50	73	76	85	61.08	59
1982	81	67	55	64	56	66	43	43	51	65	65	75	60.92	59
1983	71	80	71	62	51	47	33	50	57	50	69	73	59.50	59
1984	65	68	70	66	51	56	41	40	44	53	56	76	57.17	58
1985	68	71	61	50	55	42	37	39	64	72	56	75	57.50	58
1986	67	61	62	61	52	57	48	33	44	75	66	57	56.92	58
1987	78	72	67	60	62	56	43	35	37	78	66	79	61.08	58
1988	59	72	76	44	47	45	49	39	39	52	75	79	56.33	56
1989	62	64	68	77	46	48	44	36	46	58	74	63	57.17	56
1990	66	56	59	47	48	41	43	38	33	61	50	55	49.75	54
1991	60	57	52	56	62	57	38	37	50	60	67	69	55.42	54
1992	83	54	59	43	54	48	37	43	53	48	69	54	53.75	54
1993	63	80	72	54	60	43	39	35	41	56	73	60	56.33	56
1994	66	75	59	52	42	47	45	28	46	62	63	60	53.75	56
1995	76	56	88	80	63	55	36	50	48	55	71	60	61.50	58
1996	70	73	68	44	47	41	41	41	44	52	80	73	56.17	57
1997	66	54	75	78	58	39	35	37	58	85	69	66	60.00	58
1998	68	73	74	45	51	48	42	43	46	44	51	58	53.58	57
1999	65	96	52	57	62	55	40	31	55	70	67	69	59.92	58
2000	81	60	76	58	55	49	43	33	46	64	68	60	57.75	57
2001	68	71	60	73	54	41	48	50	48	48	70	79	59.17	57
2002	59	64	55	48	59	32	48	44	37	45	62	77	52.50	56
2003	56	69	60	62	48	57	44	46	12	57	68	66	53.75	56
2004	64	71	61	59	63	47	45	43	46	54	76	55	57.00	55
2005	67	60	85	52	55	44	32	46	42	58	72	82	57.92	56
2006	72	74	63	46	44	47	33	35	58	30	84	75	55.08	57
2007	65	50	52	70	45	46	45	50	45	55	75	65	55.25	56
2008	71	62	54	91	48	47	36	38	43	44	69	92	57.92	56
2009	71	69	66	68	40	45	40	41	37	66	63	60	55.50	57
2010	71	61	65	55	48	37	54	47	48	56	46	77	55.42	57
2011	66	61	70	67	51	43	56	45	58	60	70	66	59.42	56
2012	66	76	85	79	55	47	43	33	42	54	58	68	58.83	57
2013	51	74	57	47	49	43	38	31	50	40	63	77	51.67	57
2014	63	79	62	60	59	52	45	38	47	53	67	70	57.92	57
2015	47	68	54	63	50	47	48	50	55	62	51	65	55.00	45
2016	87	78	72	61	47	49	38	43	63	57	57	81	61.08	35
