“63.亚洲纬向环流指数(IZ,60E-150E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：117.56
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	100	110	131	104	134	99	77	80	70	135	185	164	115.75	
1952	150	54	127	142	144	99	72	96	104	191	158	142	123.25	
1953	107	90	153	66	104	67	74	92	137	163	110	128	107.58	115
1954	113	132	144	113	91	69	57	94	125	132	145	52	105.58	113
1955	113	93	134	110	115	75	79	109	123	166	195	170	123.50	112
1956	93	31	120	146	124	62	54	97	142	188	99	80	103.00	117
1957	153	60	122	148	108	69	35	61	108	189	198	183	119.50	119
1958	111	119	147	146	131	96	70	89	136	171	193	177	132.17	119
1959	120	136	144	157	126	62	56	68	132	160	109	123	116.08	123
1960	97	185	138	125	86	73	72	107	129	201	183	82	123.17	124
1961	122	117	116	172	144	101	70	97	135	140	165	120	124.92	123
1962	135	116	115	135	109	107	55	109	118	149	133	175	121.33	125
1963	96	145	162	148	146	105	68	80	122	154	155	178	129.92	125
1964	155	50	162	174	141	92	48	95	112	151	176	137	124.42	125
1965	128	93	111	126	139	108	65	102	119	186	182	138	124.75	122
1966	145	189	128	116	124	93	77	112	143	179	166	29	125.08	121
1967	158	116	116	123	129	63	40	84	123	129	102	112	107.92	118
1968	61	52	151	152	121	111	88	87	122	155	213	152	122.08	115
1969	100	85	152	181	129	111	47	57	115	143	120	63	108.58	113
1970	96	95	44	170	141	103	47	118	85	156	163	132	112.50	116
1971	153	55	99	149	119	86	56	82	113	176	161	118	113.92	115
1972	143	122	132	125	133	74	52	89	116	148	167	150	120.92	115
1973	174	89	105	128	94	88	66	70	139	160	173	143	119.08	116
1974	80	100	87	138	122	86	66	88	103	159	175	74	106.50	115
1975	119	99	137	117	116	87	78	121	122	164	192	107	121.58	114
1976	99	133	78	112	120	66	64	84	109	156	134	113	105.67	117
1977	34	110	167	97	96	69	75	100	161	202	144	152	117.25	122
1978	133	124	114	142	129	101	91	103	140	146	170	193	132.17	118
1979	164	171	114	114	120	99	65	103	110	188	176	159	131.92	117
1980	85	75	94	109	139	103	77	69	98	114	198	95	104.67	118
1981	64	78	136	159	121	51	82	40	115	88	81	160	97.92	113
1982	143	108	123	135	114	81	53	108	126	186	167	152	124.67	107
1983	117	87	101	129	122	38	63	100	91	138	181	128	107.92	108
1984	56	62	78	152	102	71	59	107	101	150	169	117	102.00	111
1985	107	55	127	145	140	68	77	99	84	150	117	98	105.58	111
1986	101	115	133	131	135	81	65	88	148	128	114	168	117.25	112
1987	155	136	90	144	131	111	54	74	126	136	146	190	124.42	116
1988	113	71	80	170	93	98	51	98	107	157	156	112	108.83	120
1989	157	138	102	133	99	70	66	115	115	165	160	145	122.08	118
1990	116	136	137	99	141	72	54	79	134	186	188	163	125.42	117
1991	100	121	118	105	106	71	40	95	102	163	141	133	107.92	117
1992	153	113	112	132	105	100	65	85	88	184	185	144	122.17	117
1993	133	120	122	111	132	69	47	85	127	188	14	143	107.58	115
1994	133	119	100	124	133	87	62	105	120	154	204	113	121.17	116
1995	110	88	121	96	102	100	75	81	121	177	162	145	114.83	117
1996	109	111	78	121	128	70	59	129	134	145	115	163	113.50	123
1997	133	149	122	112	117	105	95	100	102	121	212	185	129.42	123
1998	70	177	125	199	148	78	46	74	183	202	137	165	133.67	122
1999	116	105	101	173	106	94	77	140	127	143	160	126	122.33	123
2000	102	100	105	127	129	85	78	106	148	125	125	118	112.33	123
2001	103	121	123	153	127	79	65	91	133	160	161	102	118.17	121
2002	164	159	162	130	120	84	78	102	168	132	130	136	130.42	122
2003	156	135	142	156	119	83	44	58	110	148	152	157	121.67	120
2004	101	124	131	159	116	103	70	105	144	193	181	117	128.67	121
2005	71	70	140	142	80	90	68	95	119	171	108	48	100.17	120
2006	106	129	145	127	128	63	61	115	148	203	113	156	124.50	120
2007	137	187	99	105	141	112	70	103	138	144	147	129	126.00	117
2008	85	126	146	132	98	85	78	104	120	149	164	142	119.08	121
2009	118	129	127	146	151	55	55	77	111	144	160	122	116.25	118
2010	93	104	129	104	97	131	66	114	155	165	173	120	120.92	112
2011	43	152	110	127	85	76	80	106	108	166	162	87	108.50	112
2012	87	53	113	138	109	46	50	129	114	116	122	75	96.00	112
2013	115	119	161	102	110	67	48	72	140	182	164	112	116.00	112
2014	136	97	123	150	106	85	62	85	130	166	168	96	117.00	109
2015	138	125	139	148	95	69	89	98	116	155	130	140	120.17	90
2016	36	104	129	93	133	51	60	92	87	100	111	180	98.00	67
