“64.亚洲经向环流指数(IM,60E-150E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：53.68
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	65	54	71	67	46	30	40	58	58	48	67	66	55.83	
1952	76	90	54	55	60	61	33	34	40	51	86	79	59.92	
1953	63	69	47	64	49	53	40	42	55	47	63	71	55.25	56
1954	71	55	71	57	59	45	62	37	40	50	62	74	56.92	57
1955	83	63	56	67	56	45	31	38	48	47	55	51	53.33	56
1956	87	74	63	64	45	52	34	27	41	49	90	78	58.67	56
1957	55	61	74	66	63	46	47	35	65	50	61	54	56.42	56
1958	70	78	54	57	51	42	36	33	65	57	64	58	55.42	55
1959	94	56	49	50	61	51	40	35	39	53	68	78	56.17	54
1960	56	50	55	58	48	39	39	36	34	46	66	76	50.25	54
1961	77	57	87	67	43	47	31	31	42	57	52	58	54.08	54
1962	64	64	69	55	55	50	32	34	52	56	71	65	55.58	53
1963	67	62	67	56	48	39	42	44	46	53	59	60	53.58	55
1964	67	72	59	43	42	33	45	36	48	67	52	82	53.83	55
1965	75	62	62	63	50	32	42	36	53	44	62	91	56.00	56
1966	74	69	59	63	45	36	38	32	65	44	90	81	58.00	56
1967	74	62	67	59	41	48	29	44	66	60	96	83	60.75	56
1968	64	51	63	57	48	39	48	33	53	54	56	63	52.42	56
1969	50	69	48	56	38	37	37	36	56	44	79	90	53.33	54
1970	68	58	82	51	43	47	53	39	45	63	73	54	56.33	53
1971	57	52	64	45	31	46	26	38	34	50	68	76	48.92	54
1972	62	59	57	61	40	43	48	56	41	63	61	66	54.75	54
1973	48	71	62	69	44	43	42	42	53	54	65	80	56.08	53
1974	52	61	62	55	44	45	48	36	48	70	50	75	53.83	54
1975	61	59	54	67	49	37	32	33	30	40	67	70	49.92	54
1976	78	66	67	58	46	48	32	47	42	51	73	79	57.25	54
1977	53	65	63	64	58	51	32	37	52	38	78	64	54.58	54
1978	64	75	72	43	47	49	42	31	36	55	57	59	52.50	55
1979	70	65	61	47	56	60	40	37	43	57	80	67	56.92	56
1980	78	72	65	57	46	28	38	47	64	56	44	71	55.50	56
1981	71	68	50	50	56	50	30	42	44	75	81	88	58.75	57
1982	73	58	51	57	51	63	42	38	48	75	58	77	57.58	56
1983	74	77	67	63	43	41	30	42	49	51	57	77	55.92	56
1984	69	76	72	68	40	52	32	37	44	45	43	77	54.58	55
1985	67	62	73	50	47	43	34	27	63	54	56	75	54.25	55
1986	72	59	55	67	45	48	48	27	39	73	70	47	54.17	55
1987	67	69	74	54	60	56	42	29	32	64	64	72	56.92	55
1988	72	72	84	46	42	50	46	37	35	36	70	74	55.33	53
1989	44	58	75	76	47	49	36	34	41	48	69	51	52.33	52
1990	59	50	57	54	43	37	33	31	29	54	57	53	46.42	51
1991	45	56	50	58	57	52	39	37	47	51	69	55	51.33	51
1992	66	51	50	40	50	48	37	36	51	47	75	43	49.50	50
1993	59	60	78	58	60	42	33	36	32	48	76	73	54.58	53
1994	78	65	64	44	41	42	41	24	37	60	53	58	50.58	53
1995	86	57	92	74	58	50	35	42	45	41	60	49	57.42	54
1996	73	78	67	35	45	37	34	32	37	56	87	77	54.83	53
1997	43	52	66	66	53	37	33	29	50	76	72	65	53.50	55
1998	71	67	74	36	50	42	37	44	35	38	50	56	50.00	54
1999	70	97	50	48	60	47	38	29	46	68	64	74	57.58	54
2000	74	60	68	55	38	51	39	35	34	56	63	56	52.42	53
2001	66	66	67	75	51	43	42	48	43	31	68	77	56.42	53
2002	45	65	57	52	43	21	42	35	29	35	64	68	46.33	52
2003	59	58	52	59	46	54	46	43	14	54	60	72	51.42	52
2004	68	63	55	54	57	46	42	41	38	53	71	54	53.50	51
2005	66	53	79	47	48	41	28	41	41	57	71	78	54.17	53
2006	57	74	64	50	46	39	27	35	53	26	77	69	51.42	54
2007	71	48	53	64	35	38	47	45	40	60	72	64	53.08	54
2008	79	59	48	92	46	47	32	39	46	40	64	97	57.42	54
2009	70	59	71	61	36	42	35	34	32	72	66	57	52.92	55
2010	76	60	61	60	49	40	46	43	42	51	54	85	55.58	56
2011	68	64	76	65	51	40	56	41	66	52	45	70	57.83	54
2012	70	77	74	80	54	45	37	31	38	49	55	71	56.75	54
2013	49	71	57	52	37	41	33	25	42	27	66	63	46.92	53
2014	57	77	61	59	55	45	36	30	44	45	65	66	53.33	53
2015	40	57	58	54	51	47	48	39	51	55	42	51	49.42	42
2016	96	83	69	61	59	40	33	40	62	55	51	63	59.33	32
