“65.东亚槽位置(CW)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：140.86
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	146	148	140	135	136	999	999	999	130	135	141	135	103.83	
1952	138	142	144	141	144	999	999	999	133	128	136	139	103.75	
1953	145	147	142	146	125	999	999	999	130	141	144	140	105.00	104
1954	140	152	140	137	148	999	999	999	129	129	145	136	104.67	103
1955	142	137	134	137	145	999	999	999	125	132	134	140	102.17	104
1956	138	138	140	139	134	999	999	999	122	127	131	141	100.83	104
1957	146	138	154	147	140	999	999	999	125	136	140	137	105.25	104
1958	142	141	144	151	151	999	999	999	124	132	139	147	105.92	104
1959	138	155	151	131	159	999	999	999	118	136	131	142	105.08	105
1960	143	143	147	142	136	999	999	999	132	139	132	139	104.42	105
1961	142	143	147	138	145	999	999	999	126	135	143	138	104.75	105
1962	142	144	144	131	139	999	999	999	134	140	135	139	104.00	105
1963	137	143	147	138	151	999	999	999	147	130	135	137	105.42	106
1964	151	154	153	155	142	999	999	999	136	137	138	134	108.33	106
1965	140	150	150	146	138	999	999	999	130	138	136	135	105.25	106
1966	149	141	139	150	146	999	999	999	135	136	134	140	105.83	106
1967	145	149	146	151	141	999	999	999	131	140	143	133	106.58	105
1968	143	151	139	149	137	999	999	999	123	145	128	137	104.33	105
1969	141	141	143	146	139	999	999	999	151	135	132	137	105.42	105
1970	140	147	145	150	138	999	999	999	120	137	138	143	104.83	104
1971	140	141	150	142	137	999	999	999	128	138	144	136	104.67	105
1972	143	136	147	132	141	999	999	999	128	128	140	142	103.08	105
1973	146	151	149	135	145	999	999	999	138	136	140	140	106.67	105
1974	144	142	148	132	140	999	999	999	124	133	146	147	104.67	105
1975	147	145	144	150	147	999	999	999	136	141	141	145	108.00	106
1976	145	142	147	142	132	999	999	999	135	140	135	136	104.50	107
1977	143	151	148	142	162	999	999	999	133	144	130	143	108.00	107
1978	142	152	148	145	144	999	999	999	143	140	147	149	109.17	106
1979	148	134	154	151	141	999	999	999	122	138	130	139	104.75	107
1980	134	150	155	141	134	999	999	999	132	134	144	131	104.58	106
1981	153	142	154	144	138	999	999	999	135	134	141	141	106.83	105
1982	139	144	143	143	131	999	999	999	135	135	138	138	103.83	106
1983	152	142	157	124	145	999	999	999	127	140	142	143	106.00	105
1984	138	143	141	155	154	999	999	999	139	135	147	142	107.83	105
1985	144	146	136	128	156	999	999	999	121	135	135	134	102.92	105
1986	139	142	146	133	140	999	999	999	133	144	142	148	105.58	106
1987	148	148	146	150	137	999	999	999	128	134	132	134	104.75	105
1988	143	152	139	131	154	999	999	999	133	144	139	142	106.42	105
1989	149	145	133	145	139	999	999	999	129	135	135	149	104.92	106
1990	144	144	156	128	156	999	999	999	124	134	135	143	105.33	106
1991	155	142	153	144	155	999	999	999	134	131	133	146	107.75	107
1992	151	145	155	142	145	999	999	999	124	147	135	149	107.75	107
1993	145	158	150	155	156	999	999	999	136	135	145	139	109.92	107
1994	139	149	147	148	134	999	999	999	121	136	137	150	105.08	107
1995	138	154	134	135	123	999	999	999	142	135	136	162	104.92	107
1996	141	144	151	150	163	999	999	999	131	137	135	137	107.42	106
1997	155	155	146	148	151	999	999	999	133	132	135	143	108.17	106
1998	139	164	143	154	126	999	999	999	133	135	138	144	106.33	106
1999	143	146	145	139	135	999	999	999	130	128	135	143	103.67	106
2000	139	158	152	133	130	999	999	999	128	135	141	153	105.75	106
2001	150	150	138	143	130	999	999	999	137	155	138	148	107.42	106
2002	143	141	144	128	159	999	999	999	141	127	135	149	105.58	107
2003	143	155	149	150	143	999	999	999	137	132	135	151	107.92	106
2004	150	160	141	147	128	999	999	999	123	135	148	140	106.00	105
2005	142	143	143	143	136	999	999	999	135	134	133	144	104.42	105
2006	144	135	133	131	141	999	999	999	132	136	128	141	101.75	104
2007	146	143	141	154	137	999	999	999	130	135	139	144	105.75	103
2008	149	149	131	132	123	999	999	999	131	135	132	132	101.17	103
2009	133	150	133	147	143	999	999	999	133	134	132	138	103.58	105
2010	143	140	139	141	161	999	999	999	140	131	132	128	104.58	104
2011	157	142	149	136	158	999	999	999	126	143	145	152	109.00	105
2012	145	149	140	133	151	999	999	999	121	129	131	137	103.00	107
2013	159	148	140	136	155	999	999	999	124	136	133	141	106.00	107
2014	149	135	151	163	150	999	999	999	155	137	141	143	110.33	107
2015	143	143	143	145	147	999	999	999	129	143	137	155	107.08	86
2016	149	143	143	155	169	999	999	999	117	147	138	143	108.67	65
