“69.印缅槽(15N-20N,80E-100E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：28.15
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	12	1	16	28	33	20	31	24	32	33	35	23	24.00	
1952	24	21	21	36	36	31	22	19	31	37	33	33	28.67	
1953	24	30	36	36	36	30	30	23	36	44	40	35	33.33	31
1954	21	29	39	49	40	34	27	23	28	40	45	32	33.92	32
1955	36	33	33	36	43	31	28	25	32	34	38	24	32.75	31
1956	20	26	38	44	31	30	17	14	23	37	41	28	29.08	31
1957	17	12	21	33	40	32	16	17	25	35	37	35	26.67	30
1958	31	30	36	44	39	32	13	23	25	37	36	35	31.75	29
1959	27	25	34	39	35	32	17	17	21	33	40	39	29.92	28
1960	26	24	25	38	33	25	23	16	24	33	38	39	28.67	28
1961	27	21	32	35	32	20	14	14	19	30	28	21	24.42	27
1962	22	25	27	34	31	22	12	17	21	38	45	32	27.17	27
1963	20	24	25	28	30	26	18	19	28	35	36	32	26.75	27
1964	30	25	32	30	30	25	25	15	23	32	30	28	27.08	28
1965	22	9	26	31	33	25	22	24	30	39	39	34	27.83	27
1966	31	33	29	34	39	29	20	25	31	39	38	27	31.25	26
1967	25	24	16	29	28	24	21	14	24	33	23	26	23.92	26
1968	13	13	17	27	26	22	17	19	27	28	33	22	22.00	25
1969	9	26	28	35	26	22	13	20	17	27	33	27	23.58	22
1970	14	18	26	34	31	26	17	14	20	25	21	27	22.75	21
1971	15	4	21	17	22	13	9	12	22	24	25	19	16.92	22
1972	16	9	23	20	29	22	12	10	26	39	29	31	22.17	21
1973	29	27	27	36	30	19	10	12	20	24	21	20	22.92	20
1974	8	18	18	21	20	15	13	11	21	22	33	23	18.58	21
1975	9	16	25	32	20	14	17	10	19	22	28	21	19.42	21
1976	13	15	19	27	26	19	17	17	24	32	30	23	21.83	21
1977	21	26	36	24	23	21	12	20	22	34	33	17	24.08	22
1978	12	17	21	26	26	17	12	7	20	31	32	26	20.58	23
1979	22	15	28	33	31	25	25	15	27	35	36	23	26.25	24
1980	19	18	28	38	34	22	17	17	26	29	28	20	24.67	24
1981	7	18	20	27	27	13	14	14	31	36	27	29	21.92	25
1982	22	11	23	24	33	26	17	16	27	34	28	33	24.50	24
1983	18	18	29	35	33	30	25	22	25	27	27	16	25.42	23
1984	16	19	31	30	29	15	18	13	25	29	27	24	23.00	24
1985	15	11	32	26	25	16	17	17	23	25	28	27	21.83	25
1986	25	16	21	27	23	20	18	17	27	34	31	26	23.75	25
1987	27	20	16	32	35	25	27	27	35	39	38	36	29.75	26
1988	28	23	28	37	36	28	28	30	29	28	29	25	29.08	28
1989	25	25	19	33	28	23	23	21	28	35	35	20	26.25	29
1990	27	16	27	35	29	25	26	29	33	37	36	33	29.42	28
1991	22	28	31	31	36	27	24	23	31	30	38	25	28.83	29
1992	23	17	42	38	35	27	25	25	27	33	30	24	28.83	30
1993	27	21	28	38	38	34	26	27	30	42	35	36	31.83	31
1994	30	25	36	38	41	27	19	24	34	43	35	35	32.25	30
1995	29	24	38	42	36	35	23	27	35	39	34	30	32.67	30
1996	17	14	25	30	35	26	26	27	24	33	29	27	26.08	31
1997	12	19	25	19	32	29	25	25	36	39	38	35	27.83	30
1998	34	33	37	43	45	36	32	36	33	37	33	34	36.08	28
1999	21	33	26	32	26	23	18	23	26	31	32	27	26.50	29
2000	20	17	25	30	28	23	18	21	29	30	33	32	25.50	29
2001	26	26	23	36	30	20	22	26	31	36	32	32	28.33	28
2002	20	32	28	31	32	29	29	26	31	38	37	28	30.08	29
2003	31	20	26	37	38	31	31	31	31	38	39	31	32.00	30
2004	14	28	36	32	34	28	25	24	34	37	33	32	29.75	30
2005	24	26	30	36	33	28	26	24	29	35	34	26	29.25	30
2006	32	29	23	28	30	28	23	22	30	35	29	38	28.92	28
2007	37	15	31	31	29	27	23	23	27	32	28	28	27.58	28
2008	22	21	21	29	23	24	22	25	28	36	37	32	26.67	29
2009	30	25	23	31	26	23	23	30	30	37	35	26	28.25	28
2010	29	26	39	44	38	39	32	31	34	28	30	19	32.42	27
2011	17	16	22	28	32	27	25	26	29	31	30	29	26.00	27
2012	11	17	24	26	24	21	18	21	27	30	29	27	22.92	27
2013	24	21	27	28	28	19	12	19	23	30	31	25	23.92	27
2014	29	20	25	32	32	25	22	26	31	34	36	34	28.83	28
2015	22	14	32	30	36	30	28	31	37	41	37	37	31.25	24
2016	20	40	37	42	35	33	30	28	33	33	40	36	33.92	19
