“7.北美副高面积指数(110W-60W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：11.08
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	3	15	21	31	29	25	20	15	16	14.58	
1952	14	8	13	8	17	26	31	27	20	14	13	11	16.83	
1953	7	7	6	12	13	20	29	28	17	8	6	11	13.67	13
1954	7	0	5	7	4	14	25	27	23	14	3	0	10.75	13
1955	0	0	0	3	15	18	27	27	18	9	7	4	10.67	11
1956	0	0	6	9	14	21	32	22	12	16	7	8	12.25	11
1957	9	5	5	15	6	11	24	21	11	3	4	3	9.75	11
1958	2	1	4	9	8	23	26	23	15	6	7	0	10.33	10
1959	2	9	9	6	4	18	27	25	19	5	1	0	10.42	10
1960	0	3	0	0	18	19	24	26	19	3	1	1	9.50	10
1961	1	0	0	11	15	20	21	26	10	1	0	0	8.75	9
1962	5	0	0	2	9	13	25	27	22	5	2	1	9.25	8
1963	0	0	4	2	7	20	26	24	14	1	0	4	8.50	7
1964	3	2	5	1	6	7	21	19	11	2	0	0	6.42	7
1965	0	0	1	0	0	7	19	14	9	3	1	0	4.50	6
1966	0	0	0	2	2	7	21	20	10	0	0	0	5.17	5
1967	0	0	0	0	3	4	21	21	2	0	0	0	4.25	6
1968	0	0	0	0	0	10	26	23	10	2	1	0	6.00	7
1969	0	0	5	7	9	20	31	19	12	1	0	0	8.67	6
1970	1	0	2	14	5	19	24	26	14	0	0	0	8.75	7
1971	0	0	0	0	0	6	19	14	8	0	0	0	3.92	7
1972	0	0	0	0	0	4	22	19	14	5	1	1	5.50	6
1973	7	0	0	0	2	9	25	23	15	0	0	0	6.75	5
1974	0	0	0	0	0	4	21	17	9	0	0	0	4.25	5
1975	0	0	0	5	2	11	17	22	10	0	0	0	5.58	6
1976	0	0	0	0	1	3	17	21	9	0	3	0	4.50	6
1977	2	3	4	0	2	11	26	23	17	11	0	4	8.58	7
1978	1	2	3	1	8	20	23	24	13	3	6	5	9.08	9
1979	0	1	0	3	8	23	34	24	11	11	0	0	9.58	10
1980	2	1	5	8	13	27	30	26	22	13	7	0	12.83	10
1981	0	0	6	6	10	19	29	25	17	7	3	0	10.17	11
1982	1	0	0	6	6	21	27	29	16	3	0	0	9.08	10
1983	3	5	5	2	12	19	33	35	20	6	3	1	12.00	8
1984	0	0	0	5	1	10	18	20	1	4	0	0	4.92	8
1985	0	0	0	0	2	12	20	22	9	3	0	5	6.08	9
1986	0	0	0	1	2	13	27	22	15	6	4	4	7.83	8
1987	3	4	1	5	5	24	27	28	22	10	9	11	12.42	9
1988	7	0	5	4	11	14	32	25	13	1	4	0	9.67	10
1989	0	0	0	0	3	15	29	22	10	5	4	5	7.75	10
1990	0	1	0	2	8	25	26	31	18	7	4	4	10.50	10
1991	8	1	5	2	8	18	31	32	20	0	3	3	10.92	10
1992	2	4	11	8	6	17	28	29	18	6	3	6	11.50	11
1993	0	0	0	7	9	22	29	29	18	11	8	3	11.33	12
1994	1	0	4	7	15	25	32	31	20	2	13	6	13.00	12
1995	7	9	1	7	19	24	27	30	28	9	12	8	15.08	12
1996	0	0	0	1	10	22	29	28	12	7	0	0	9.08	13
1997	0	0	0	1	10	11	30	30	21	6	8	7	10.33	12
1998	1	11	10	15	20	26	32	33	20	17	4	7	16.33	11
1999	0	0	0	7	6	16	30	28	7	7	0	1	8.50	11
2000	0	0	0	1	5	23	22	27	13	3	3	2	8.25	11
2001	0	0	0	2	9	17	27	32	13	11	2	0	9.42	11
2002	4	3	1	4	18	22	35	31	18	6	10	9	13.42	12
2003	9	7	8	13	19	19	32	34	23	9	8	0	15.08	13
2004	5	9	2	8	11	22	25	29	16	11	7	2	12.25	14
2005	0	8	12	14	11	19	33	30	29	9	7	5	14.75	14
2006	0	8	1	1	14	22	36	30	21	19	2	15	14.08	13
2007	9	9	1	11	14	21	32	30	27	6	1	4	13.75	13
2008	0	0	0	0	7	20	31	20	14	13	0	2	8.92	13
2009	0	0	0	7	7	17	29	29	27	14	0	5	11.25	12
2010	4	5	12	11	19	33	33	31	21	9	0	0	14.83	10
2011	0	0	0	0	8	20	28	28	23	3	0	0	9.17	10
2012	0	0	0	0	1	8	25	22	15	0	2	0	6.08	9
2013	8	0	1	2	3	18	25	24	9	9	0	1	8.33	8
2014	2	0	0	1	1	12	29	20	18	2	7	0	7.67	10
2015	0	0	2	3	6	19	27	26	19	13	6	6	10.58	8
2016	11	6	12	11	17	25	30	29	25	6	0	9	15.08	7
