“70.冷空气” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：2.62
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	2	3	4	3	3	999	999	999	3	2	3	3	2.17	
1952	4	1	4	2	5	999	999	999	2	3	3	4	2.33	
1953	4	2	3	2	3	999	999	999	3	2	2	3	2.00	2
1954	3	4	4	4	4	999	999	999	3	3	3	3	2.58	2
1955	3	4	4	3	3	999	999	999	3	3	3	4	2.50	2
1956	3	3	2	4	3	999	999	999	2	5	4	4	2.50	2
1957	4	2	4	2	3	999	999	999	3	4	4	4	2.50	2
1958	4	2	3	3	3	999	999	999	3	4	2	3	2.25	2
1959	3	2	3	3	3	999	999	999	2	3	3	3	2.08	2
1960	3	2	4	2	3	999	999	999	4	3	2	5	2.33	2
1961	4	2	4	3	3	999	999	999	2	3	4	2	2.25	2
1962	2	2	3	3	4	999	999	999	3	2	4	2	2.08	2
1963	3	3	4	3	2	999	999	999	3	4	3	3	2.33	2
1964	3	2	1	3	3	999	999	999	3	3	2	1	1.75	2
1965	1	3	2	4	2	999	999	999	2	4	4	4	2.17	2
1966	2	3	2	3	3	999	999	999	2	3	5	4	2.25	2
1967	3	2	4	3	2	999	999	999	3	2	3	3	2.08	2
1968	3	2	3	3	2	999	999	999	2	2	3	4	2.00	2
1969	3	2	3	3	4	999	999	999	2	2	3	5	2.25	2
1970	3	4	3	3	4	999	999	999	2	2	3	3	2.25	2
1971	2	3	3	3	3	999	999	999	3	2	3	4	2.17	2
1972	2	3	3	2	2	999	999	999	2	5	3	4	2.17	2
1973	2	4	2	3	4	999	999	999	1	3	4	2	2.08	2
1974	2	2	4	3	3	999	999	999	3	4	2	1	2.00	2
1975	2	2	3	3	4	999	999	999	1	4	3	4	2.17	2
1976	4	3	2	3	4	999	999	999	1	3	3	3	2.17	2
1977	3	2	4	3	2	999	999	999	2	4	3	3	2.17	2
1978	4	2	3	1	5	999	999	999	2	2	3	5	2.25	2
1979	2	2	2	2	3	999	999	999	3	5	5	2	2.17	2
1980	4	0	3	3	3	999	999	999	3	3	2	3	2.00	2
1981	3	2	1	3	4	999	999	999	2	4	4	3	2.17	2
1982	4	1	3	4	3	999	999	999	1	2	4	4	2.17	2
1983	3	2	2	4	1	999	999	999	1	4	4	4	2.08	2
1984	3	1	1	3	1	999	999	999	2	4	4	4	1.92	2
1985	3	2	2	4	4	999	999	999	3	3	3	3	2.25	2
1986	3	2	2	2	2	999	999	999	3	3	3	3	1.92	2
1987	4	4	6	3	3	999	999	999	3	4	3	2	2.67	2
1988	4	3	1	3	2	999	999	999	0	2	3	4	1.83	2
1989	2	1	2	3	1	999	999	999	3	2	4	4	1.83	2
1990	4	1	2	3	3	999	999	999	3	2	4	3	2.08	2
1991	0	4	3	3	2	999	999	999	0	2	2	5	1.75	2
1992	1	2	1	2	1	999	999	999	3	2	4	3	1.58	2
1993	2	2	2	3	2	999	999	999	3	4	3	5	2.17	2
1994	2	3	3	1	3	999	999	999	2	2	2	2	1.67	2
1995	2	0	3	2	4	999	999	999	3	3	4	2	1.92	2
1996	4	1	3	2	1	999	999	999	2	4	3	2	1.83	2
1997	3	2	2	1	2	999	999	999	2	3	4	3	1.83	2
1998	3	1	3	3	4	999	999	999	2	3	1	1	1.75	2
1999	2	2	3	4	3	999	999	999	1	4	2	2	1.92	2
2000	4	0	1	3	4	999	999	999	2	2	3	2	1.75	2
2001	3	2	5	3	2	999	999	999	1	1	3	2	1.83	2
2002	3	1	3	4	0	999	999	999	4	3	5	2	2.08	2
2003	2	3	3	4	2	999	999	999	2	2	4	2	2.00	2
2004	2	3	4	5	3	999	999	999	3	3	4	2	2.42	2
2005	1	2	2	3	3	999	999	999	3	4	2	2	1.83	2
2006	2	3	1	2	2	999	999	999	3	3	4	3	1.92	2
2007	0	3	2	3	5	999	999	999	1	2	2	1	1.58	2
2008	1	1	4	2	2	999	999	999	1	2	3	4	1.67	2
2009	1	2	5	3	3	999	999	999	2	3	4	2	2.08	2
2010	3	3	4	5	2	999	999	999	2	3	3	4	2.42	2
2011	1	2	2	3	3	999	999	999	3	2	3	3	1.83	2
2012	2	3	3	3	3	999	999	999	2	3	3	3	2.08	2
2013	1	2	4	3	4	999	999	999	1	1	3	2	1.75	2
2014	1	3	1	4	3	999	999	999	1	3	4	5	2.08	2
2015	2	3	4	3	2	999	999	999	1	5	3	3	2.17	2
2016	4	2	1	2	3	999	999	999	2	4	3	3	2.00	1
