“71.编号台风” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：2.13
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	1	2	1	2	2	3	2	4	1	2	1.67	
1952	0	0	0	0	0	4	3	5	5	6	3	5	2.58	
1953	0	1	0	0	1	3	2	6	3	4	4	2	2.17	2
1954	0	0	1	0	1	0	1	6	6	4	3	1	1.92	2
1955	1	1	1	1	0	2	6	7	3	4	1	1	2.33	2
1956	0	0	1	2	0	2	3	5	5	1	3	1	1.92	2
1957	2	0	0	1	1	1	1	4	5	4	3	0	1.83	2
1958	1	0	0	1	2	3	7	5	6	3	3	2	2.75	2
1959	0	1	1	1	0	0	2	6	4	4	3	2	2.00	2
1960	0	0	0	1	1	3	3	11	5	4	1	1	2.50	3
1961	1	0	1	0	3	3	5	6	6	5	2	1	2.75	2
1962	0	1	0	1	2	0	6	8	4	5	3	2	2.67	3
1963	0	0	0	1	0	4	5	3	5	4	0	3	2.08	3
1964	0	0	0	0	2	2	7	6	7	6	5	1	3.00	3
1965	2	1	1	1	3	2	5	6	7	2	2	0	2.67	3
1966	0	0	0	1	2	1	4	10	9	5	2	1	2.92	3
1967	0	1	2	1	1	1	8	9	9	4	3	1	3.33	3
1968	0	1	0	1	1	2	3	8	3	6	4	0	2.42	3
1969	1	0	1	1	0	0	3	4	5	3	3	1	1.83	3
1970	0	1	0	0	0	3	4	6	4	5	4	0	2.25	2
1971	1	0	1	3	4	2	8	5	6	4	2	0	3.00	2
1972	1	0	0	0	1	3	7	5	6	3	3	2	2.58	3
1973	0	0	0	0	0	0	7	7	2	4	3	1	2.00	3
1974	1	0	1	1	1	4	5	9	5	4	4	2	3.08	2
1975	1	0	0	0	0	0	2	6	5	5	3	1	1.92	2
1976	1	1	0	2	2	2	4	4	5	1	1	2	2.08	2
1977	0	0	1	0	0	1	4	3	5	5	1	2	1.83	2
1978	1	0	0	1	0	3	4	8	5	4	4	0	2.50	2
1979	1	0	1	1	2	0	4	2	6	3	2	2	2.00	2
1980	0	0	0	1	4	1	5	3	6	4	1	1	2.17	2
1981	0	0	1	1	1	3	4	7	4	2	3	2	2.33	2
1982	0	0	3	0	1	3	4	5	5	3	1	1	2.17	2
1983	0	0	0	0	0	1	3	4	3	5	5	2	1.92	2
1984	0	0	0	0	0	2	5	5	3	7	3	1	2.17	2
1985	2	0	0	1	1	3	1	9	5	4	1	2	2.42	2
1986	0	1	0	1	2	2	4	5	3	5	4	3	2.50	2
1987	1	0	0	1	0	2	4	4	6	2	3	1	2.00	2
1988	1	0	0	0	1	2	2	5	8	5	2	1	2.25	2
1989	1	0	0	1	2	2	7	6	5	5	2	1	2.67	2
1990	1	0	0	1	1	3	4	6	5	4	4	1	2.50	2
1991	0	0	2	1	1	1	4	5	6	3	6	0	2.42	3
1992	1	1	0	0	0	2	4	8	5	7	3	0	2.58	3
1993	0	0	1	0	0	1	4	7	5	5	2	3	2.33	2
1994	0	0	0	1	1	2	8	9	8	6	0	2	3.08	2
1995	0	0	0	1	0	1	2	6	5	6	1	1	1.92	2
1996	0	0	0	1	2	0	5	6	6	2	2	1	2.08	2
1997	0	0	0	1	2	3	4	6	4	3	2	1	2.17	2
1998	0	0	0	0	0	0	1	3	4	2	3	1	1.17	2
1999	0	0	0	2	0	1	3	5	6	2	1	1	1.75	2
2000	0	0	0	0	2	0	5	6	5	3	2	1	2.00	2
2001	0	0	0	0	1	2	5	6	5	3	1	2	2.08	2
2002	1	1	0	0	1	3	5	6	4	2	2	1	2.17	2
2003	1	0	0	1	2	2	2	5	3	3	2	0	1.75	2
2004	0	0	0	1	2	5	3	8	3	3	3	2	2.50	2
2005	1	0	1	1	0	1	5	5	5	2	2	0	1.92	2
2006	0	0	0	0	1	1	3	7	4	4	2	2	2.00	2
2007	0	0	0	1	1	0	3	5	5	6	4	0	2.08	2
2008	0	0	0	1	4	1	2	4	5	1	3	1	1.83	2
2009	0	0	0	0	2	2	3	5	7	3	1	0	1.92	2
2010	0	0	1	0	0	0	2	5	4	2	0	0	1.17	2
2011	0	0	0	0	2	3	4	3	7	1	0	1	1.75	2
2012	0	0	1	0	1	4	4	5	3	5	1	1	2.08	2
2013	1	1	0	0	0	4	3	6	8	6	2	0	2.58	2
2014	2	1	0	2	0	2	5	1	5	2	1	2	1.92	2
2015	1	1	1	2	2	2	4	3	5	4	1	1	2.25	2
2016	0	0	0	0	0	0	4	7	7	4	3	1	2.17	1
