“72.登陆台风” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：0.60
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	0	0	0	0	1	2	0	0	0	0.25	
1952	0	0	0	0	0	1	2	1	4	0	1	0	0.75	
1953	0	0	0	0	0	0	1	3	2	0	1	0	0.58	0
1954	0	0	0	0	1	0	0	2	1	0	1	0	0.42	1
1955	0	0	0	0	0	2	0	1	1	0	0	0	0.33	0
1956	0	0	0	0	0	1	2	1	3	0	0	0	0.58	0
1957	0	0	0	0	0	1	1	1	2	0	0	0	0.42	0
1958	0	0	0	0	0	1	2	2	2	0	0	0	0.58	1
1959	0	0	0	0	0	0	2	2	2	0	0	0	0.50	1
1960	0	0	0	0	0	2	2	3	0	1	0	0	0.67	1
1961	0	0	0	0	2	0	2	3	3	1	0	0	0.92	1
1962	0	0	0	0	0	0	1	2	3	1	0	0	0.58	1
1963	0	0	0	0	0	0	4	1	2	0	0	0	0.58	1
1964	0	0	0	0	1	0	1	2	2	1	0	0	0.58	1
1965	0	0	0	0	0	1	3	2	2	0	0	0	0.67	1
1966	0	0	0	0	1	0	3	1	3	0	0	0	0.67	1
1967	0	0	0	0	0	1	3	3	1	1	2	0	0.92	1
1968	0	0	0	0	0	0	1	2	1	1	0	0	0.42	1
1969	0	0	0	0	0	0	1	1	3	0	0	0	0.42	1
1970	0	0	0	0	0	0	1	1	2	1	0	0	0.42	1
1971	0	0	0	0	2	2	3	1	3	1	0	0	1.00	1
1972	0	0	0	0	0	1	1	3	0	0	1	0	0.50	1
1973	0	0	0	0	0	0	3	2	2	2	0	0	0.75	1
1974	0	0	0	0	0	2	2	2	2	2	0	1	0.92	1
1975	0	0	0	0	0	0	0	2	2	2	0	0	0.50	1
1976	0	0	0	0	0	0	1	3	1	0	0	0	0.42	1
1977	0	0	0	0	0	0	3	0	2	0	0	0	0.42	0
1978	0	0	0	0	0	0	2	3	0	1	0	0	0.50	1
1979	0	0	0	0	0	0	1	2	2	0	0	0	0.42	1
1980	0	0	0	0	1	1	4	1	2	0	0	0	0.75	1
1981	0	0	0	0	0	2	4	1	1	0	1	0	0.75	1
1982	0	0	0	0	0	0	2	1	1	0	0	0	0.33	1
1983	0	0	0	0	0	0	2	0	2	1	0	0	0.42	1
1984	0	0	0	0	0	1	3	2	1	0	0	0	0.58	1
1985	0	0	0	0	0	1	1	2	3	1	0	0	0.67	1
1986	0	0	0	0	0	1	2	1	1	1	0	0	0.50	1
1987	0	0	0	0	0	1	2	1	1	0	0	0	0.42	1
1988	0	0	0	0	0	1	1	1	1	2	0	0	0.50	1
1989	0	0	0	0	1	1	4	1	2	2	0	0	0.92	1
1990	0	0	0	0	0	3	1	2	2	0	1	0	0.75	1
1991	0	0	0	0	0	0	3	1	2	0	0	0	0.50	1
1992	0	0	0	0	0	1	3	2	2	0	0	0	0.67	1
1993	0	0	0	0	0	1	1	1	3	0	1	0	0.58	1
1994	0	0	0	0	0	1	2	5	3	0	0	0	0.92	1
1995	0	0	0	0	0	0	1	5	1	2	0	0	0.75	1
1996	0	0	0	0	0	0	3	2	2	0	0	0	0.58	1
1997	0	0	0	0	0	0	0	4	0	0	0	0	0.33	0
1998	0	0	0	0	0	0	1	2	1	0	0	0	0.33	0
1999	0	0	0	0	0	1	0	1	2	1	0	0	0.42	0
2000	0	0	0	0	0	0	1	2	2	0	0	0	0.42	0
2001	0	0	0	0	0	1	5	1	2	0	0	0	0.75	1
2002	0	0	0	0	0	0	1	2	3	0	0	0	0.50	1
2003	0	0	0	0	0	0	2	3	1	0	1	0	0.58	1
2004	0	0	0	0	0	0	3	2	1	1	0	1	0.67	1
2005	0	0	0	0	0	0	2	2	3	1	0	0	0.67	1
2006	0	0	0	0	1	0	2	3	0	0	0	0	0.50	1
2007	0	0	0	0	0	0	1	3	2	2	0	0	0.67	1
2008	0	0	0	1	0	1	2	2	3	1	0	0	0.83	1
2009	0	0	0	0	0	2	3	2	2	1	0	0	0.83	1
2010	0	0	0	0	0	0	2	1	3	1	0	0	0.58	1
2011	0	0	0	0	0	3	1	1	1	1	0	0	0.58	1
2012	0	0	0	0	0	1	1	5	0	0	0	0	0.58	1
2013	0	0	0	0	0	1	3	3	1	1	0	0	0.75	1
2014	0	0	0	0	0	1	2	0	2	0	0	0	0.42	1
2015	0	0	0	0	0	1	2	1	1	1	0	0	0.50	0
2016	0	0	0	0	0	0	2	2	2	2	0	0	0.67	0
