“73.太阳黑子” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：671.78
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	599	599	559	929	1085	1006	615	610	831	516	524	458	694.25	
1952	407	227	220	291	234	364	393	549	282	238	221	343	314.08	
1953	265	39	100	278	125	218	86	235	193	82	16	25	138.50	314
1954	2	5	109	18	8	2	48	84	15	70	92	76	44.08	459
1955	231	208	49	113	289	317	267	407	427	585	892	769	379.50	776
1956	736	1240	1184	1107	1366	1166	1291	1696	1732	1553	2013	1921	1,417.08	1,117
1957	1650	1302	1574	1752	1646	2007	1872	1580	2358	2538	2109	2394	1,898.50	1,426
1958	2025	1649	1907	1960	1753	1715	1914	2002	2012	1815	1523	1876	1,845.92	1,574
1959	2174	1431	1857	1633	1720	1687	1496	1996	1452	1114	1240	1250	1,587.50	1,399
1960	1463	1060	1022	1220	1196	1102	1217	1341	1272	828	896	856	1,122.75	1,094
1961	579	461	530	614	510	774	702	559	636	377	326	400	539.00	781
1962	387	503	456	464	437	420	218	218	513	395	269	232	376.00	484
1963	198	244	171	293	430	359	196	332	388	353	234	149	278.92	289
1964	153	177	165	86	95	91	31	93	47	61	74	151	102.00	275
1965	175	142	117	68	241	159	119	89	168	201	158	170	150.58	387
1966	282	244	253	487	453	477	567	512	502	572	572	704	468.75	543
1967	1109	936	1118	695	865	673	915	1072	768	882	943	1264	936.67	734
1968	1218	1119	922	812	1272	1103	961	1093	1172	1077	860	1098	1,058.92	913
1969	1044	1205	1358	1068	1200	1060	968	980	913	957	935	979	1,055.58	953
1970	1115	1278	1029	1095	1275	1068	1125	930	995	866	952	835	1,046.92	903
1971	913	790	607	718	575	498	810	614	502	517	632	822	666.50	768
1972	615	884	801	632	805	880	765	768	640	613	416	453	689.33	626
1973	434	429	460	577	424	395	231	256	593	307	239	233	381.50	447
1974	276	260	213	403	395	360	550	336	402	471	250	205	343.42	339
1975	189	115	115	51	90	114	282	397	139	91	194	78	154.58	257
1976	81	43	219	188	124	122	19	164	135	206	52	153	125.50	373
1977	164	226	69	133	190	360	214	327	437	479	303	450	279.33	598
1978	572	946	805	1131	884	1046	736	640	1420	1167	942	1254	961.92	859
1979	1685	1362	1332	1034	1345	1301	1422	1309	1710	1830	1771	1504	1,467.08	1,137
1980	1463	1352	1243	1398	1676	1553	1337	1275	1448	1627	1507	1634	1,459.42	1,349
1981	1159	1425	1537	1714	1545	1060	1612	1754	1819	1682	1500	1400	1,517.25	1,292
1982	1225	1703	1721	1440	974	1383	1179	1356	1335	1195	1145	1391	1,337.25	1,089
1983	886	598	669	731	981	981	786	765	520	525	318	404	680.33	828
1984	552	758	864	679	742	467	417	269	218	100	173	163	450.17	548
1985	125	156	125	171	228	187	306	121	41	156	146	99	155.08	335
1986	29	195	121	177	142	17	148	80	31	308	116	45	117.42	392
1987	77	19	124	335	305	159	293	353	318	543	419	304	270.75	638
1988	548	346	660	816	670	1006	1088	1059	1257	1242	1173	1729	966.17	910
1989	1645	1519	1323	1301	1616	2153	1453	1846	2049	1814	1873	1556	1,679.00	1,212
1990	1811	1259	1462	1509	1441	1283	1551	2075	1431	1496	1335	1563	1,518.00	1,367
1991	1502	1713	1884	1595	1379	1620	1842	1878	1369	1732	1385	1620	1,626.58	1,292
1992	1540	1809	1206	1183	820	753	907	692	765	1006	970	901	1,046.00	1,028
1993	636	950	850	750	563	507	642	448	265	597	352	534	591.17	766
1994	732	443	376	277	265	269	388	250	287	464	234	301	357.17	458
1995	263	349	364	206	174	183	184	166	138	214	121	118	206.67	293
1996	104	68	86	63	74	104	71	157	34	23	174	114	89.33	315
1997	69	86	93	176	198	151	124	265	469	248	390	406	222.92	460
1998	382	388	619	570	636	724	715	984	984	594	819	986	700.08	687
1999	723	880	870	767	1133	1541	1296	1172	806	1353	1464	989	1,082.83	917
2000	1105	1283	1698	1467	1249	1406	1846	1305	1288	1104	1153	1174	1,339.83	1,109
2001	1200	930	1332	1238	992	1297	892	1160	1612	1382	1263	1584	1,240.17	1,096
2002	1407	1290	1070	1392	1379	942	1072	1108	1332	1159	1017	1007	1,181.25	961
2003	795	462	615	600	552	774	850	727	488	656	672	420	634.25	752
2004	372	460	489	393	415	432	510	409	277	484	473	179	407.75	535
2005	313	291	248	244	426	396	399	364	221	85	180	412	298.25	314
2006	154	47	108	302	222	139	122	129	145	104	215	136	151.92	192
2007	169	106	48	37	117	120	100	62	24	9	17	101	75.83	117
2008	34	21	93	29	29	31	5	5	11	29	41	8	28.00	88
2009	15	14	7	12	29	26	35	0	42	46	42	106	31.17	168
2010	131	186	154	79	88	135	161	196	252	235	46	145	150.67	268
2011	190	294	562	544	416	370	439	506	780	880	967	730	556.50	392
2012	583	331	642	552	690	645	665	631	615	533	614	408	575.75	544
2013	629	380	579	724	787	525	570	660	369	856	776	903	646.50	635
2014	820	1028	922	847	752	710	725	747	876	606	701	780	792.83	604
2015	670	448	384	544	588	683	664	646	781	617	632	577	602.83	489
2016	566	572	549	380	521	209	325	507	447	336	214	189	401.25	359
