“74.南方涛动指数” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：-2.51
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	13	5	-7	-9	-12	-5	-15	-8	-13	-15	-10	-8	-7.00	
1952	-9	-9	0	-6	6	7	5	-4	-3	1	-3	-14	-2.42	
1953	1	-8	-8	-2	-25	-4	-1	-21	-15	-2	-4	-6	-7.92	-1
1954	5	-6	-3	3	1	-4	3	10	2	1	2	14	2.33	2
1955	-7	14	1	-7	8	14	18	15	15	16	14	10	9.25	2
1956	11	12	9	9	13	11	11	11	1	20	1	10	9.92	2
1957	4	-4	-4	1	-11	-3	1	-12	-11	-1	-13	-4	-4.75	2
1958	-18	-8	-3	1	-13	-2	3	8	-4	-4	-7	-7	-4.50	1
1959	-9	-16	9	5	2	-7	-5	-7	0	4	10	8	-0.50	-1
1960	0	-2	6	7	2	-4	4	6	8	-1	6	7	3.25	0
1961	-4	6	-27	10	2	-4	-1	-3	0	-8	7	15	-0.58	0
1962	17	-6	-5	0	11	5	-1	3	5	9	2	1	3.42	1
1963	8	3	7	7	0	-13	-3	-5	-7	-17	-10	-13	-3.58	-1
1964	-5	-3	7	4	3	6	5	15	15	13	0	-4	4.67	-2
1965	-5	1	3	-8	-1	-13	-23	-14	-16	-12	-19	1	-8.83	-2
1966	-13	-5	-17	-6	-6	0	-1	3	-3	-3	-1	-5	-4.75	-1
1967	14	13	8	-1	-4	5	0	5	5	-2	-7	-7	2.42	-3
1968	4	9	-5	-3	12	12	7	-2	-3	-3	-4	1	2.08	-1
1969	-14	-9	-1	-6	-8	-2	-8	-7	-11	-15	-1	3	-6.58	2
1970	-12	-13	1	-4	1	10	-6	3	13	8	19	18	3.17	0
1971	2	15	21	22	9	2	1	15	16	19	6	1	10.75	1
1972	3	7	1	-3	-21	-15	-20	-12	-16	-12	-4	-14	-8.83	4
1973	-4	-16	-1	-3	3	11	6	13	14	9	31	18	6.75	6
1974	21	16	22	11	13	1	12	6	13	8	-5	1	9.92	4
1975	-6	5	12	12	5	15	21	22	23	18	13	20	13.33	4
1976	11	13	14	2	6	-1	-14	-16	-14	1	8	-21	-0.92	2
1977	-4	8	-13	-10	-11	-20	-16	-15	-10	-15	-16	-12	-11.17	-1
1978	-5	-28	-9	-7	13	3	5	1	1	-8	-3	-2	-3.25	-4
1979	-4	6	-5	-5	5	5	14	-8	1	-4	-7	-8	-0.83	-4
1980	3	0	-11	-13	-3	-6	-2	-1	-6	-3	-5	-2	-4.08	-4
1981	3	-5	-21	-5	8	14	8	4	6	-8	1	5	0.83	-6
1982	8	0	1	-1	-6	-22	-20	-29	-23	-23	-33	-24	-14.33	-6
1983	-33	-37	-34	-17	9	-4	-8	-2	10	4	-1	0	-9.42	-5
1984	0	5	-9	4	0	-11	0	1	2	-7	3	-3	-1.25	-6
1985	-5	6	-4	12	-2	-12	-3	8	0	-8	-4	2	-0.83	-6
1986	8	-13	-1	1	-6	9	2	-9	-6	6	-17	-16	-3.50	-3
1987	-7	-15	-21	-22	-20	-24	-20	-18	-12	-7	-3	-6	-14.58	-1
1988	-3	-7	1	-2	11	-4	11	15	20	14	22	11	7.42	-2
1989	13	9	7	17	14	7	9	-9	6	6	-4	-5	5.83	-3
1990	-2	-19	-11	0	13	-2	5	-5	-8	1	-5	-2	-2.92	-2
1991	5	1	-14	-14	-17	-7	-1	-11	-18	-16	-8	-20	-10.00	-6
1992	-28	-11	-30	-17	1	-16	-7	0	1	-22	-11	-7	-12.25	-10
1993	-9	-10	-12	-19	-10	-18	-12	-11	-7	-16	-2	3	-10.25	-10
1994	-3	-1	-14	-22	-12	-13	-18	-22	-19	-16	-8	-13	-13.42	-7
1995	-6	-4	1	-15	-11	-4	4	-1	4	-1	-1	-6	-3.33	-7
1996	8	-1	3	6	5	13	7	6	8	4	-3	8	5.33	-5
1997	1	13	-12	-14	-23	-27	-11	-24	-18	-17	-15	-11	-13.17	-2
1998	-25	-22	-36	-27	-2	8	14	9	13	10	10	14	-2.83	0
1999	14	8	6	17	4	-2	4	-2	-1	10	6	13	6.42	-1
2000	3	13	10	14	5	-8	-5	4	10	9	20	6	6.75	0
2001	7	12	4	-2	-8	-4	-4	-11	1	-5	7	-11	-1.17	0
2002	2	7	-9	-4	-16	-10	-8	-18	-8	-9	-6	-8	-7.25	-2
2003	-1	-6	-3	-1	-5	-10	-1	-5	-5	-6	4	10	-2.42	-4
2004	-11	5	-3	-13	5	-15	-7	-6	-3	-1	-7	-5	-5.08	-3
2005	3	-24	3	-6	-11	4	0	-5	4	14	-3	2	-1.58	-2
2006	13	1	13	10	-7	-5	-8	-13	-4	-13	2	-2	-1.08	1
2007	-8	-1	1	-1	-3	6	-5	3	2	8	8	15	2.08	2
2008	13	19	14	6	-3	3	2	9	14	16	16	13	10.17	4
2009	9	14	2	12	-7	0	1	-3	3	-13	-6	-5	0.58	7
2010	-8	-12	-7	14	8	3	18	18	24	19	16	26	9.92	7
2011	19	20	21	22	2	3	9	4	12	10	13	22	13.08	6
2012	10	3	3	-1	-3	-8	-1	-4	4	4	5	-4	0.67	5
2013	0	-2	12	3	7	12	7	0	4	-1	9	3	4.50	2
2014	12	-1	-8	7	5	0	-3	-9	-6	-6	-7	-4	-1.67	-1
2015	-7	-3	-7	1	-10	-9	-13	-17	-16	-17	-4	-6	-9.00	-1
2016	-17	-16	-1	-13	2	6	6	5	14	-3	1	4	-1.00	-2
